title,latitude,longitude,address,pdc_records,landscape_architect_last,artists_keyword,fabricator,lot,block
Greenpoint World War II Memorial,40.714254,-73.951907,Union Avenue and Metropolitan Avenue,3033,,,,31.0,2323.0
Wolf and Lynxes,40.768280,-73.971273,Central Park Zoo,1859,,American,,1.0,1111.0
Bronx Archway,40.826786,-73.922389,161st Street and the Grand Concourse,955,,"Woman, American",,,
Frank D. Paulo,40.642915,-74.076245,10 Richmond Terrace,124,,"American, Woman",,12.0,7.0
CPM,40.681050,-73.99535,Smith Street between Carroll and President Street,989,,,,1.0,442.0
Sunbather,40.747612,-73.941058,Jackson Avenue and 43rd Avenue,61,,"Israeli, Jewish",,,
Richard Saunders Scott,40.774194,-73.966407,Conservatory Lake,726,,,General Bronze Corporation,1.0,1111.0
Community Island Pond,40.703790,-74.006351,South Street between Wall Street and Gouverneur Lane,5467,,"Chinese, American",,18.0,36.0
Bronx Victory Memorial,40.854368,-73.823116,Pelham Parkway and Eastern Boulevard,1699,,"Woman, American",,,
Wave Hill Landmarks Plaque,40.900093,-73.911086,West 252nd Street and Independence Avenue,3503,,,,440.0,5937.0
Firefighting Mosaic,40.747067,-73.755823,64-05 Springfield Boulevard,4393,,American,,12.0,7621.0
Captain George H. Tilly,40.711230,-73.798789,Highland Avenue and 165th Street,1593,,,,164.0,9848.0
Large Coqui,40.721976,-73.986226,East Houston Street and Essex Street,1903,,American,"Insun Kim, Beacon Fine Art Foundry, Beacon, NY",10.0,355.0
Grand Street Boys War Tablet,40.777348,-73.982335,Broadway and 70th Street,3038,,,U.S. Bronze Sign Company,,
New Brighton War Memorial,40.647986,-74.08318,Richmond Terrace between St. Peters Place and Nicholas Street,2815,,,,599.0,2.0
Deer,40.767411,-73.972195,Central Park Zoo,,,American,,1.0,1111.0
Rhesus and Ring-Tailed Lemurs,40.767909,-73.97088,Central Park Zoo,1859,,American,,1.0,1111.0
Battle of Harlem Heights Marker,40.812094,-73.963499,121st Street and Riverside Drive,2287,,,,1.0,1897.0
Washington Heights-Inwood War Memorial,40.840389,-73.939889,Broadway between 167th Street and 168th Street,1093,,"Woman, American",,65.0,2124.0
Balto,40.769976,-73.971013,Fifth Avenue and East 67th Street,1348,,American,,1.0,1111.0
Tomorrow's Wind,40.792722,-73.935583,First Avenue between 111th Street and 114th Street,1765,,"African American, Black American",,1.0,1705.0
Fort Number Four Tablet,40.873806,-73.898732,Reservoir Avenue and University Avenue,778,,,,220.0,3250.0
Jackie Robinson and Pee Wee Reese Monument,40.574899,-73.98525,Surf Avenue between West 17th and West 19th Street,1170,,,,101.0,7073.0
Argonne-Marine Memorial Oval Marker,40.599482,-73.929786,Burnett Street and Veterans Memorial Way,1516,,,,600.0,8590.0
General Josiah Porter,40.891311,-73.894809,Broadway and 245th Street,"22, 6067",,American,,150.0,5900.0
Goldenrain Corners,40.75981039,-73.83231,135-23 39th Avenue,6181,,Chinese,,15.0,4975.0
Prospect Park War Memorial,40.657165,-73.965122,South of Flower Garden,985,,American,,1.0,1117.0
Admiral David Glasgow Farragut,"40.742762,",-73.987678,428 Madison Square North,"439, 1945",,"Irish, French, American",,1.0,852.0
DT,40.796443,-73.919244,Central Road,1342,,"Bulgarian, Greek",,203.0,1819.0
McCarren Park World War II Flagstaff,40.722954,-73.952584,Bedford Avenue and Lorimer Street,580,,,,1.0,2670.0
Doric Columns,40.767778,-73.922278,30th Avenue between 29th Street and 30th Streets,3809,,Greek,,1.0,594.0
Benito Juarez,40.754414,-73.984252,Sixth Avenue and 42nd Street,1843,,"Mexican, Zapotec, Latinx, Latin American, Indigenous",,2.0,1257.0
Verrazzano Memorial Fl,40.614861,-74.02859,Fort Hamilton Parkway and 95th Street,,,"Italian, American",,60.0,6153.0
Diagonal Sonata,40.757779,-73.939153,37-44 21st Street,6172,,Japanese,,1.0,363.0
The Roses of Yesterday,40.668499,-73.965397,Brooklyn Botanic Garden,546,,"Woman, American",,1.0,1183.0
Richmond Hill War Memorial,40.701349,-73.841566,Myrtle Avenue and Park Lane South,1306,,"Italian, American",,1050.0,3907.0
Flushing Bay Promenade Pavement,40.759512,-73.850025,Pier 1,2103,,"Woman, American",Marion Ceramics,65.0,1789.0
William F. Moore Memorial,40.743667,-73.855417,"108th Street, Corona Avenue and 51st Avenue",1362,,,,,
John F. Kennedy Memorial,40.674263,-73.970172,Grand Army Plaza,1611,,American,,,
Athena,40.767581,-73.922501,"30th Avenue, between 29th and 30th Streets",3809,,Greek,Stavros Georgopoulos,1.0,594.0
William Henry Seward,40.741491,-73.988842,Broadway and East 23rd Street,"1945, 1971",,American,,1.0,852.0
Robert Skirving Pirie,40.773625,-73.967054,Conservatory Lake,726,,,General Bronze Corporation,1.0,1111.0
Richmond Hill Flagstaff,40.701442,-73.841545,Myrtle Avenue and Park Lane South,1347,,,,1050.0,3907.0
Ludwig Van Beethoven,40.658778,-73.964833,Flower Garden,5961,,"German, American",,1.0,1117.0
The Isaiah Wall,40.749639,-73.969583,1st Avenue and 43rd Street,2716,,,,23.0,1335.0
Albert Bertel Thorvaldsen,"40.788611,",-73.956,Fifth Avenue at 96th Street,251,,Danish,,1.0,1111.0
"Bill ""Bojangles"" Robinson Mural",40.825284,-73.937285,"West 150th Street, west side of Seventh Avenue",2580,Adams,American,,25.0,2036.0
Armed Forces Plaque,"40.812120,",-73.963571,121st Street and Riverside Drive,2287,,,,1.0,1897.0
Fort Greene Eagles,40.767646,-73.971274,Fifth Avenue and East 64th Street,145,,"German, American",,1.0,1111.0
Sugar in My Bowl II,40.674140,-73.925421,158 Buffalo Avenue,6352,,"African American, Black American, Woman",,50.0,1356.0
City Employees War Memorial,40.773333,-73.971972,Th e Mall,1402,,American,,1.0,1111.0
Van Cortlandt Memorial Grove (39 tablets),40.891360,-73.896372,Broadway and 242nd Street,"1960, 1501",,,General Bronze Corporation,150.0,5900.0
Third Water Tunnel Workers Memorial,40.902662,-73.868243,Van Cortlandt Park East and Katonah Avenue,6331,,,,,
Four Eagles,40.672262,-73.9699,Grand Army Plaza between Eastern Parkway and Union Street,912,,American,,1.0,1117.0
John N. LaCorte,40.610862,-74.033067,101st Street between and Fort Hamilton Parkway,6278,,"Italian, American",,1.0,6140.0
Slocum Disaster Memorial,40.726912,-73.981378,East 10th Street between Avenue A and Avenue B,"157, 195, 320",,American,,1.0,403.0
Sheila Kay Marks,40.741510,-73.987751,Madison Avenue between East 23rd and East 26th St,1945,,,,1.0,852.0
Working in the Same Direction,40.554096,-74.213048,1100 Rossville Avenue,6257,,"French, Woman",,252.0,7067.0
Lt. Nick Lia Memorial,40.643241,-74.079562,"Wall Street, St. Marks Place and Belmont Place",,,,Cheshenko Carving,1.0,21.0
Star of Hope,40.741320,-73.988508,East 23rd Street between Madison Avenue and Broadway,734,,,,1.0,852.0
Egbertville World War Memorial,40.576227,-74.126905,Richmond Road and Rockland Avenue,1033,,,John Polachek Bronze and Iron Co.,7501.0,4312.0
Dancing Bear@,40.768194,-73.971222,Central Park Zoo,,,American,"Roman Bronze Works, Brooklyn",1.0,1111.0
Fort Washington Memorial,40.852744,-73.93761,Fort Washington Avenue and 183rd Street,2281,,,,189.0,2179.0
Eagles and Vultures,40.767221,-73.971392,Central Park Zoo,,,American,,1.0,1111.0
The Judgment of Solomon,40.716750,-74.000378,125 White Street,4724,,American,,1.0,198.0
Mozart,40.658785,-73.964824,Concert Grove,5961,,"German, American",,1.0,1117.0
Abraham De Peyster,"40.715275,",-74.002788,125 Worth Street,"85, 1947, 2573, 4020",,American,,1.0,168.0
Private Walter B. Robertson,40.718139,-73.735556,Jamaica Avenue and Springfield Boulevard,,,,,25.0,10771.0
Gay Liberation,40.733585,-74.002402,"Christopher Street, Grove Street and West 4th Street",1314,Winslow,"Jewish, LGBTQ+",,87.0,592.0
Johann Christoph Friedrich Von Schiller!,40.773185,-73.971735,The Mall,2969,,,,1.0,1111.0
The Rowers,40.775222,-73.968556,East Drive at 75th Street,1430,,American,,1.0,1111.0
Clinton War Memorial,40.767517,-73.99393,11th avenue and 53rd street,1629,,American,,1.0,1100.0
Reverend Matthew J. Crosson,40.743123,-73.895861,Woodside Avenue and 69th Street,3803,,,U.S. Bronze Sign Company,56.0,1308.0
Weeping Beech Tree Landmark Plaque,40.763620,-73.823833,37th Avenue and Bowne Street,,,,,5.0,5012.0
Boar,40.757156,-73.960156,East 57th Street and East River,2238,,Italian,A. Ottavino Corp.,,
General Gouverneur Kemble Warren,40.673013,-73.970654,Union Street between Plaza Street West and Grand Army Plaza,1611,,"German, American",,,
Richard Tucker,40.773534,-73.981885,Columbus Avenue and West 66th Street,4179,,American,,36.0,1137.0
Walloon Settlers Memorial,40.704750,-74.015667,Battery Place and Washington Street,"1286, 1371",,,,1.0,3.0
