address,city,primary_artist_first,artwork_type1,primary_artist_last,artwork_type2,primary_architect_middle
Forest Avenue and Goethals Road North,Staten Island,,Plaque,,Monument/Memorial,
173rd Street and Fulton Avenue,Bronx,Frederick,Bas-relief roundel,Roth,Artwork,
Fort Hamilton Parkway and 95th Street,Brooklyn,Albino,"Flagstaff base, relief",Manca,Monument/Memorial,
"White Plains Road, Unionport Road, and Mead Street",Bronx,,Stele,,Monument/Memorial,George
TM,New York,Christophe,Statue,Fratin,Artwork,
Bainbridge Avenue and Van Cortlandt Avenue East,Bronx,,"Flagstaff base, plaque",,Monument/Memorial,
City Hall Park Path,New York,,Tablet,,Monument/Memorial,
Howard Avenue and Louis Street,Staten Island,,Plaque,,Monument/Memorial,
West 177th Street and Cabrini Boulevard,New York,,Plaque,,Monument/Memorial,
Verdi Square and West 73rd Street,New York,Pasquale,Statue,Civiletti,Monument/Memorial,
Sixth Avenue and Dominick Street,New York,José Luis,Statue,Zorilla de San Martin,Monument/Memorial,Cristina
329 Greenpoint Avenue,Brooklyn,Vito,Installation,Acconci,Artwork,
the mall,New York,Georg,"Flagstaff base, plaque",Lober,Monument/Memorial,F.
Central Avenue and 73rd Place,Glendale,,"Plaque, stele",,Monument/Memorial,
Park Row,New York,,"Plaque, plinth",,Monument/Memorial,
88-26 Pitkin Avenue,Ozone Park,Samm,"Installation, mosaic",Kunce,Artwork,
Cooper Square and 3rd Avenue,New York,Augustus,Statue,Saint-Gaudens,Monument/Memorial,
East 161st Street and Grand Concourse,Bronx,Ernst,Fountain,Herter,Monument/Memorial,
Flower Garden,Brooklyn,James,"Bust, pedestal",MacDonald,Monument/Memorial,
Rockaway Beach Boulevard and Beach 94th Street,Far Rockaway,Joseph,Statue,Pollia,Monument/Memorial,
Prospect Park Southwest and Prospect Park West,Brooklyn,,Plaque,,Monument/Memorial,
West 145th Street and Riverside Drive,New York,Milo,Carousel,Mottola,Artwork,
Grand Army Plaza between Flatbush Avenue and Prospect Park West,Brooklyn,Frederick,Statue,MacMonnies,Monument/Memorial,
173rd Street and Fulton Avenue,Bronx,Frederick,Bas-relief roundel,Roth,Artwork,
1st Avenue and 43rd Street,New York,,Memorial wall,,Monument/Memorial,
Bowery & Division Street,New York,Liu,Statue,Shih,Monument/Memorial,
Mosholu Parkway and Marion Avenue,Bronx,Jerome,Statue,Connor,Monument/Memorial,
East 77th Street and Cherokee Place,New York,Douglas,Sculpture,Abdell,Artwork,
Winter Avenue and Bismark Avenue,Staten Island,,Plaque,,Monument/Memorial,
Howard Avenue and Louis Street,Staten Island,,Plaque,,Marker,
Jerome Avenue between Ogden Avenue and Woodycrest Avenue,Bronx,Martin,Fountain,Schenck,Monument/Memorial,
Myrtle Avenue between St. Edwards Street and Washington Park,Brooklyn,Adolph,"Column, urn, statue",Weinman,Monument/Memorial,
Snug Harbor Road between Cottage Row and Richmond Terrace,Staten Island,Seena,Sculpture,Donneson,Artwork,
Rose Avenue and Parsons Boulevard,Flushing,William,Statue,Crozier,Monument/Memorial,
Fifth Avenue and 59th Street,New York,Karl,Fountain,Bitter,Artwork/Monument,
Riverside Drive between West 91st street and West 93rd street,New York,,Tablet,,Monument/Memorial,
Grand Army Plaza,New York,,Plaque,,Monument/Memorial,
Fifth Avenue between 60th Street and 61st Street,New York,,"Plaque, plinth",,Monument/Memorial,
West 109th Street,New York,John,Plaque,Williams,Marker,
Central Park South and Avenue of the Americas,New York,Louis-Joseph,Statue,Daumas,Monument/Memorial,
Shore Road and Bay Ridge Avenue,Brooklyn,Robert,Sculpture,Ressler,Monument/Memorial,
Roosevelt Avenue and 60th Street,Woodside,,"Stele, plaque",,Monument/Memorial,
Union Avenue and Metropolitan Avenue,Brooklyn,,Stele,,Monument/Memorial,
Between Union Square East and Union Square West from E 4th to E 17th Street,New York,Gregg,Plaque,LeFevre,Artwork/Marker,
Ocean Promenade and East 116th Street,Rockaway Park,Ann,Mosaic,Evans,Artwork,
Riverside Drive & West 100th Street,New York,Attilio,"Sarcophagus, statues, bas-relief",Piccirilli,Monument/Memorial,Van Buren
582 Knickerbocker Avenue,Brooklyn,Julian,Installation,LaVerdiere,Artwork,
Avenue S and East 14th Street,Brooklyn,L.N.,"Stele, plaque, memorial",Anderson,Monument/Memorial,
Promontory north of George Washington Bridge,New York,,Plaque,,Marker,Pelham
Unisphere,Corona,Matt,Site-specific installation,Mullican,Artwork,
Margaret Corbin Drive,New York,Eduardo,Sculpture,Villamizar,Artwork,
"Rockaway Boulevard, 120th & 121st Street",Rockaway Park,,Plaque,,Monument/Memorial,
MAAMS,Brooklyn,Ellen,"Decorative pavement, mosaic",Harvey,Artwork,
"Main Street, Vleigh Place, 72nd Drive, and 72nd Road",Flushing,,Stele,,Monument/Memorial,
173rd Street and Fulton Avenue,Bronx,Frederick,Bas-relief roundel,Roth,Artwork,
110 Greene Street,New York,Francoise,Installation,Schein,Artwork,
Tysen Street between Richmond Terrace and Chapel Road,Staten Island,,Fountain,,Artwork/Monument,
The Mall,New York,,Stele,,Monument/Memorial,
Old Putnam Trail,Bronx,,Pillars,,Marker,
Plaza Street East and St. Johns Place,Brooklyn,Augustus,Plaque,Saint-Gaudens,Monument/Memorial,
"Third Avenue, East 147th Street, East 149th Street and Willis Avenue",Bronx,Melissa,Sculpture,Calderón,Artwork/Memorial,
The Mall,New York,John,Statue,Ward,Artwork,
Stuyvesant Place and Hyatt Street,Staten Island,,"Plaque, plinth",,Marker,
450 Flatbush Avenue,Brooklyn,Emil,Bas-relief,Siebern,Artwork,
Sutton Place between East 53rd Street and East 54th Street,New York,Albert,"Sundial, sculpture",Stewart,Artwork,
11th avenue and 53rd street,New York,Burt,Statue,Johnson,Monument/Memorial,Wiley
Johnson Street between Cadman Plaza W and Adams Street,Brooklyn,John,Statue,Ward,Monument/Memorial,Morris
Central Park West and 81st Street,New York,Milton,Sculpture,Hebald,Artwork,
Broadway  and West 251nd Street,Bronx,,Installation,,Artwork/Memorial,
125th Avenue at 155th Street,Jamaica,James,"Stele, plinth",Walsh,Monument/Memorial,
7th Avenue and 81st Street,Brooklyn,,"Stele, bas-relief",,Monument/Memorial,
First Avenue between 111th Street and 114th Street,New York,Melvin,Sculpture,Edwards,Artwork,
"Southern Boulevard, East Tremont Avenue and Crotona Parkway",Bronx,José,Obelisk,Velasquez,Monument/Memorial,
McGown's Pass,New York,,"Artillery, carronade, plaque",,Monument/Memorial,W.
160 West 100th Street,New York,Richard,Site-specific installation,Artschwager,Artwork,
Smith Street between Carroll and President Street,Brooklyn,Eugene,Stele,Morahan,Monument/Memorial,
Fort Washington Avenue and 183rd Street,New York,,"Tablet, natural boulder",,Marker,
columbia street and baltic street,Brooklyn,Nobuho,Installation,Nagasawa,Artwork,
Broadway between Murray Street and Warren Street,New York,Paul,Plaque,Cabaret,Monument/Memorial,
Battery Place and West Street,New York,Ettore,Statue,Ximenes,Monument/Memorial,
Edgecombe Avenue and West 162nd Street,New York,,Sundial,,Artwork,
85 St. Joseph's Avenue,Staten Island,Robert,Sculpture,Adzema,Artwork,
"Union Turnpike, 79th Avenue and 162nd Street",Fresh Meadows,,"Plaque, stele",,Monument/Memorial,
614 Broadway,Staten Island,Amanda,Mosaic,Jaffe,Artwork,
Hall of Astronauts,Corona,Donald,Sculpture,De Lue,Artwork,
851 Grand Concourse,Bronx,Charles,Frieze,Keck,Artwork,
Duane Street between Federal Plaza and Centre Street,New York,,Medallions,,Artwork,
