street_name,gi_result_internal_structure,inspection_by_firm,nta,nys_certified
West21st Street,N,JMZ Maintenance Inc.,Hudson Yards-Chelsea-Flatiron-Union Square,Y
BARUCH DRIVE,N,AMERICAN PIPE AND TANK INC.,Lower East Side,Y
Water Street,N,"isseks bros., inc.",Battery Park City-Lower Manhattan,Y
EAST40 STREET,N,AMERICANPIPE & TANK,Murray Hill-Kips Bay,Y
45th Avenue,N,Isseks,East Flushing,Y
E. 23rd Street,N,Nalco Company,Murray Hill-Kips Bay,Y
Broadway,N,Rosenwach Tank Co. LLC,Hudson Yards-Chelsea-Flatiron-Union Square,Y
Hudson Yards,N,American Pipe and Tank,Hudson Yards-Chelsea-Flatiron-Union Square,Y
WEST 111 STREET,N,ISSEKS BROS INC,Morningside Heights,Y
West 29th St,N,Isseks Bros. Inc.,Midtown-Midtown South,Y
East 35th Street,N,Sean Coakley Plumbing Heating,Midtown-Midtown South,D
Lexington Avenue,N,Rosenwach Tank Co. LLC,Turtle Bay-East Midtown,Y
WEST 27 Street,N,"ATLANTANK,LLC",Midtown-Midtown South,D
East 13th Street,N,"isseks bros., inc.",East Village,Y
Park Avenue,N,Nalco Company,Turtle Bay-East Midtown,Y
East 36th Street,N,American Pipe and Tank,Murray Hill-Kips Bay,Y
Hudson Yards,N,Rosenwach Tank Co. LLC,Hudson Yards-Chelsea-Flatiron-Union Square,Y
Riverside Drive,N,Isseks Bros. Inc.,Upper West Side,Y
Broadway,N,Rosenwach Tank Co. LLC,Upper West Side,Y
N Portland Avenue,N,Nalco,Fort Greene,Y
MADISON AVENUE,N,ISSEKS BROS INC,Midtown-Midtown South,Y
West 21st St,N,Isseks Bros. Inc.,Hudson Yards-Chelsea-Flatiron-Union Square,Y
Beekman Street,N,Rosenwach Tank Co. LLC,Battery Park City-Lower Manhattan,Y
Second Avenue,N,Isseks,Murray Hill-Kips Bay,Y
East 10th Street,N,Rosenwach Tank Co. LLC,West Village,Y
West 19th Street,N,ISSEKS BROS INC,Hudson Yards-Chelsea-Flatiron-Union Square,Y
West Street,N,"Isseks Bros., Inc.",Battery Park City-Lower Manhattan,Y
LEXINGTON AVENUE,N,Rosenwach Tank Co. LLC,Gramercy,Y
West 106th Street,N,Rosenwach Tank Co. LLC,Upper West Side,Y
WEST 70 STREET,N,ISSEKS BROS INC,Lincoln Square,Y
EAST 71 STREET,N,ISSEKS BROS INC,Lenox Hill-Roosevelt Island,Y
WSW,N,Isseks Bros Inc,West Village,Y
EAST   55 STREET,N,Rosenwach Tank Co. LLC,Turtle Bay-East Midtown,Y
East 46th Street,N,"Isseks Bros., Inc",Turtle Bay-East Midtown,Y
WEST 57 STREET,N,ISSEKS BROS INC,Midtown-Midtown South,Y
Flatlands Avenue,N,Rosenwach Tank Co. LLC,East New York,Y
East 171 Street,N,American Pipe and Tank,Claremont-Bathgate,Y
NEWBOLD AVE,N,ISSEKS BROS INC,Soundview-Bruckner,Y
Hudson Yards,N,Rosenwach Tank Co. LLC,Hudson Yards-Chelsea-Flatiron-Union Square,Y
East 42nd Street,N,Rosenwach Tank Co. LLC,Turtle Bay-East Midtown,Y
West 34th Street,N,"isseks bros., inc.",Midtown-Midtown South,Y
Ocean Parkway,N,Rosenwach Tank Co. LLC,Flatbush,Y
East 34th Street,N,"Isseks Bros., Inc.",Murray Hill-Kips Bay,Y
West End Avenue,N,Rosenwach Tank Co. LLC,Upper West Side,Y
RIVERSIDE DRIVE,N,ISSEKS BROS INC,Morningside Heights,Y
John Street,N,Rosenwach Tank Co. LLC,Battery Park City-Lower Manhattan,Y
FIFTH AVENUE,N,ISSEKS BROS INC,Upper East Side-Carnegie Hill,Y
Park Ave,N,Golds Plumbing Corp,Upper East Side-Carnegie Hill,Y
WEST 72 STREET,N,ISSEKS BROS INC,Lincoln Square,Y
Claremont Avenue,N,Nalco Company,Morningside Heights,Y
East 84th Street,N,Rosenwach Tank Co. LLC,Upper East Side-Carnegie Hill,Y
Clinton Ave,N,American Pipe and Tank,East Tremont,Y
MADISON AVENUE,N,ISSEKS BROS LLC,Murray Hill-Kips Bay,Y
Park Avenue,N,Isseks Bros Inc,Turtle Bay-East Midtown,Y
Kappock Street,N,Rosenwach Tank Co. LLC,Spuyten Duyvil-Kingsbridge,Y
West 36th Street,N,Isseks Bros. Inc.,Hudson Yards-Chelsea-Flatiron-Union Square,Y
WEST   40 STREET,N,Rosenwach Tank Co. LLC,Midtown-Midtown South,Y
Fifth Ave,N,American Pipe and Tank,Midtown-Midtown South,Y
Malcolm X BLVD,N,Isseks,Central Harlem South,Y
West End Avenue,N,Rosenwach Tank Co. LLC,Upper West Side,Y
Broad Street,N,Rosenwach Tank Co. LLC,Battery Park City-Lower Manhattan,Y
5th Avenue,N,"isseks bros., inc.",Midtown-Midtown South,Y
LEXINGTON AVE,N,ISSEKS BROS INC,Turtle Bay-East Midtown,Y
Broad street,N,"American Pipe & Tank Lining co,Inc",Battery Park City-Lower Manhattan,Y
Willoughby Street,N,Rosenwach Tank Co. LLC,Fort Greene,Y
MADISON AVENUE,N,Rosenwach Tank Co. LLC,Midtown-Midtown South,Y
WEST END AVENUE,N,Rosenwach Tank Co. LLC,Upper West Side,Y
West 232nd Street,N,"ISSEKS BROS., INC.",Spuyten Duyvil-Kingsbridge,Y
BROADWAY,N,ISSEKS BROS LLC,SoHo-TriBeCa-Civic Center-Little Italy,Y
34 AVENUE,N,Rosenwach Tank Co. LLC,Flushing,Y
EAST   66 STREET,N,Rosenwach Tank Co. LLC,Upper East Side-Carnegie Hill,Y
PARK AVENUE SOUTH,N,ISSEKS BROS INC,Murray Hill-Kips Bay,Y
CENTRAL PARK SOUTH,N,"ISSEKS BROS., INC.",Midtown-Midtown South,Y
6th Avenue,N,"Atlantank, LLC",Midtown-Midtown South,Y
Eighth Avenue,N,Rosenwach Tank Co. LLC,Hudson Yards-Chelsea-Flatiron-Union Square,Y
Olinville Avenue!,N,ISSEKS BROS INC,Bronxdale,Y
WARREN STREET,N,ISSEKS BROS INC,SoHo-TriBeCa-Civic Center-Little Italy,Y
PARK AVE,N,ISSEKS BROS INC,Turtle Bay-East Midtown,Y
W 72 ST,N,ISSEKS BROS INC,Lincoln Square,Y
WEST 42 STREET,N,ISSEKS BROS INC,Midtown-Midtown South,Y
Fifth Avenue,N,Rosenwach Tank Co. LLC,Murray Hill-Kips Bay,Y
Park Avenue South,N,Isseks Bros Inc,Gramercy,Y
6th Street,N,Nalco,Park Slope-Gowanus,Y
west 43rd street,N,Rosenwach Tank Co. LLC,Clinton,Y
East 86th Street,N,Isseks Bros. Inc.,Upper East Side-Carnegie Hill,Y
Broadway,N,Isseks,Battery Park City-Lower Manhattan,Y
east 129th street,N,american pipe and tank inc.,East Harlem North,Y
EAST 38 STREET,N,ISSEKS BROS INC,Murray Hill-Kips Bay,Y
BROADWAY,N,Rosenwach Tank Co. LLC,Battery Park City-Lower Manhattan,Y
Adams Street,N,DCAS,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Y
Sixth Avenue,N,Rosenwach Tank Co. LLC,Midtown-Midtown South,Y
Powells Cove Boulevard,N,Rosenwach Tank Co. LLC,Whitestone,Y
East 53rd Street,N,Rosenwach Tank Co. LLC,Midtown-Midtown South,Y
Avenues of the americas,N,American Pipe and Tank,Midtown-Midtown South,Y
west 47th street,N,Nalco Water,Midtown-Midtown South,Y
PARK AVENUE,N,ISSEKS BROS INC,Turtle Bay-East Midtown,Y
LEXINGTON AVE,N,ISSEKS BROS INC,Turtle Bay-East Midtown,Y
East 27th Street,N,Joe Chiappa,Gramercy,Y
east 21st street,N,Rosenwach Tank Co. LLC,Hudson Yards-Chelsea-Flatiron-Union Square,Y
East 68th st,N,Nalco,Lenox Hill-Roosevelt Island,Y
East 10 Street,N,American Pipe and Tank,Lower East Side,Y
3 AVENUE,N,Rosenwach Tank Co. LLC,Murray Hill-Kips Bay,Y
River Terrace,N,Isseks Bros Inc,Battery Park City-Lower Manhattan,Y
OCEAN PARKWAY,N,Rosenwach Tank Co. LLC,Flatbush,Y
WEST 40 S TREET,N,ISSEKS BROS INC,Midtown-Midtown South,Y
WEST   28 STREET,N,Rosenwach Tank Co. LLC,Midtown-Midtown South,Y
Gramercy Park North,N,Rosenwach Tank Co. LLC,Gramercy,Y
EAST   75 STREET,N,Rosenwach Tank Co. LLC,Upper East Side-Carnegie Hill,Y
45 AVENUE,N,ISSEKS BROS INC,Flushing,Y
WEST   47 STREET,N,Rosenwach Tank Co. LLC,Midtown-Midtown South,Y
Henry Hudson Parkway,N,Rosenwach Tank Co. LLC,Spuyten Duyvil-Kingsbridge,Y
East 53rd Street,N,"isseks bros., inc.",Turtle Bay-East Midtown,Y
west end ave,N,The Metro Group Inc,Lincoln Square,Y
LEXINGTON AVE,N,ISSEKS BROS INC,Turtle Bay-East Midtown,Y
WEST   30 STREET,N,Rosenwach Tank Co. LLC,Midtown-Midtown South,Y
Metrotech,N,Rosenwach Tank Co. LLC,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Y
Broad Street,N,Nalco Company,Battery Park City-Lower Manhattan,Y
WEST   72 STREET,N,Rosenwach Tank Co. LLC,Lincoln Square,Y
Madison Street,N,American Pipe and Tank,Lower East Side,Y
%Mitchell Place,N,Isseks Bros. Inc.,Turtle Bay-East Midtown,Y
Dwight Street,N,Rosenwach Tank Co. LLC,Carroll Gardens-Columbia Street-Red Hook,Y
EAST   67 STREET,N,Rosenwach Tank Co. LLC,Upper East Side-Carnegie Hill,Y
Wall Street,N,American Pipe and Tank,Battery Park City-Lower Manhattan,Y
Washington Square East,N,Rosenwach Tank Co. LLC,West Village,Y
23RD AVE,N,"ISSEKS BROS., INC.",Ft. Totten-Bay Terrace-Clearview,Y
WATER STREET,N,Rosenwach Tank Co. LLC,Battery Park City-Lower Manhattan,Y
EAST   49 STREET,N,Rosenwach Tank Co. LLC,Turtle Bay-East Midtown,Y
MITCHELL PLACE,N,ISSEKS BROS INC,Turtle Bay-East Midtown,Y
West 47th Street,N,Rosenwach Tank Co. LLC,Midtown-Midtown South,Y
East 93rd Street,N,Rosenwach Tank Co. LLC,Yorkville,Y
West 31st Street,N,Rosenwach Tank Co. LLC,Midtown-Midtown South,Y
WEST 78  STREET,N,ISSEKS BROS INC,Upper West Side,Y
5th ave,N,"ATLANTANK,LLC",Midtown-Midtown South,Y
BROADWAY,N,"ATLANTANK,LLC",Midtown-Midtown South,Y
East 76th Street,N,Isseks Bros. Inc.,Upper East Side-Carnegie Hill,Y
East 42 Street,N,American Pipe and Tank,Murray Hill-Kips Bay,Y
Church Street,N,"isseks bros., inc.",SoHo-TriBeCa-Civic Center-Little Italy,Y
PARK AVENUE,N,Rosenwach Tank Co. LLC,Upper East Side-Carnegie Hill,Y
LEXINGTON AVE,N,ISSEKS BROS INC,Upper East Side-Carnegie Hill,Y
East 57 Street,N,American Pipe and Tank,Midtown-Midtown South,Y
EAST 85 STREET,N,ISSEKS BROS INC,Upper East Side-Carnegie Hill,Y
Broadway,N,Rosenwach Tank Co. LLC,Battery Park City-Lower Manhattan,Y
East 32nd Street,N,Rosenwach Tank Co. LLC,Midtown-Midtown South,Y
EAST   22 STREET,N,Rosenwach Tank Co. LLC,Hudson Yards-Chelsea-Flatiron-Union Square,Y
west 37th street,N,international wood tanks,Midtown-Midtown South,Y
Madison Avenue,N,Ambient Labs,Midtown-Midtown South,Y
PARK AVENUE,N,ISSEKS BROS INC,Murray Hill-Kips Bay,Y
EAST   12 STREET,N,Rosenwach Tank Co. LLC,West Village,Y
East 83rd Street,N,"Isseks Bros., Inc.",Yorkville,Y
6th Avenue,N,Nalco,Midtown-Midtown South,Y
East 73rd St,N,Isseks Bros. Inc.,Upper East Side-Carnegie Hill,Y
East 86th Street,N,"Isseks Bros., Inc",Yorkville,Y
East 71st St,N,Isseks Bros Inc,Lenox Hill-Roosevelt Island,Y
Fifth Avenue,N,Isseks,West Village,Y
7th ave,N,"ATLANTANK,LLC",Midtown-Midtown South,Y
Madison Avenue,N,Rosenwach Tank Co. LLC,Upper East Side-Carnegie Hill,Y
WEST END AVENUE,N,Isseks Bros. llc,Upper West Side,Y
West 44th Street,N,Rosenwach Tank Co. LLC,Midtown-Midtown South,Y
Claremont Avenue,N,American Pipe & Tank,Morningside Heights,Y
DUANE STREET,N,"ISSEKS BROS., INC.",SoHo-TriBeCa-Civic Center-Little Italy,Y
TIMES SQUARE,N,Rosenwach Tank Co. LLC,Midtown-Midtown South,Y
WEST   34 STREET,N,Rosenwach Tank Co. LLC,Hudson Yards-Chelsea-Flatiron-Union Square,Y
CS,N,DCAS MMO Unit,Chinatown,Y
Hanover Square,N,Rosenwach Tank Co. LLC,Battery Park City-Lower Manhattan,Y
