daterequested,requesttype,warrantdescription,borough,midday_count
2014-09-01T00:00:00.000,Split Phase Signal,,Brooklyn,2014-08-13T00:00:00.000
2015-10-27T00:00:00.000,,,Queens,
2010-12-06T00:00:00.000,,,Brooklyn,
2004-04-06T00:00:00.000,,,Brooklyn,
2008-08-18T00:00:00.000,,,Brooklyn,
2015-12-31T00:00:00.000,,,Brooklyn,
2009-10-19T00:00:00.000,,,Brooklyn,
2008-05-17T00:00:00.000,Traffic Signal,,Queens,
1998-08-07T00:00:00.000,,,Manhattan,
2014-02-26T00:00:00.000,Leading Pedestrian Interval,,Brooklyn,
2017-06-19T00:00:00.000,Traffic Signal,,Queens,
2023-01-16T00:00:00.000,Left Turn Arrow/Signal,,Bronx,
2014-12-18T00:00:00.000,Leading Pedestrian Interval,,Brooklyn,
2014-06-30T00:00:00.000,,,Staten Island,
2009-10-19T00:00:00.000,,,Manhattan,
2012-01-31T00:00:00.000,,,Queens,
2002-01-23T00:00:00.000,,,Brooklyn,
2014-02-26T00:00:00.000,Leading Pedestrian Interval,,Manhattan,
2007-10-01T00:00:00.000,,,Brooklyn,
2017-10-06T00:00:00.000,Left Turn Arrow/Signal,,Staten Island,
2015-03-24T00:00:00.000,,,Queens,
2013-06-07T00:00:00.000,Left Turn Arrow/Signal,,Manhattan,
1999-07-24T00:00:00.000,,,Bronx,
2013-01-14T00:00:00.000,,,Brooklyn,
2008-04-30T00:00:00.000,,,Manhattan,
2016-10-24T00:00:00.000,Traffic Signal,,Staten Island,
2014-10-03T00:00:00.000,Left Turn Arrow/Signal,,Brooklyn,
2009-05-14T00:00:00.000,,,Brooklyn,
2007-11-20T00:00:00.000,,,Brooklyn,
2017-08-09T00:00:00.000,Left Turn Arrow/Signal,,Brooklyn,
2012-10-19T00:00:00.000,,,Manhattan,
2008-10-29T00:00:00.000,,,Brooklyn,
2005-09-07T00:00:00.000,Leading Pedestrian Interval,,Manhattan,
2005-02-15T00:00:00.000,,,All Boroughs,
2013-05-17T00:00:00.000,,,Staten Island,
2010-11-10T00:00:00.000,,,Manhattan,
2006-04-21T00:00:00.000,,,Manhattan,
2003-11-07T00:00:00.000,,,Queens,
2016-05-05T00:00:00.000,Traffic Signal,,Brooklyn,
2014-10-30T00:00:00.000,Traffic Signal,,Brooklyn,
2009-07-30T00:00:00.000,,,Brooklyn,
2012-03-05T00:00:00.000,,,Manhattan,
2014-07-19T00:00:00.000,Left Turn Arrow/Signal,,Manhattan,
2017-01-19T00:00:00.000,Traffic Signal,,Queens,
2012-06-05T00:00:00.000,,,Manhattan,
2017-04-07T00:00:00.000,Traffic Signal,,Staten Island,
2012-03-08T00:00:00.000,Left Turn Arrow/Signal,,Queens,
2005-03-16T00:00:00.000,,,Queens,
2001/07/06 00:00,,,Queens,
2005-04-19T00:00:00.000,,,Bronx,
2016-01-26T00:00:00.000,Traffic Signal,,Brooklyn,
2018-02-27T00:00:00.000,Traffic Signal,,Manhattan,
2018-08-22T00:00:00.000,Traffic Signal Removal,,Manhattan,
2014-06-03T00:00:00.000,,,Brooklyn,
2014-08-08T00:00:00.000,Left Turn Arrow/Signal,,Queens,
1999-12-21T00:00:00.000,,,Manhattan,
2002/05/14 00:00,,,Queens,
2016-11-16T00:00:00.000,Traffic Signal,,Queens,
2018-10-22T00:00:00.000,Traffic Signal,,Bronx,
2011-04-25T00:00:00.000,Left Turn Arrow/Signal,,Bronx,
2018-01-26T00:00:00.000,Traffic Signal,,Manhattan,
2000-09-19T00:00:00.000,Left Turn Arrow/Signal,,Queens,
2017-02-21T00:00:00.000,Traffic Signal,,Staten Island,
1999-05-07T00:00:00.000,Left Turn Arrow/Signal,,Brooklyn,
2017-12-20T00:00:00.000,Traffic Signal,,Manhattan,
2006-09-06T00:00:00.000,,,Queens,
2004-09-02T00:00:00.000,,,Queens,
2013-02-21T00:00:00.000,,,Staten Island,
2011-06-01T00:00:00.000,,,Brooklyn,
2021-09-22T00:00:00.000,Leading Pedestrian Interval,,Manhattan,
2009-10-09T00:00:00.000,,,Manhattan,
2008-02-14T00:00:00.000,,,Brooklyn,
2009-11-18T00:00:00.000,,,Queens,
2009-04-29T00:00:00.000,,,Bronx,
1998-02-17T00:00:00.000,,,All Boroughs,
2019-01-23T00:00:00.000,Left Turn Arrow/Signal,,Brooklyn,
1999-11-23T00:00:00.000,,,Brooklyn,
2017-06-02T00:00:00.000,Traffic Signal,,Brooklyn,
2017-05-23T00:00:00.000,Traffic Signal,,Queens,
