contract_id_,interim_spending_deadline,date_funds_announced_by_nyc,conttract_start_date,funding_category,new_or_existing_contract,all_other_funding
20090033373,2010-06-30T00:00:00.000,2009-02-17T00:00:00.000,2009-04-01T00:00:00.000,Economic and Workforce Development,New Contract,48979000.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,36946777.0
7000610,,2009-07-01T00:00:00.000,2003-08-07T00:00:00.000,Education,Existing Contract,553159236.0
7105782,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
7105781,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,1572000000.0
9975832,,2009-07-01T00:00:00.000,2009-05-01T00:00:00.000,Education,Existing Contract,553159236.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,0.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,40000.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,1300000.0
QR164CB,,2009-07-01T00:00:00.000,2007-09-03T00:00:00.000,Education,Existing Contract,553159236.0
QC5110D,,2009-07-01T00:00:00.000,2006-12-01T00:00:00.000,Education,Existing Contract,1572000000.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,0.0
WI-79A-E,,2009-09-08T00:00:00.000,2009-12-31T00:00:00.000,Infrastructure,New Contract,0.0
9602248,,2009-10-30T00:00:00.000,2006-05-10T00:00:00.000,Education,Existing Contract,0.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,0.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,9313339.0
EA20541,,2009-05-01T00:00:00.000,2010-01-06T00:00:00.000,Neighborhood Stabilization,New Contract,4584552.0
,,2009-06-30T00:00:00.000,,Public Safety,New Contract,0.0
7105781,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,553159236.0
,,2009-09-08T00:00:00.000,,Infrastructure,New Contract,0.0
9007947,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2009-08-01T00:00:00.000,Infrastructure,New Contract,0.0
,,2009-10-30T00:00:00.000,,Neighborhood Stabilization,New Contract,0.0
7105781,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,553159236.0
806088708263,,2009-05-01T00:00:00.000,2009-08-21T00:00:00.000,Neighborhood Stabilization,New Contract,1144421.0
7015062-0023,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2010-03-16T00:00:00.000,Infrastructure,New Contract,2597818.0
9015584,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,0.0
7021164,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2009-05-29T00:00:00.000,Infrastructure,New Contract,0.0
P-4STIMUA,,,2009-06-29T00:00:00.000,Infrastructure,New Contract,13570000.0
,,2009-05-01T00:00:00.000,,Neighborhood Stabilization,New Contract,50000.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,400000.0
7105781,,2009-07-01T00:00:00.000,2008-09-01T00:00:00.000,Education,Existing Contract,553159236.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,9343764.0
,2011-07-21T00:00:00.000,2009-07-21T00:00:00.000,,Neighborhood Stabilization,New Contract,0.0
B075108,,2009-07-01T00:00:00.000,2008-08-01T00:00:00.000,Education,Existing Contract,0.0
1C50611,,2009-07-01T00:00:00.000,2007-11-01T00:00:00.000,Education,Existing Contract,553159236.0
850 HWD105-01A,,,2010-06-21T00:00:00.000,Infrastructure,New Contract,565298.0
,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,,Infrastructure,New Contract,0.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,12000000.0
9002833,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2009-07-21T00:00:00.000,Infrastructure,New Contract,0.0
20080010784,2010-09-30T00:00:00.000,2009-10-30T00:00:00.000,2007-09-01T00:00:00.000,Health and Social Support,New Contract,44880000.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,12000000.0
90269A,2010-06-30T00:00:00.000,2009-02-17T00:00:00.000,2009-09-01T00:00:00.000,Economic and Workforce Development,New Contract,7100000.0
20090027888,2010-06-30T00:00:00.000,2009-02-17T00:00:00.000,2009-04-01T00:00:00.000,Economic and Workforce Development,New Contract,48979000.0
,2010-06-30T00:00:00.000,2009-05-28T00:00:00.000,,Economic and Workforce Development,New Contract,400000.0
9010793,2011-03-17T00:00:00.000,2009-04-26T00:00:00.000,2009-08-10T00:00:00.000,Infrastructure,New Contract,0.0
