site_id,site_name,address_1,contract_id,capacity,state_assembly_district,council_district,catchment_intersection_1
637,Mc Kee High School,290 St Marks Place,4740,,61.0,49.0,
1426,Bronx Charter School for Children,388 WILLIS AVENUE,6648,,84.0,8.0,
425,Bronx Family Justice Center,198 E 161 St,7487,,79.0,16.0,
729,Cure Violence - 60 Precinct,,5641,,,,
627,IS 218 Beacon,370 Fountain Ave,4740,,60.0,42.0,
648,Marine Park,,4740,,,,
1274,Arts Therapy - Bright Harp,109-29 Sutphin Boulevard,8325,,32.0,28.0,
214,Bronx,1620 BRUCKNER BOULEVARD,7164,,85.0,18.0,
261,The Legal Aid Society,199 WATER STREET,1969,,65.0,1.0,
1280,Asian Americans For Equality,2 Allen Street,7303,,65.0,1.0,
793,Brooklyn Queens Outreach,,6284,,,,
493,Tompkins Houses Basketball League,,4740,,,,
445,Manhattan,100 Centre St.,4856,,65.0,1.0,
1259,Arab American Family Support Center,150 Court Street,6602,,52.0,39.0,
377,Queens - LIC,36-46 37th Street,5248,,30.0,26.0,
810,Works Plus North,825 EAST 233 STREET,3929,,83.0,12.0,
1233,All City Leadership Secondary School,321 Palmetto Street,2980,45.0,53.0,37.0,
1375,"Biobus, Inc",70 OCEAN PARKWAY,159,,44.0,39.0,
355,Brooklyn Justice Initiatives,120 Schermerhorn Street,5262,,52.0,33.0,
496,St. Nicholas Houses Basketball League,,4740,,,,
479,Van Dyke Houses Playstreets and VIBE,,4740,,,,
288,"BronxWorks, Inc.",60 EAST TREMONT AVENUE,1961,,86.0,14.0,
640,Petrides High School,715 Ocean Terrace,4740,,63.0,50.0,
253,NYC Business Solutions Bronx Center,400 EAST FORDHAM ROAD,4368,,78.0,15.0,
714,Therapeutic services - 79 Precinct,423 Gates Ave,5622,,56.0,36.0,
779,NYC office,299 Broadway,4197,,66.0,1.0,
1201,Achievement First Brownsville Charter School,2021 BERGEN STREET,2302,110.0,55.0,41.0,
1152,301 Henry Street Youth Center,301 Henry Street,1637,,65.0,1.0,
1194,Academy of Arts and Letters,225 ADELPHI STREET,2605,70.0,57.0,35.0,
1172,AAFE FLUSHING,133-04 39 Avenue,2337,,40.0,20.0,
62,MONTEFIORE MEDICAL CENTER_Bronx,1510 WATERS PLACE,3258,,82.0,13.0,
847,Harlem,127 WEST 127 STREET,8685,,70.0,9.0,
666,Belmont & Concourse Village,,5676,,,,
803,Project Hospitality Drop-in,150 Richmond Terrace,6928,,61.0,49.0,
566,Medgar Evers College,1150 Carroll Street,7493,,43.0,35.0,
851,East New York,692 BLAKE AVENUE,8812,,60.0,42.0,
511,NYCHA Polo Grounds Towers,,4003,,,,
529,NYC,,3822,,,,
734,Therapeutic services - 101 Precinct,43-15 Beach Channel Drive,5644,,31.0,31.0,
1311,Bangladeshi American Community Development and Yotuh Services,8310 Rockaway Blvd,431,,38.0,32.0,
466,PAL Harlem Teen Center,441 Manhattan Ave,4740,,70.0,9.0,
291,Urban Justice Center - HQ,40 RECTOR STREET,1970,,65.0,1.0,
1309,Bameso USA,17 Ft. George Hill,6798,,72.0,10.0,
530,Brooklyn office,32 Penn Street,4023,,50.0,33.0,
963,Center for Employment Opportunities,50 BROADWAY,7809,,65.0,1.0,
1413,"Bridge The Gap Youth, Inc.",1600 avenue L,7464,,48.0,44.0,
467,PAL Webster Teen Center,2255 Webster Ave,4740,,86.0,15.0,
608,46 Precinct (Bronx),2120 Ryer Ave,8328,,86.0,15.0,
715,Thurgood Marshall Academy for Learning and Social Change,200-214 W 135th St,5622,,70.0,9.0,
662,Therapeutic services - 48 Precinct,779 Garden St,5676,,79.0,15.0,
416,Freedom Riverside Drive,630 Riverside Drive,5842,,71.0,7.0,
958,Hoops by the River,259 WEST 152 STREET,8835,,71.0,9.0,
661,Therapeutic services - 44 Precinct,1131 Findlay Ave,5676,,77.0,16.0,
1260,Arab American Family Support Center Inc,150 Court Street,514,,52.0,39.0,
506,NYCHA Bushwick Houses,,4003,,,,
1308,BAM Fisher,312 Ashland Place,9856,,57.0,35.0,
708,Brooklyn,320 Schermerhorn St.,5611,,52.0,33.0,
690,High School for Civil Rights,400 Granville Payne Ave,5674,,60.0,42.0,
1246,AMPHS,5306 3 Avenue,7256,21.0,51.0,38.0,
342,JusticeHome Brooklyn,175 Remsen Street,5777,,52.0,33.0,
1393,"Boys & Girls Harbor, Inc.",1 East  104 Street,9453,210.0,68.0,8.0,
436,Manhattan Family Court,60 Lafayette Street,5563,,66.0,1.0,
367,Queens Family Justice Center,126-02 82nd Ave,8333,,27.0,29.0,
286,Northern Manhattan Improvement Corporation - HQ,45 WADSWORTH AVENUE,1953,,72.0,10.0,
284,LSNYC-BK-1,105 COURT STREET,1935,,52.0,33.0,
641,Hinton Park,,4740,,,,
541,NYC,,7074,,,,
828,Good Shepherd,692 BLAKE AVENUE,4867,,60.0,42.0,
486,Castle Hill Houses Basketball League,,4740,,,,
737,Public Safety Coalition,,4864,,,,
265,"New York Legal Assistance Group, Inc. (HQ)",7 HANOVER SQUARE,1401,,65.0,1.0,
54,PROJECT HOSPITALITY INC_Staten Island,25 CENTRAL AVENUE,3431,,61.0,49.0,
460,Staten Island Family Court,100 Richmond Terrace,4520,,61.0,49.0,
816,Queensbridge,2976 NORTHERN BOULEVARD,4018,,37.0,26.0,
1303,August Martin High School - H.S. 400,156-10 Baisley Boulevard,3573,,32.0,28.0,
1343,Beacon 269,1957 Nostrand Avenue,3156,300.0,42.0,45.0,
330,Brooklyn,25 Chapel Street,5833,,52.0,33.0,
722,Cure Violence - 47 Precinct,,6986,,,,
308,Center for Court Innovation: Headquarters,520 8 AVENUE,3483,,75.0,3.0,
166,JASA BROOKLYN,,3257,390.0,,,
859,Ingersoll Houses,177 MYRTLE AVENUE,5034,,57.0,35.0,
