phone,census_tract,fatal_crashes,top_vehicle_models_3,council_district,top_vehicle_models_4,:@computed_region_efsh_h5xi,base_does_business_as
718 322 1800,100.0,0.0,Ford Escape,28.0,Honda Odyssey,24016,JAMAICA EXPRESS CAR SERVICE
718-836-6666,60.0,0.0,Ford Expedition,43.0,Hyundai Sonata,17216,VICTORY CAR & LIMO SERVICE 
718-359-2222,929.0,0.0,Toyota Sienna,19.0,Honda CR-V,14191,NEW JUBILEE CAR SERVICE
718 835 3500,884.0,0.0,Nissan Altima,32.0,,15314,QUEENS DISPATCH SERVICE
646-665-7489,99.0,0.0,Toyota Sienna,3.0,Chevrolet Tahoe,11722,UBER
718-591-7000,1241.0,0.0,Lincoln Town Car,24.0,Ford Crown Victoria,14508,EVERGREEN TRANS
718-881-0707,350.0,0.0,Toyota Camry,12.0,Toyota HIghlander,11607,COMMUNITY CAR SERVICE
718-446-8700 or 718-446-8793,291.0,0.0,Chrysler 300,25.0,Toyota Camry,14783,MEXICANA CAR SERVICE 
718-845-1100,38.0,0.0,Toyota Highlander,32.0,Chevrolet Tahoe,24012,INTA-BORO ACRES
718-333-1234,869.0,0.0,Acura MDX,20.0,Mercedes-Benz GL450,13832,DADDY LIMO 
718-937-0800,1.0,0.0,Lincoln MKT,26.0,Cadillac Escalade,16858,GSL LIMOUSINES 
718-773-0020,227.0,0.0,Toyota Camry,36.0,Chrysler 300,13829,PARTICULAR PEOPLE CAR SERVICE 
718-449-1111,398.0,0.0,Ford Taurus,47.0,Toyota Camry,18183,AMERICANA TRANSPORTATION 
718-615-0039,61004.0,0.0,Toyota Sienna,48.0,Honda Odyssey,13826,LA MORENITA CAR LIMO SERVICE 
516-741-1515,945.0,0.0,Chevrolet Tahoe,19.0,GMC Yukon XL,14192,PARTNERS DYNAMIC SECURITY TRANSPORTATION
718-937-9147,199.0,0.0,Ford Escape,26.0,Toyota Prius,16858,JAMES A LEASING 
646-844-6564,58.0,0.0,GMC Yukon XL,2.0,Toyota Highlander,12073,FLATIRON TRANSIT 
212-364-2000,171.0,0.0,,26.0,,16858,LAPUMA GO GREEN
201-477- 3200,,0.0,Chevrolet Tahoe,,Lincoln Town Car,24209,EUROPE LIMO SERVICE 
718-621-0404,256.0,0.0,Toyota Sienna,47.0,Ford Crown Victoria,17616,GUADALUPANA CAR LIMO
646-665-7473,99.0,0.0,Toyota Avalon,3.0,Nissan Altima,11722,UBER
718-937-0800,1.0,0.0,Lincoln MKT,26.0,Cadillac Escalade,16858,GOLD SEAL CAR & LIMO 
718-472-2400,199.0,0.0,Chevrolet Tahoe,26.0,Chevrolet Suburban,16858,ELITE LIMO PLUS 
718-438-1100,228.0,0.0,Toyota Camry,39.0,Toyota Avalon,17620,SUMMIT CORPORATE CAR 
718-979-0114,11202.0,0.0,Dodge Caravan,50.0,Nissan Altima,10693,HISPANOS CAR SERVICE 
718-585-8500,19.0,0.0,Chevrolet Suburban,17.0,Lincoln MKS,10932,R & R ROAD LIMO SERVICE 
718-238-0224,68.0,0.0,Honda Accord,43.0,Honda Pilot,18180,EXPLORER LUXURY 
212-666-6666,85.0,0.0,Lincoln Town Car,26.0,Toyota Camry,16863,FAST OPERATING CORPORATION
Yes,974.0,,Lincoln Town Car,42.0,Toyota Camry,13827,THREE GUY'S CAR SERVICE
212-966-5678,27.0,0.0,Chevrolet Tahoe,1.0,Toyota Avalon,13096,STANDARD LIMOUSINE & CAR SERVICE GROUP 
