engroupa,avgofoth_n,avgofnocrim_n,avgofprop_n,schools,school_year,nocrim_n,register
2C,0.71,1.71,0.51,1,2016 - 17,1.0,178.0
2C,0.71,1.71,0.51,1,2016 - 17,5.0,226.0
2C,0.71,1.71,0.51,1,2016 - 17,1.0,178.0
7C,3.02,5.77,1.72,1,2016 - 17,4.0,1278.0
3C,0.9,1.67,0.63,2,2016 - 17,0.0,436.0
3C,0.9,1.67,0.63,1,2016 - 17,5.0,476.0
3C,0.9,1.67,0.63,2,2016 - 17,4.0,385.0
6C,2.12,3.64,1.39,1,2016 - 17,0.0,1122.0
6C,,,,2,2016 - 17,,1004.0
6C,,,,2,2016 - 17,,1004.0
9C,3.5,7.25,2.55,1,2016 - 17,4.0,1836.0
9C,3.5,7.25,2.55,5,2016 - 17,20.0,1902.0
10C,7.16,17.44,3.63,6,2016 - 17,50.0,2397.0
5C,1.71,2.38,0.98,3,2016 - 17,23.0,926.0
5C,1.71,2.38,0.98,2,2016 - 17,1.0,806.0
5C,1.71,2.38,0.98,1,2016 - 17,7.0,821.0
,,,,4,2016 - 17,,
4C,1.11,1.74,0.75,1,2016 - 17,0.0,511.0
4C,1.11,1.74,0.75,1,2016 - 17,1.0,699.0
4C,1.11,1.74,0.75,1,2016 - 17,0.0,575.0
