program1,prgdesc8,eligibility5,pct_stu_safe,method1,grades2019,grade9swdapplicants1,grade9geapplicants3
Jacob K. Javits Law Institute,,,0.87,Ed. Opt.,9 to 12,434.0,2719.0
The Urban Assembly School for Emergency Management,,,0.87,Ed. Opt.,9 to 12,55.0,
Epic High School - North,,,0.92,Ed. Opt.,9 to 12,108.0,
The Bronxwood Preparatory Academy,,,0.82,Ed. Opt.,9 to 12,91.0,
Sport Management,,,0.78,Ed. Opt.,9 to 12,108.0,
Bronx Aerospace High School,,,0.75,Ed. Opt.,9 to 12,96.0,
STEM Institute for Science Research,,,0.71,Screened,9 to 12,43.0,296.0
Software Engineering Institute,"This program offers students challenging college-prep classes such as AP, IB, AVID, and CTE classes. Students are supported with AVID pedagogy that develops study, note-taking, and organizational skills. Curtis is pursuing certification of its IB Career-related program which is nested within this program. Curtis currently offers career pathways in STEM, art, and law. This program is also part of the CHS World Student Exchange with the Netherlands, Italy, France, and/or Spain.",,0.76,Open,9 to 12,106.0,316.0
The Cinema School,,,0.89,Screened,9 to 12,227.0,
Digital Media/Recording Entertainment Technology,,,0.92,Screened: Language,9 to 12,34.0,
Academy for Excellence,,,0.71,Ed. Opt.,9 to 12,108.0,
Bronx Studio School for Writers and Artists,,,0.77,Ed. Opt.,6 to 12,145.0,
Metropolitan Diploma Plus High School,,,0.9,Transfer,9 to 12,5.0,
Arts & Technology,,,0.7,Ed. Opt.,9 to 12,270.0,
Comprehensive Model School Project (CMSP),,,0.89,Open,6 to 12,232.0,
Computer Forensic Science and Technology,,,0.76,Ed. Opt.,9 to 12,118.0,153.0
Instrumental Music,,,0.77,Audition,6 to 12,31.0,65.0
Khalil Gibran International Academy,,,0.85,Ed. Opt.,9 to 12,25.0,
The Clinton School,,,0.9,Screened,6 to 12,279.0,
College and University Transitional Seminar,,,0.85,Screened,9 to 12,311.0,
Hillside Arts & Letters Academy,,,0.9,Ed. Opt.,9 to 12,141.0,
