school_name,code1,school_name_1,code1_1,total_attendance_rate
"Facing History School, The",M02R,"Facing History School, The",M02R,0.80000001
New Utrecht High School,K28A,New Utrecht High School,K28A,0.88
Urban Assembly New York Harbor School,K51A,Urban Assembly New York Harbor School,K51A,0.88999999
Epic High School - North,Q65A,Epic High School - North,Q65A,0.85000002
Bronx School of Law and Finance,X28A,Bronx School of Law and Finance,X28A,0.79000002
"Metropolitan High School, The",X77R,"Metropolitan High School, The",X77R,0.77999997
"Mathematics, Science Research and Technology Magnet High School",Q55A,"Mathematics, Science Research and Technology Magnet High School",Q55A,0.83999997
Brooklyn Institute for Liberal Arts (BILA),L17A,Brooklyn Institute for Liberal Arts (BILA),L17A,0.91000003
"Eagle Academy for Young Men of Staten Island, The",R28L,"Eagle Academy for Young Men of Staten Island, The",R28L,0.88999999
"City Polytechnic High School of Engineering, Architecture, and Technology",L59A,"City Polytechnic High School of Engineering, Architecture, and Technology",L59A,0.91000003
Queens High School for the Sciences at York College,Q00S,Queens High School for the Sciences at York College,Q00S,0.97000003
Robert F. Kennedy Community High School,Q70A,Robert F. Kennedy Community High School,Q70A,0.89999998
George Westinghouse Career and Technical Education High School,K70C,George Westinghouse Career and Technical Education High School,K70C,0.88
Life Academy High School for Film and Music,L38A,Life Academy High School for Film and Music,L38A,0.83999997
Brooklyn Collegiate: A College Board School,K93X,Brooklyn Collegiate: A College Board School,K93X,0.83999997
New Design High School,M53A,New Design High School,M53A,0.82999998
William E. Grady Career and Technical Education High School,K67A,William E. Grady Career and Technical Education High School,K67A,0.81999999
Susan E. Wagner High School,R17A,Susan E. Wagner High School,R17A,0.91000003
Liberation Diploma Plus,L72A,Liberation Diploma Plus,L72A,0.47999999
DeWitt Clinton High School,X10A,DeWitt Clinton High School,X10A,0.81999999
Frederick Douglass Academy II Secondary School,M39A,Frederick Douglass Academy II Secondary School,M39A,0.81999999
"Michael J. Petrides School, The",R15J,"Michael J. Petrides School, The",R15J,0.92000002
