full_location_address,center_count,address_street,digital_literacy,address_street_1,full_location_address_1
"98-27 Metropolitan Avenue, 11375, Queens, New York, USA",1,"98-27 Metropolitan Avenue, 11375, Queens, New York, USA",N,"98-27 Metropolitan Avenue, 11375, Queens, New York, USA","98-27 Metropolitan Avenue, 11375, Queens, New York, USA"
"86-25 Francis Lewis Boulevard, 11427, Queens, New York, USA",1,"86-25 Francis Lewis Boulevard, 11427, Queens, New York, USA",N,"86-25 Francis Lewis Boulevard, 11427, Queens, New York, USA","86-25 Francis Lewis Boulevard, 11427, Queens, New York, USA"
"3601 Surf Avenue , 11224, Brooklyn, New York, USA",1,"3601 Surf Avenue , 11224, Brooklyn, New York, USA",Y,"3601 Surf Avenue , 11224, Brooklyn, New York, USA","3601 Surf Avenue , 11224, Brooklyn, New York, USA"
"476 Fountain Avenue, 11208, Brooklyn, New York, USA",1,"476 Fountain Avenue, 11208, Brooklyn, New York, USA",N,"476 Fountain Avenue, 11208, Brooklyn, New York, USA","476 Fountain Avenue, 11208, Brooklyn, New York, USA"
"776 Lorimer Street, 11222, Brooklyn, New York, USA",1,"776 Lorimer Street, 11222, Brooklyn, New York, USA",N,"776 Lorimer Street, 11222, Brooklyn, New York, USA","776 Lorimer Street, 11222, Brooklyn, New York, USA"
"211 West 131st Street, 10027, Manhattan, New York, USA",1,"211 West 131st Street, 10027, Manhattan, New York, USA",Y,"211 West 131st Street, 10027, Manhattan, New York, USA","211 West 131st Street, 10027, Manhattan, New York, USA"
"415 E 93rd St, 10128, Manhattan, New York, USA",1,"415 E 93rd St, 10128, Manhattan, New York, USA",Y,"415 E 93rd St, 10128, Manhattan, New York, USA","415 E 93rd St, 10128, Manhattan, New York, USA"
"332 E 70th Street, 10021, Manhattan, New York, USA",1,"332 E 70th Street, 10021, Manhattan, New York, USA",Y,"332 E 70th Street, 10021, Manhattan, New York, USA","332 E 70th Street, 10021, Manhattan, New York, USA"
"203 West 115th Street, 10026, Manhattan, New York, USA",1,"203 West 115th Street, 10026, Manhattan, New York, USA",N,"203 West 115th Street, 10026, Manhattan, New York, USA","203 West 115th Street, 10026, Manhattan, New York, USA"
"55 East 102nd Street , 10029, Manhattan, New York, USA",1,"55 East 102nd Street , 10029, Manhattan, New York, USA",Y,"55 East 102nd Street , 10029, Manhattan, New York, USA","55 East 102nd Street , 10029, Manhattan, New York, USA"
"16-26 Cross Bay Boulevard, 11693, Queens, New York, USA",1,"16-26 Cross Bay Boulevard, 11693, Queens, New York, USA",N,"16-26 Cross Bay Boulevard, 11693, Queens, New York, USA","16-26 Cross Bay Boulevard, 11693, Queens, New York, USA"
"221 West 143rd Street, 10030, Manhattan, New York, USA",1,"221 West 143rd Street, 10030, Manhattan, New York, USA",N,"221 West 143rd Street, 10030, Manhattan, New York, USA","221 West 143rd Street, 10030, Manhattan, New York, USA"
"1901 Mermaid Ave. (Near W. 19th St.), 11224, Brooklyn, New York, USA",1,"1901 Mermaid Ave. (Near W. 19th St.), 11224, Brooklyn, New York, USA",Y,"1901 Mermaid Ave. (Near W. 19th St.), 11224, Brooklyn, New York, USA","1901 Mermaid Ave. (Near W. 19th St.), 11224, Brooklyn, New York, USA"
"109-04 160th Street, 11433, Queens, New York, USA",1,"109-04 160th Street, 11433, Queens, New York, USA",N,"109-04 160th Street, 11433, Queens, New York, USA","109-04 160th Street, 11433, Queens, New York, USA"
"311 Greenwich Street 2nd Floor, 10013, Manhattan, New York, USA",1,"311 Greenwich Street 2nd Floor, 10013, Manhattan, New York, USA",Y,"311 Greenwich Street 2nd Floor, 10013, Manhattan, New York, USA","311 Greenwich Street 2nd Floor, 10013, Manhattan, New York, USA"
"372 East 152nd Street, 10455, Bronx, New York, USA",1,"372 East 152nd Street, 10455, Bronx, New York, USA",Y,"372 East 152nd Street, 10455, Bronx, New York, USA","372 East 152nd Street, 10455, Bronx, New York, USA"
"78 West 168th Street, 10452, Bronx, New York, USA",1,"78 West 168th Street, 10452, Bronx, New York, USA",N,"78 West 168th Street, 10452, Bronx, New York, USA","78 West 168th Street, 10452, Bronx, New York, USA"
"1000 Utica Ave. , 11203, Brooklyn, New York, USA",1,"1000 Utica Ave. , 11203, Brooklyn, New York, USA",N,"1000 Utica Ave. , 11203, Brooklyn, New York, USA","1000 Utica Ave. , 11203, Brooklyn, New York, USA"
"501 Brielle Avenue, 10314, Staten Island, New York, USA",1,"501 Brielle Avenue, 10314, Staten Island, New York, USA",N,"501 Brielle Avenue, 10314, Staten Island, New York, USA","501 Brielle Avenue, 10314, Staten Island, New York, USA"
"975 Waring Avenue, 10469, Bronx, New York, USA",1,"975 Waring Avenue, 10469, Bronx, New York, USA",N,"975 Waring Avenue, 10469, Bronx, New York, USA","975 Waring Avenue, 10469, Bronx, New York, USA"
"55 Pierrepont Street, 11201, Brooklyn, New York, USA",1,"55 Pierrepont Street, 11201, Brooklyn, New York, USA",N,"55 Pierrepont Street, 11201, Brooklyn, New York, USA","55 Pierrepont Street, 11201, Brooklyn, New York, USA"
"10-25 41st Avenue, 11101, Queens, New York, USA",1,"10-25 41st Avenue, 11101, Queens, New York, USA",Y,"10-25 41st Avenue, 11101, Queens, New York, USA","10-25 41st Avenue, 11101, Queens, New York, USA"
