dob_violation_number,issue_date,respondent_city,ecb_violation_status,violation_description,category,count,avg_value,total_value,max_value
070909CDOEJM12,20090707,,RESOLVE,"WIRE GLASS IN DOOR LIGHTS REPLACED W/ PLEXIGLASS LOCATION. C-114, C-115 REMEDY: INSTALL WIRE GLASS",Low Penalty,1,0.0,0.0,0
071910LLFEC01,20100719,BROOKLYN,RESOLVE,FAILURE TO FILE AN ACCEPTABLE SIXTH ROUND TECHNICAL REPORT IN COMPLIANCE WITH CODE PROVISIONS: PERIODIC INSPECTION OF EXTERIOR WALLS AND APPURTENANCES AS REQUIRED BY ARTICLE 28.302 AND THE DEPARTMENT OF BUILDIN,Medium Penalty,1,4000.0,4000.0,4000
042209CEXGYG01,20090422,FLUSHING,RESOLVE,"SEC. 3304.3.1;27-195. FAILURE TO NOTIFY DOB W/I 24-48 HRS OF START OF EXCAVATION. NOTED: SITE HAS BEEN SHORED, EXCAVATED W/MACHINE ON SITE. AT TIME OF INSPECTION NO RULE ( ) MADE. REMEDY: COMPLY W/NOV BY",Low Penalty,1,0.0,0.0,0
010710CSTFRC05,20100107,QNS,RESOLVE,UNLAWFUL ACTS. FAIL TO COMPLY W.COMM ORDER. RESPONDENT FAILED TO CORRECT THE CONDITION CITED IN THE PRIOR NOV 34682594Z- FOR WORK W.O A PERMIT. INSTALLED 3 PC BATHROOM & GAS LINE AT CELLAR LEVEL. NO RECORD OF C,High Penalty,1,12000.0,12000.0,12000
101708LL1198,20081017,LIC,RESOLVE,FAILURE TO FILE AN AMENDED 5TH ROUND REPORT ACCEPTABLE TO THIS DEPARTMENT INDICATING CORRECTION OF UNSAFE CONDITIONS DESCRIBED IN INITIAL LOCAL LAW 11/98 REPORT. REMEDY: FILE AN AMENDED REPORT FOLLOWING REMEDIA,Low Penalty,2,0.0,0.0,0
032500C01GS05,20000325,QUEENS,RESOLVE,RESIDENCE IS ALTERED FOR OCCUPANCY AS A DWELLING FOR MORE THAN LEGALLY APPROVED NUMBER OF FAMILY AS PER C OF O #172457 RESIDENCE LEGALLY APPROVED TWO FAMILY RESIDENCE IS NOW ALTERED FOR OCCUPANCY BY THREE FAMIL,Medium Penalty,1,3050.0,3050.0,3050
120809ASTFNS04,20091208,QUEENS,RESOLVE,"RECURR COND/UNLAWFUL ACTS,FAILURE TO COMPLY WITH COMM-ORDER TO CORRECTCONDITIONS CITED IN 34578013L-FOR WORK DONE W/O A PERMIT AT CELLAR.RE MEDY:CORRECT CONDITIONS CITED.",High Penalty,1,24000.0,24000.0,24000
111909ASTFGM13,20091119,QNS,RESOLVE,FAILURE TO CORRECT ECB#34650712Y FOR ILLEGAL CLASS A APT IN CELLAR LVLRESPONDENT HAS A HISTORY OF NON-COMPLIANCE W/ DOB REM; COMPLY W/ ORDER,High Penalty,1,25000.0,25000.0,25000
071709CSSUJAF01,20090717,BK,RESOLVE,SEC. 1RCNY 9-01 RIGGER FAILED TO NAME A DESIGNATED FOREMAN. NOTED: NO DESIGNATED FOREMAN AT SITE AT TIME OF INSPECTION. WORKER AT SITE SAID HE WAS THE FOREMAN (GONZALO RAMIREZ). BUT THE INSPECTION RECORDS WAS,Low Penalty,1,400.0,400.0,400
031809C04XZ01,20090318,QNS,ACTIVE,WORK W/O PERMIT. NOTED: CREATED 2 CURB CUT AND 2 OFF STREET PARKING AT BACK YARD ON 52 AVE. CONTRUCT 2 CURB CUT. 10' WIDE EACH. 2 OFF STREETPARKING. APPROX 20' X 20'. REMEDY: OBTAIN PERMIT.,Low Penalty,2,800.0,1600.0,800
