job_filing_number,work_permit,permit_status,category,count,avg_value,total_value,max_value
Q01159580-I1,Q01159580-I1-SF,Permit Issued,Low Cost,1,12000.0,12000.0,12000.0
X00927185-I1,X00927185-I1-SH,Permit Issued,Low Cost,1,1.0,1.0,1.0
Q00900187-S2,Q00900187-S2-FO-EA,Signed-off,Low Cost,2,0.0,0.0,0.0
B01016766-S1,B01016766-S1-ST,Signed-off,Medium Cost,1,100000.0,100000.0,100000.0
Q00546535-I1,Q00546535-I1-SH,Signed-off,Low Cost,4,30800.0,123200.0,30800.0
M01160464-I1,M01160464-I1-GC,Signed-off,High Cost,2,700000.0,1400000.0,700000.0
B00629993-S8,B00629993-S8-MS,Signed-off,Low Cost,1,1000.0,1000.0,1000.0
B01145087-I1,B01145087-I1-SH,Signed-off,Low Cost,1,7000.0,7000.0,7000.0
B01239231-I1,B01239231-I1-PMM,Permit Issued,Low Cost,1,50000.0,50000.0,50000.0
B00629993-S8,B00629993-S8-MS,Permit Issued,Low Cost,2,1000.0,2000.0,1000.0
M00607019-I1,M00607019-I1-FN,Permit Issued,Low Cost,1,5000.0,5000.0,5000.0
X00795971-S3,X00795971-S3-ST,Signed-off,Low Cost,2,1000.0,2000.0,1000.0
B01109630-I1,B01109630-I1-SF,Signed-off,Low Cost,16,5000.0,80000.0,5000.0
M01201556-I1,M01201556-I1-GC,Signed-off,Medium Cost,1,73000.0,73000.0,73000.0
B01204961-S1,B01204961-S1-PL,Signed-off,Low Cost,1,7500.0,7500.0,7500.0
M00912754-I1,M00912754-I1-GC,Permit Issued,Low Cost,1,25000.0,25000.0,25000.0
M01139683-S3,M01139683-S3-FN,Signed-off,Low Cost,1,8000.0,8000.0,8000.0
B00338846-S1,B00338846-S1-BE,Permit Issued,Low Cost,1,2000.0,2000.0,2000.0
Q01170734-S1,Q01170734-S1-MS,Permit Issued,Low Cost,1,50000.0,50000.0,50000.0
S01134832-I1,S01134832-I1-GC,Signed-off,Low Cost,1,4440.0,4440.0,4440.0
X01201226-S7,X01201226-S7-SE,Signed-off,Low Cost,1,0.0,0.0,0.0
M01157659-S2,M01157659-S2-MS,Permit Issued,Low Cost,1,2000.0,2000.0,2000.0
B00629993-Z1,B00629993-Z1-PL,Permit Issued,Low Cost,2,1000.0,2000.0,1000.0
S01239048-I1,S01239048-I1-GC-CX,Permit Issued,Low Cost,6,0.0,0.0,0.0
M01218691-S2,M01218691-S2-PL,Permit Issued,Low Cost,1,42715.0,42715.0,42715.0
X01004429-S1,X01004429-S1-ST,Signed-off,Low Cost,1,1000.0,1000.0,1000.0
S01275316-I1,S01275316-I1-SL,Signed-off,Medium Cost,1,52650.0,52650.0,52650.0
X00868217-I1,X00868217-I1-SF,Signed-off,Low Cost,54,5000.0,270000.0,5000.0
B01048332-S2,B01048332-S2-PL,Signed-off,Low Cost,2,13500.0,27000.0,13500.0
Q01286799-I1,Q01286799-I1-SL,Signed-off,Low Cost,1,31208.2,31208.2,31208.2
B01204250-I1,B01204250-I1-GC,Signed-off,Medium Cost,1,75335.0,75335.0,75335.0
B01239721-I1,B01239721-I1-FN,Permit Issued,Low Cost,1,160.0,160.0,160.0
M01280587-I1,M01280587-I1-PL,Permit Issued,Low Cost,1,34000.0,34000.0,34000.0
B00202585-I1,B00202585-I1-ST,Signed-off,Low Cost,2,46000.0,92000.0,46000.0
B00629993-Z1,B00629993-Z1-PL,Signed-off,Low Cost,1,1000.0,1000.0,1000.0
M01287862-I1,M01287862-I1-SC,Permit Issued,Low Cost,1,0.0,0.0,0.0
B00485579-I1,B00485579-I1-GC-CX,Permit Issued,Medium Cost,108,350000.0,37800000.0,350000.0
Q01168295-I1,Q01168295-I1-SL,Signed-off,Medium Cost,1,59043.0,59043.0,59043.0
M01030189-I1,M01030189-I1-SC,Signed-off,Low Cost,2,0.0,0.0,0.0
S00490341-I1,S00490341-I1-FN,Signed-off,Low Cost,8,1000.0,8000.0,1000.0
M01248246-I1,M01248246-I1-EW-SP,Signed-off,Low Cost,1,20000.0,20000.0,20000.0
M01216287-S1,M01216287-S1-MS,Permit Issued,Medium Cost,1,329000.0,329000.0,329000.0
X00927718-I1,X00927718-I1-GC,Permit Issued,Low Cost,1,0.0,0.0,0.0
S01170084-I1,S01170084-I1-GC-CX,Permit Issued,Low Cost,9,0.0,0.0,0.0
Q01179617-I1,Q01179617-I1-GC,Signed-off,Low Cost,2,40000.0,80000.0,40000.0
M08019018-I1,M08019018-I1-SF,Permit Issued,Low Cost,1,50000.0,50000.0,50000.0
M00936552-I1,M00936552-I1-ST,Signed-off,Medium Cost,1,435350.0,435350.0,435350.0
M01031771-I1,M01031771-I1-MS,Signed-off,Medium Cost,2,121000.0,242000.0,121000.0
M01113791-I1,M01113791-I1-SC,Permit Issued,Low Cost,2,0.0,0.0,0.0
M00657367-I1,M00657367-I1-PL,Signed-off,Low Cost,2,37470.0,74940.0,37470.0
B01130089-I1,B01130089-I1-GC,Signed-off,Low Cost,1,34600.0,34600.0,34600.0
