job__,total_est_fee_sum,sign_advertising,latest_action_date
321567327,1000.0,BUSINESS,10/11/2017 00:00:00
421554589,100.0,BUSINESS,09/15/2017 00:00:00
220614725,300.0,BUSINESS,09/08/2017 00:00:00
123163254,698.0999999999999,BUSINESS,10/11/2017 00:00:00
421561937,400.0,BUSINESS,08/16/2017 00:00:00
421541317,300.0,BUSINESS,09/08/2017 00:00:00
123351835,200.0,BUSINESS,08/02/2017 00:00:00
421534673,300.0,BUSINESS,09/19/2017 00:00:00
321649007,100.0,ADVERTISING,09/01/2017 00:00:00
123163913,240.0,BUSINESS,10/12/2017 00:00:00
321609559,240.0,BUSINESS,09/14/2017 00:00:00
421561937,600.0,BUSINESS,09/14/2017 00:00:00
123353487,420.0,BUSINESS,08/29/2017 00:00:00
421554026,200.0,BUSINESS,09/08/2017 00:00:00
421552135,181.2,BUSINESS,09/06/2017 00:00:00
123353487,420.0,BUSINESS,10/11/2017 00:00:00
123109395,300.0,BUSINESS,08/31/2017 00:00:00
121242048,100.0,BUSINESS,09/06/2017 00:00:00
123302853,300.6,BUSINESS,08/03/2017 00:00:00
123179041,100.0,BUSINESS,09/19/2017 00:00:00
421552876,240.0,BUSINESS,10/03/2017 00:00:00
123119758,240.0,BUSINESS,10/06/2017 00:00:00
123327337,200.0,BUSINESS,08/18/2017 00:00:00
220614725,900.0,BUSINESS,09/14/2017 00:00:00
421554026,400.0,BUSINESS,08/16/2017 00:00:00
421541317,900.0,BUSINESS,09/14/2017 00:00:00
123334944,2400.0,BUSINESS,09/12/2017 00:00:00
421562632,2208.0,BUSINESS,10/10/2017 00:00:00
321604894,201.8,BUSINESS,09/28/2017 00:00:00
421541567,150.3,BUSINESS,08/16/2017 00:00:00
123290125,100.0,BUSINESS,09/22/2017 00:00:00
520309540,341.8,BUSINESS,08/17/2017 00:00:00
421554026,400.0,BUSINESS,08/25/2017 00:00:00
421561937,200.0,BUSINESS,08/15/2017 00:00:00
421554026,600.0,BUSINESS,08/24/2017 00:00:00
321609648,800.0,BUSINESS,10/11/2017 00:00:00
421544911,160.6,BUSINESS,10/10/2017 00:00:00
421558665,300.6,BUSINESS,09/28/2017 00:00:00
421466210,150.3,BUSINESS,08/28/2017 00:00:00
123334980,1200.0,BUSINESS,10/04/2017 00:00:00
421554026,600.0,BUSINESS,09/14/2017 00:00:00
421561937,200.0,BUSINESS,09/08/2017 00:00:00
123122021,300.6,BUSINESS,10/11/2017 00:00:00
220614725,600.0,BUSINESS,08/16/2017 00:00:00
421560787,200.0,BUSINESS,10/03/2017 00:00:00
421541317,600.0,BUSINESS,08/16/2017 00:00:00
123163254,698.0999999999999,BUSINESS,08/29/2017 00:00:00
220614725,600.0,BUSINESS,10/05/2017 00:00:00
421541317,600.0,BUSINESS,10/05/2017 00:00:00
123122021,300.6,BUSINESS,08/03/2017 00:00:00
421542637,160.6,BUSINESS,08/18/2017 00:00:00
220614725,600.0,BUSINESS,08/25/2017 00:00:00
220614725,900.0,BUSINESS,08/24/2017 00:00:00
421541317,600.0,BUSINESS,08/25/2017 00:00:00
421541317,900.0,BUSINESS,08/24/2017 00:00:00
421554026,400.0,BUSINESS,10/05/2017 00:00:00
421561937,400.0,BUSINESS,10/05/2017 00:00:00
123353487,420.0,BUSINESS,08/03/2017 00:00:00
123043688,397.5,BUSINESS,07/28/2017 00:00:00
123079685,930.8,BUSINESS,08/18/2017 00:00:00
123035919,600.0,BUSINESS,07/28/2017 00:00:00
123334980,2400.0,BUSINESS,09/12/2017 00:00:00
520309513,263.6,BUSINESS,08/25/2017 00:00:00
321609577,100.0,BUSINESS,09/26/2017 00:00:00
421560787,400.0,BUSINESS,10/04/2017 00:00:00
123163254,698.0999999999999,BUSINESS,08/03/2017 00:00:00
321609559,120.0,BUSINESS,09/11/2017 00:00:00
321609559,240.0,BUSINESS,09/22/2017 00:00:00
421561937,400.0,BUSINESS,08/25/2017 00:00:00
421554026,200.0,BUSINESS,08/15/2017 00:00:00
421561937,600.0,BUSINESS,08/24/2017 00:00:00
123334980,600.0,BUSINESS,10/03/2017 00:00:00
520307971,150.3,BUSINESS,09/25/2017 00:00:00
421560787,800.0,BUSINESS,09/12/2017 00:00:00
421542003,400.0,BUSINESS,08/17/2017 00:00:00
421559101,100.0,BUSINESS,10/03/2017 00:00:00
321631579,100.0,BUSINESS,08/01/2017 00:00:00
123334944,1200.0,BUSINESS,10/04/2017 00:00:00
520309498,600.0,BUSINESS,08/30/2017 00:00:00
123119785,959.8,BUSINESS,09/20/2017 00:00:00
123163548,100.0,BUSINESS,10/11/2017 00:00:00
321567292,200.0,BUSINESS,09/20/2017 00:00:00
220614725,300.0,BUSINESS,08/15/2017 00:00:00
421541317,300.0,BUSINESS,08/15/2017 00:00:00
123335202,160.6,BUSINESS,10/11/2017 00:00:00
123188424,160.6,BUSINESS,10/06/2017 00:00:00
123122021,300.6,BUSINESS,08/29/2017 00:00:00
123334944,600.0,BUSINESS,10/03/2017 00:00:00
