queens_condominium_property_neighborhood,queens_condominium_property_market_value_per_sqft,queens_condominium_property_full_market_value,queens_condominium_property_est_gross_income,queens_condominium_property_gross_income_per_sqft,latitude,longitude
COLLEGE POINT,87.0,2640005,633885,21.0,40.784767,-73.85684
FLUSHING-NORTH,75.0,1209997,324896,20.1,40.765447,-73.827186
FLUSHING-NORTH,71.0,5139997,1373700,19.0,40.7569,-73.830442
FLUSHING-NORTH,67.0,6839985,1829232,18.0,40.762372,-73.819332
HOWARD BEACH,49.0,2570000,759800,14.5,40.665531,-73.855885
REGO PARK,43.6,2890006,928536,14.0,40.726309,-73.859011
WOODSIDE,65.0,1019998,273577,17.5,40.744133,-73.896823
BRIARWOOD,63.0,12300000,3288946,16.75,40.709687,-73.819265
BRIARWOOD,51.0,963997,285000,15.0,40.714545,-73.822668
ELMHURST,67.0,8819997,2357640,18.0,40.742806,-73.884112
ELMHURST,43.6,553001,177548,14.0,40.744073,-73.894052
ELMHURST,42.0,12700000,4080186,13.5,40.734349,-73.865897
LONG ISLAND CITY,104.0,2689999,648450,25.0,40.751705,-73.938134
CORONA,91.0,1280000,294000,21.0,40.750796,-73.861656
