brooklyn_cooperatives_comparable_properties_boro_block_lot,brooklyn_cooperatives_comparable_properties_estimated_gross_income,brooklyn_cooperatives_comparable_properties_full_market_value,brooklyn_cooperatives_comparable_properties_market_value_per_sqft,brooklyn_cooperatives_comparable_properties_building_classification,brooklyn_cooperatives_comparable_properties_expense_per_sqft,brooklyn_cooperatives_comparable_properties_estimated_expense,total_estimated_gross_income
3-05257-0035,202824,439000,14.07,C6-WALK-UP,4.14,129060,202824.0
3-01169-0024,2048469,6751000,48.02,D4-ELEVATOR,7.62,1071334,2048469.0
3-07441-0231,576484,2025000,38.67,D4-ELEVATOR,4.75,248710,576484.0
3-06888-0006,655452,2633000,61.46,D4-ELEVATOR,6.35,272034,655452.0
3-05657-0035,1349568,3744000,31.52,D4-ELEVATOR,6.46,767448,1349568.0
3-02061-0040,2041817,6343000,33.8,D4-ELEVATOR,5.42,1017155,2041817.0
3-00733-0025,598706,2140000,57.87,C6-WALK-UP,7.69,284376,598706.0
3-05233-0001,784428,1342000,17.07,D4-ELEVATOR,6.58,517188,784428.0
3-03367-0056,381960,1030000,28.61,D4-ELEVATOR,6.0,216000,381960.0
3-00385-0060,194697,788000,89.73,C6-WALK-UP,9.65,84746,194697.0
3-00993-0031,282105,1270000,71.35,C6-WALK-UP,5.41,96253,282105.0
3-07397-0085,991354,3758000,53.15,D4-ELEVATOR,5.94,420017,991354.0
3-00254-0001,822678,2882000,59.87,D4-ELEVATOR,8.51,409654,822678.0
3-00242-0012,924426,3534000,91.18,D4-ELEVATOR,11.33,439151,924426.0
3-07579-0029,3359376,9073000,30.74,D4-ELEVATOR,6.6,1948320,3359376.0
3-01152-0071,452320,2074000,106.01,C6-WALK-UP,8.6,168250,452320.0
3-00231-0030,1778475,5017000,43.84,D4-ELEVATOR,9.14,1046027,1778475.0
3-03633-0001,2906010,6033000,15.15,D4-ELEVATOR,4.74,1888909,2906010.0
3-08669-0073,341475,1186000,41.64,C6-WALK-UP,5.45,155216,341475.0
3-05356-0042,597848,1558000,26.14,D4-ELEVATOR,5.84,348179,597848.0
3-00235-0028,884844,3397000,69.1,D4-ELEVATOR,8.41,413419,884844.0
3-01173-0040,266100,1147000,76.47,C6-WALK-UP,7.14,107100,266100.0
3-07559-0023,1137672,4301000,52.17,D4-ELEVATOR,5.89,485572,1137672.0
3-06286-0043,493440,1428000,29.75,D4-ELEVATOR,5.5,264000,493440.0
3-00234-0019,334263,1265000,77.85,C6-WALK-UP,9.98,162175,334263.0
