dfta_id,programname,monhouropen,programzipcode,tuehourclose,monhourclose,rank,dense_rank
C0804,BERGEN BASIN MIDWOOD OLDER ADULT CENTER (C08),09:00:00,11234,05:00:00,05:00:00,1,1
C9003,WAYSIDE OUT TILDEN SENIOR CENTER (C90),09:00:00,11212,05:00:00,05:00:00,1,1
2TT01,COPO (2TT),,11230,,,1,1
4AT01,MIDDLE VILLAGE ADULT CENTER (4AT),,11379,,,1,1
4AT01,MIDDLE VILLAGE ADULT CENTER (4AT),,11379,04:00:00,,1,1
6G801,GREENWICH HOUSE GMH MN 1-8 (6G8),09:00:00,10001,05:00:00,05:00:00,1,1
36G01,ENCORE HOME DELIVERED MEALS (36G),,10019,,,1,1
46G01,JASA QUEENS HOME DELIVERED MEALS (46G),,11691,,05:00:00,1,1
46G01,JASA QUEENS HOME DELIVERED MEALS (46G),,11691,,05:00:00,1,1
46G01,JASA QUEENS HOME DELIVERED MEALS (46G),,11691,05:00:00,05:00:00,1,1
46G01,JASA QUEENS HOME DELIVERED MEALS (46G),,11691,,,1,2
46G01,JASA QUEENS HOME DELIVERED MEALS (46G),,11691,,,1,2
46G01,JASA QUEENS HOME DELIVERED MEALS (46G),,11691,05:00:00,,1,2
C2103,CPC NY CHINATOWN NEIGHBORHOOD SENIOR CENTER (C21),09:00:00,10002,05:00:00,05:00:00,1,1
11V01,EAST SIDE HOUSE INC. (11V),,10454,,,1,1
11V01,EAST SIDE HOUSE INC. (11V),,10454,05:00:00,,1,1
C3001,CASABE SENIOR HOUSES AKA EAST HARLEM NSC (C30),09:00:00,10035,05:00:00,05:00:00,1,1
C5103,NYFSC MOTT STREET OLDER ADULT CENTER (C51),09:00:00,10012,05:00:00,05:00:00,1,1
11S01,EAST SIDE HOUSE - HDM - BX1-6 (11S),09:00:00,10454,,05:00:00,1,1
11S01,EAST SIDE HOUSE - HDM - BX1-6 (11S),09:00:00,10454,05:00:00,05:00:00,1,1
C8307,JASA SENIOR ALLIANCE OLDER ADULT CENTER (C83),08:00:00,11235,04:00:00,04:00:00,1,1
C8307,JASA SENIOR ALLIANCE OLDER ADULT CENTER (C83),08:00:00,11235,04:00:00,04:00:00,1,1
2MP01,RISEBORO - CMA - BK01 03 04 (2MP),09:00:00,11221,05:00:00,05:00:00,1,1
2MP01,RISEBORO - CMA - BK01 03 04 (2MP),09:00:00,11221,05:00:00,05:30:00,1,2
C2602,POLO GROUNDS SATELLITE (MN10) (C26),09:00:00,10039,05:00:00,05:00:00,1,1
29E01,JASA BROOKLYN HOME DELIVERED MEALS (29E),,11239,,,1,1
29E01,JASA BROOKLYN HOME DELIVERED MEALS (29E),,11239,,,1,1
29E01,JASA BROOKLYN HOME DELIVERED MEALS (29E),,11239,,,1,1
29E01,JASA BROOKLYN HOME DELIVERED MEALS (29E),,11239,,,1,1
29E01,JASA BROOKLYN HOME DELIVERED MEALS (29E),,11239,05:00:00,,1,1
29E01,JASA BROOKLYN HOME DELIVERED MEALS (29E),,11239,05:00:00,,1,1
C1709,CCNS SEASIDE OAC (C17),08:00:00,11693,04:00:00,04:00:00,1,1
W1402,LIFELONG LEARNING CENTER @ ENCORE WEST (W14),08:00:00,10019,04:30:00,04:30:00,1,1
6K101,HMH – CITYWIDE (6K1),07:00:00,10038,03:00:00,03:00:00,1,1
C3602,GODDARD RIVERSIDE OAC AT WEST 88TH STREET (C36),09:00:00,10024,05:00:00,05:00:00,1,1
C5301,OCEAN BAY CDC OLDER ADULT CENTER (C53),08:00:00,11693,04:00:00,04:00:00,1,1
C3506,ALBANY OAC (C35),09:00:00,11213,05:00:00,05:00:00,1,1
W1601,BETANCES (W16),08:00:00,10454,04:00:00,04:00:00,1,1
