address_1,disclosure_address_1,latitude,longitude,usage_latitude,usage_longitude,category,count,avg_value,total_value,max_value
2951 West 3rd Street,2951 West 3rd Street,40.57732,-73.971313,40.57732,-73.971313,Low Emissions,1,1.0,1.0,1.0
432 Monroe Street,432 Monroe Street,40.686592,-73.940747,40.686592,-73.940747,Low Emissions,1,1.3,1.3,1.3
6500 16th Avenue,6500 16th Avenue,40.62191,-73.995022,40.62191,-73.995022,Low Emissions,1,1.3,1.3,1.3
2609 East 7th Street,2609 East 7th Street,40.586845,-73.96198,40.586845,-73.96198,Low Emissions,1,1.2,1.2,1.2
345 Van Sicklen Street,345 Van Sicklen Street,40.595698,-73.97518,40.595698,-73.97518,Low Emissions,1,1.4,1.4,1.4
40 W 225TH ST #50,40 W 225TH ST #50,40.873644,-73.907962,40.873644,-73.907962,Low Emissions,1,5.1,5.1,5.1
37-15 13th Street,37-15 13th Street,40.758831,-73.93938,40.758831,-73.93938,Low Emissions,1,1.3,1.3,1.3
1010 Lafayette Avenue,1010 Lafayette Avenue,40.69211,-73.931857,40.69211,-73.931857,Low Emissions,1,1.1,1.1,1.1
71-25 113th Street,71-25 113th Street,40.722782,-73.837946,40.722782,-73.837946,Low Emissions,1,2.3,2.3,2.3
730 Bryant Avenue,730 Bryant Avenue,40.815455,-73.88577,40.815455,-73.88577,Low Emissions,1,2.0,2.0,2.0
1615 Madison Avenue,1615 Madison Avenue,40.795146,-73.948368,40.795146,-73.948368,Low Emissions,1,0.9,0.9,0.9
1100 Newkirk Avenue,1100 Newkirk Avenue,40.63398,-73.966558,40.63398,-73.966558,Low Emissions,1,2.2,2.2,2.2
888 Rev J A Polite Avenue,888 Rev J A Polite Avenue,40.820403,-73.898912,40.820403,-73.898912,Low Emissions,1,0.9,0.9,0.9
1717 Fulton Avenue,1717 Fulton Avenue,40.841596,-73.897767,40.841596,-73.897767,Low Emissions,1,3.0,3.0,3.0
1155  Avenue  of  the  Americas,1155  Avenue  of  the  Americas,40.756631,-73.982826,40.756631,-73.982826,Low Emissions,1,4.0,4.0,4.0
684 Linden Boulevard,684 Linden Boulevard,40.65364,-73.933114,40.65364,-73.933114,Low Emissions,1,1.4,1.4,1.4
155-02 108th Avenue,155-02 108th Avenue,40.694119,-73.797003,40.694119,-73.797003,Low Emissions,1,1.4,1.4,1.4
