address_1,building_count,green_power_onsite_and_offsite,latitude,longitude
885 Bolton Avenue,1,190717.3,40.823526,-73.859662
244 East 163rd Street,1,0,40.827607,-73.918681
2060 Lafayette Avenue,1,0,40.822665,-73.853366
180 7th Avenue,1,0,40.67146,-73.977783
159-15 88th Street,1,0,40.658089,-73.844432
1935 Bussing Avenue,1,0,40.895104,-73.845968
24-01 44th Road,1,3702250,40.748206,-73.943731
345 Van Sicklen Street,1,0,40.595698,-73.97518
1717 Fulton Avenue,1,0,40.841596,-73.897767
135-21 241st Street,1,0,40.671561,-73.734043
1 Wells Street,1,0,40.678276,-73.87596
2609 East 7th Street,1,0,40.586845,-73.96198
1155  Avenue  of  the  Americas,1,0,40.756631,-73.982826
155-02 108th Avenue,1,0,40.694119,-73.797003
7000 21st Avenue,1,0,40.612273,-73.986713
71 Sullivan Street,1,0,40.677343,-74.011558
432 Monroe Street,1,0,40.686592,-73.940747
468 East 140th Street,1,0,40.809534,-73.919903
1290 Spofford Avenue,1,0,40.814425,-73.886953
51 Madison Avenue,1,0,40.743023,-73.986402
40 W 225TH ST #50,1,0,40.873644,-73.907962
6500 16th Avenue,1,0,40.62191,-73.995022
888 Rev J A Polite Avenue,1,0,40.820403,-73.898912
730 Bryant Avenue,1,0,40.815455,-73.88577
226 Bristol Street,1,0,40.665878,-73.911705
9115 5th Avenue,1,0,40.618415,-74.028842
684 Linden Boulevard,1,0,40.65364,-73.933114
1615 Madison Avenue,1,0,40.795146,-73.948368
1100 Newkirk Avenue,1,0,40.63398,-73.966558
111 WALL STREET,1,0,40.704553,-74.006636
1010 Lafayette Avenue,1,0,40.69211,-73.931857
161 Park Avenue,1,0,40.636598,-74.132919
1560 Purdy Street,1,0,40.837931,-73.853524
123 Ridge Street,1,0,40.71925,-73.983056
29 Fort Greene Place,1,0,40.688834,-73.976905
415 89th Street,1,0,40.619931,-74.028086
763 Knickerbocker Avenue,1,0,40.693293,-73.90864
2951 West 3rd Street,1,0,40.57732,-73.971313
970 Vermont Street,1,0,40.655997,-73.886547
909 Third Avenue,1,0,40.758744,-73.968618
71-25 113th Street,1,0,40.722782,-73.837946
200  East  42nd  St.,1,0,40.750698,-73.974306
37-15 13th Street,1,0,40.758831,-73.93938
1116 Sheridan Avenue,1,0,40.831992,-73.91796
98-01 25th Avenue,1,0,40.764646,-73.871641
445 Beach 135th Street,1,0,40.577026,-73.854539
42-00 72nd Street,1,0,40.742633,-73.892805
250 East 164th Street,1,0,40.828696,-73.917668
18-25 212th Street,1,0,40.782298,-73.779099
