sanitationzone,boroughcode,total,average,count
4078D,Queens,38.0,19.0,2
5031D,Staten Island,1700.0,50.0,34
4104C,Queens,32.0,32.0,1
1111A,Manhattan,8.0,8.0,1
5011D,Staten Island,392.0,49.0,8
4021C,Queens,26.0,26.0,1
3081A,Brooklyn,35.0,35.0,1
4081D,Queens,23.0,23.0,1
5011E,Staten Island,539.0,49.0,11
3103E,Brooklyn,43.0,43.0,1
4132D,Queens,23.0,23.0,1
3121E,Brooklyn,38.0,38.0,1
4135D,Queens,27.0,27.0,1
5037E,Staten Island,51.0,51.0,1
5021E,Staten Island,350.0,50.0,7
5023C,Staten Island,687.0,49.07142857142857,14
4055D,Queens,30.0,30.0,1
5013C,Staten Island,49.0,49.0,1
3082B,Brooklyn,36.0,36.0,1
3132B,Brooklyn,47.0,47.0,1
