site_id,total_kiosk_status_records
mn-02-123586,1
mn-03-123791,1
mn-04-134450,1
bx-01-145819,1
mn-06-133338,1
bk-02-108355,1
bx-02-108937,1
mn-04-108109,1
bk-18-127156,1
bx-06-146096,1
bx-05-152147,1
mn-03-134173,1
mn-05-122633,1
bk-17-127012,1
mn-04-136316,1
bk-03-126644,1
bk-05-126737,1
bk-02-126505,1
mn-03-123344,1
mn-01-138237,1
bk-09-127716,1
bk-05-145932,1
bx-05-119607,1
bk-05-145943,1
bx-07-114037,1
bk-06-gf34904,2
bx-04-119157,1
mn-03-123260,1
bx-01-131467,1
bk-02-126565,1
bx-05-146097,1
mn-05-123077,1
bx-07-119724,1
bk-16-160026,1
bk-16-150795,1
bk-13-145054,1
mn-04-142001,1
bk-07-145865,1
mn-02-138004,1
mn-05-123155,1
mn-12-gf0370,1
mn-04-139460,1
mn-02-120512,1
bx-02-118974,1
bx-07-153911,1
mn-04-136045,1
bx-07-145690,1
bx-07-119718,1
mn-03-108162,1
mn-04-140298,1
