intersection_street_2,total_y_coordinate_state_plane
118 AVENUE,192977.0
FORT WASHINGTON AVENUE,246312.0
6 AVENUE,669740.0
ST NICHOLAS AVENUE,195430.0
24 STREET,429038.0
EAST 47 STREET,214894.0
EAST 67 STREET,218770.0
JUDGE STREET,419772.0
16 AVENUE,162170.0
CARLTON AVENUE,374736.0
MANHATTAN AVENUE,81657200.0
NORFOLK STREET,200591.0
102 STREET,214152.0
AVENUE Z,154351.0
HOBART AVENUE,249903.0
BEAVER STREET,783480.0
WEST230 STREET,773421.0
72 AVENUE,129356640.0
ROCKEFELLER PLAZA,215325.0
WILLIAMS AVENUE,4423464.0
VERNON BOULEVARD,403232640.0
LEFFERTS AVENUE,180403.0
EUCLID AVENUE,184414.0
143 STREET,189285.0
41 AVENUE,210860.0
92 STREET,328688.0
ROOSEVELT AVENUE,212870.0
EAST 7 STREET,176644.0
169 STREET,535246800.0
EAST172 STREET,241955.0
37 AVENUE,213549.0
14 ROAD,225382.0
9 AVENUE,348056.0
RIDGEWOOD AVENUE,189056.0
MYRTLE AVENUE,193921.0
PARK AVENUE,243768.0
BORDEN AVENUE,203732.0
85 ROAD,395746.0
35 AVENUE,648357.0
AVENUE P,161004.0
HIGH LINE,426592.0
