address_type,intersection_street_2,closed_date,total_y_coordinate
ADDRESS,BEAVER STREET,2025-12-18 14:33:57,783480.0
ADDRESS,HIGH LINE,2025-12-22 22:14:53,213296.0
ADDRESS,RIDGEWOOD AVENUE,2025-12-22 07:00:02,189056.0
ADDRESS,WILLIAMS AVENUE,2025-12-23 04:21:04,1474488.0
ADDRESS,169 STREET,2025-12-15 17:19:19,66905850.0
ADDRESS,VERNON BOULEVARD,2025-12-12 07:31:41,40323264.0
ADDRESS,MANHATTAN AVENUE,2025-12-19 06:46:30,8165720.0
ADDRESS,102 STREET,2025-12-21 03:19:45,214152.0
ADDRESS,37 AVENUE,2025-12-20 20:12:45,213549.0
ADDRESS,92 STREET,2025-12-10 13:48:58,328688.0
ADDRESS,143 STREET,2025-12-15 02:57:08,189285.0
ADDRESS,HIGH LINE,2025-12-23 16:59:31,213296.0
ADDRESS,24 STREET,2025-12-12 21:39:44,429038.0
ADDRESS,16 AVENUE,2025-12-15 10:09:41,162170.0
ADDRESS,6 AVENUE,2025-12-13 21:59:23,669740.0
ADDRESS,72 AVENUE,2025-12-21 13:57:31,25871328.0
ADDRESS,169 STREET,2025-12-21 13:53:13,66905850.0
ADDRESS,MYRTLE AVENUE,2025-12-24 01:08:16,193921.0
ADDRESS,VERNON BOULEVARD,2025-12-23 13:36:44,40323264.0
ADDRESS,WILLIAMS AVENUE,2025-12-18 22:51:26,1474488.0
ADDRESS,14 ROAD,2025-12-19 10:58:55,225382.0
ADDRESS,CARLTON AVENUE,2025-12-15 08:23:16,187213.0
ADDRESS,85 ROAD,2025-12-10 18:16:57,197873.0
ADDRESS,MANHATTAN AVENUE,2025-12-23 04:44:52,8165720.0
ADDRESS,41 AVENUE,2025-12-14 21:23:00,210860.0
ADDRESS,MANHATTAN AVENUE,2025-12-11 05:55:55,8165720.0
ADDRESS,VERNON BOULEVARD,2025-12-13 13:57:34,40323264.0
ADDRESS,HOBART AVENUE,2025-12-13 02:55:23,249903.0
ADDRESS,ROOSEVELT AVENUE,2025-12-11 04:14:52,212870.0
ADDRESS,35 AVENUE,2025-12-18 14:31:45,218801.0
ADDRESS,72 AVENUE,2025-12-22 10:12:54,25871328.0
ADDRESS,VERNON BOULEVARD,2025-12-10 13:46:20,40323264.0
ADDRESS,MANHATTAN AVENUE,2025-12-10 13:58:02,8165720.0
ADDRESS,118 AVENUE,2025-12-19 14:32:04,192977.0
ADDRESS,VERNON BOULEVARD,2025-12-21 03:04:56,40323264.0
ADDRESS,ST NICHOLAS AVENUE,2025-12-14 22:46:18,195430.0
ADDRESS,VERNON BOULEVARD,2025-12-20 13:49:24,40323264.0
ADDRESS,AVENUE Z,2025-12-16 03:37:32,154351.0
ADDRESS,EUCLID AVENUE,2025-12-21 12:39:15,184414.0
ADDRESS,FORT WASHINGTON AVENUE,2025-12-21 11:56:30,246312.0
ADDRESS,169 STREET,2025-12-18 09:55:42,66905850.0
ADDRESS,VERNON BOULEVARD,2025-12-22 13:45:01,40323264.0
ADDRESS,MANHATTAN AVENUE,2025-12-21 13:56:38,8165720.0
ADDRESS,72 AVENUE,2025-12-16 17:06:44,25871328.0
ADDRESS,72 AVENUE,2025-12-17 11:21:21,25871328.0
ADDRESS,WILLIAMS AVENUE,2025-12-20 21:05:36,1474488.0
ADDRESS,MANHATTAN AVENUE,2025-12-22 06:06:23,8165720.0
ADDRESS,VERNON BOULEVARD,2025-12-17 03:49:39,40323264.0
ADDRESS,MANHATTAN AVENUE,2025-12-23 04:44:43,8165720.0
ADDRESS,169 STREET,2025-12-10 17:04:23,66905850.0
ADDRESS,VERNON BOULEVARD,2025-12-17 13:51:55,40323264.0
ADDRESS,WEST230 STREET,2025-12-16 17:27:23,773421.0
ADDRESS,35 AVENUE,2025-12-16 15:01:45,429556.0
ADDRESS,BORDEN AVENUE,2025-12-12 08:38:52,203732.0
ADDRESS,72 AVENUE,2025-12-20 09:21:21,25871328.0
ADDRESS,MANHATTAN AVENUE,2025-12-14 14:16:10,8165720.0
ADDRESS,85 ROAD,2025-12-13 08:11:32,197873.0
ADDRESS,CARLTON AVENUE,2025-12-13 15:02:28,187523.0
ADDRESS,LEFFERTS AVENUE,2025-12-20 04:20:51,180403.0
ADDRESS,9 AVENUE,2025-12-12 20:56:32,348056.0
ADDRESS,169 STREET,2025-12-15 17:19:39,66905850.0
ADDRESS,169 STREET,2025-12-15 09:52:41,66905850.0
ADDRESS,EAST 7 STREET,2025-12-10 16:24:50,176644.0
ADDRESS,JUDGE STREET,2025-12-23 14:39:04,419772.0
ADDRESS,EAST 47 STREET,2025-12-19 20:11:07,214894.0
ADDRESS,NORFOLK STREET,2025-12-21 20:46:12,200591.0
ADDRESS,169 STREET,2025-12-21 13:52:54,66905850.0
ADDRESS,VERNON BOULEVARD,2025-12-16 06:06:38,40323264.0
INTERSECTION,PARK AVENUE,2025-12-19 16:54:53,243768.0
ADDRESS,AVENUE P,2025-12-18 14:51:12,161004.0
ADDRESS,ROCKEFELLER PLAZA,2025-12-19 10:36:48,215325.0
ADDRESS,EAST172 STREET,2025-12-23 13:55:56,241955.0
ADDRESS,EAST 67 STREET,2025-12-18 12:58:53,218770.0
ADDRESS,169 STREET,2025-12-22 10:14:15,66905850.0
ADDRESS,MANHATTAN AVENUE,2025-12-12 08:28:48,8165720.0
ADDRESS,MANHATTAN AVENUE,2025-12-22 02:48:25,8165720.0
