groupowner,request_count,segmentstatus,bctsnum,tolongitude,tolatitude,trafficdirectiondesc
Brooklyn BC,1,False,DOT-623940-G0S7,-73.980074,40.64054,One-way
Queens BC,1,False,DOT-648604-G9H8,-73.729053,40.749152,Two-way
SI BC,1,False,DOT-538033-C6B1,-74.139974,40.612314,Two-way
Queens BC,1,True,DOT-656751-T4W0,-73.852984,40.678266,Two-way
Bronx BC,1,False,DOT-653927-S8P0,-73.84953,40.873346,Two-way
Queens BC,1,False,DOT-666407-N1F8,-73.769574,40.698567,Two-way
Queens BC,1,False,DOT-649637-W9T8,-73.843947,40.712997,Two-way
Queens BC,1,True,DOT-620881-X3Q4,-73.787571,40.768282,Two-way
Queens BC,1,False,06-1907,-73.844035,40.71538,One-way
Queens BC,1,False,DOT-666700-B6G3,-73.927247,40.759672,Two-way
Queens BC,1,False,DOT-501893-F6H3,-73.763481,40.685873,Two-way
SI BC,1,False,DOT-524776-Q5G3,-74.19177,40.550778,One-way
Queens BC,1,False,DOT-651721-Q9L3,-73.752328,40.77926,Two-way
Brooklyn BC,1,False,DOT-673858-M1R1,-73.958417,40.67264,One-way
Bronx BC,1,False,DOT-654249-N3R8,-73.859138,40.813172,Two-way
Brooklyn BC,1,False,DOT-667122-J4P8,-73.936554,40.587619,Two-way
SI BC,1,False,DOT-635468-K7T8,-74.134458,40.616984,One-way
SI BC,1,False,DOT-649453-K3V8,-74.199106,40.551907,One-way
Brooklyn BC,1,False,DOT-665077-Z8X6,-73.956165,40.653777,One-way
SI BC,1,False,DOT-667526-C1W2,-74.166291,40.547326,Two-way
Queens BC,1,False,DOT-628800-D4Y6,-73.738752,40.656596,Two-way
Queens BC,1,False,DOT-649859-B4N5,-73.880079,40.729715,Two-way
Queens BC,1,,DOT-611997-Q8S7,-73.746461,40.668062,Two-way
Brooklyn BC,1,False,DOT-625932-X5S8,-73.962863,40.676405,One-way
Queens BC,1,False,DOT-646732-W5S8,-73.867442,40.694211,Two-way
SI BC,1,False,DOT-674828-J0H4,-74.083328,40.590713,Two-way
SI BC,1,,DOT-666293-G8F1,-74.070955,40.620431,Two-way
Queens BC,1,False,322147-L0J1,-73.892482,40.768639,One-way
Queens BC,1,False,DOT-666403-F5C3,-73.908037,40.743338,Two-way
Queens BC,1,False,DOT-665157-G4N9,-73.922743,40.765227,One-way
Queens BC,1,False,DOT-659718-Q4P5,-73.736983,40.752549,Two-way
Brooklyn BC,1,,DOT-600409-S9X0,-73.945536,40.663448,One-way
Brooklyn BC,1,False,DOT-587110-D2K8,-73.882889,40.633437,One-way
Queens BC,2,False,DOT-666835-G5Z1,-73.758954,40.717404,One-way
Brooklyn BC,1,False,DOT-674253-V4G0,-73.963186,40.639672,One-way
Brooklyn BC,1,False,DOT-257912-Z8Z3,-73.8859159558667,40.6311034440044,One-way
SI BC,1,False,DOT-527550-V3S5,-74.141848,40.572334,Two-way
Queens BC,1,False,DOT-650471-V8C0,-73.729667,40.675187,Two-way
Queens BC,1,False,DOT-611622-B8S6,-73.777207,40.771529,Two-way
Queens BC,1,False,DOT-649660-X6X9,-73.901944,40.734341,One-way
SI BC,1,False,DOT-652108-W9N0,-74.238102,40.500208,Two-way
Queens BC,1,False,DOT-665715-P4Q7,-73.815816,40.686452,One-way
SI BC,1,False,DOT-624162-X9S0,-74.105579,40.629191,Two-way
Brooklyn BC,1,False,DOT-650736-R1K2,-74.011086,40.613341,Two-way
SI BC,1,False,DOT-675605-G8Y2,-74.066265,40.59811,Two-way
Queens BC,1,False,DOT-631307-T6X8,-73.845909,40.736399,One-way
Queens BC,1,False,DOT-673794-S4L2,-73.798321,40.736528,One-way
Manhattan BC,1,True,17369,-73.976639,40.727091,One-way
Brooklyn BC,1,False,DOT-650736-R1K2,-74.011713,40.612734,Two-way
Queens BC,1,False,DOT-651749-N1B6,-73.815729,40.770247,Two-way
