school_name,school_type,total,average,count
Multicultural High School,High School,6.3,6.3,1
Queens Vocational and Technical High School,High School,6.1,6.1,1
P.S. 137 John L. Bernstein,Elementary School,7.5,7.5,1
Port Richmond High School,High School,6.2,6.2,1
M.S. 243 Center School,Middle School,8.1,8.1,1
Upper School @ P.S. 25,Middle School,6.1,6.1,1
Frances Perkins Academy,High School,6.6,6.6,1
Pablo Neruda Academy for Architecture and World Studies,High School,6.0,6.0,1
Jill Chaifetz Transfer High School,Transfer School,6.5,6.5,1
Grace Dodge Career and Technical Education High School,YABC,6.3,6.3,1
Isaac Newton Middle School for Math & Science,Middle School,7.6,7.6,1
Brooklyn Democracy Academy,Transfer School,7.4,7.4,1
High School for Contemporary Arts,High School,6.9,6.9,1
"Mathematics, Science Research and Technology Magnet High School",High School,5.6,5.6,1
P.S. /I.S. 384 Frances E. Carter,Elementary/ Middle School,7.0,7.0,1
George Washington Educational Campus YABC,High School,7.7,7.7,1
River East Elementary,Elementary School,7.5,7.5,1
M.S. 223 The Laboratory School of Finance and Technology,Middle School,7.3,7.3,1
Boys and Girls High School,High School,6.6,6.6,1
P.S./I.S. 210 - 21st Century Academy for Community Leadership,Elementary/ Middle School,7.4,7.4,1
"High School for Arts, Imagination and Inquiry",High School,5.5,5.5,1
Queens High School for the Sciences at York College,High School,6.8,6.8,1
I.S. 98 Bay Academy,Middle School,6.8,6.8,1
J.H.S. M044 William J. O'Shea,Middle School,6.2,6.2,1
Franklin Delano Roosevelt High School,High School,6.2,6.2,1
M.S. 390,Middle School,7.2,7.2,1
M.S. 224 Manhattan East School for Arts & Academics,Middle School,7.0,7.0,1
P.S. 051 Elias Howe,Elementary School,8.1,8.1,1
Eleanor Roosevelt High School,High School,7.1,7.1,1
Grace Dodge Career and Technical Education High School,High School,6.3,6.3,1
P.S. 003 The Margaret Gioiosa School,Elementary School,8.0,8.0,1
Fannie Lou Hamer Freedom High School,High School,7.5,7.5,1
P.S. 046 Arthur Tappan,Elementary School,7.6,7.6,1
Richard R. Green High School of Teaching,High School,6.2,6.2,1
John V. Lindsay Wildcat Academy Charter School,Transfer School,7.5,7.5,1
Bronx Latin,Middle/ High School,6.6,6.6,1
P.S. 101 Andrew Draper,Middle School,6.8,6.8,1
George Washington Educational Campus YABC,YABC,7.7,7.7,1
Validus Preparatory Academy: An Expeditionary Learning School,High School,6.9,6.9,1
High School of American Studies at Lehman College,High School,7.2,7.2,1
J.H.S. 014 Shell Bank,Middle School,6.9,6.9,1
DreamYard Preparatory School,High School,6.2,6.2,1
P.S. 207 Elizabeth G. Leary,Elementary/ Middle School,7.6,7.6,1
High School for Service & Learning at Erasmus,High School,7.3,7.3,1
I.S. 072 Rocco Laurie,Middle School,6.7,6.7,1
Abraham Lincoln YABC,YABC,6.9,6.9,1
P.S. 161 Pedro Albizu Campos,Elementary School,7.5,7.5,1
P.S. 133 Fred R Moore,Elementary School,7.0,7.0,1
High School for Law Enforcement and Public Safety,High School,6.3,6.3,1
Leadership and Public Service High School,High School,6.6,6.6,1
Urban Assembly Academy of Civic Engagement,Middle School,7.4,7.4,1
University Neighborhood High School,High School,5.6,5.6,1
