principal_t5,principal_t2,total_dimension1,average_dimension2
Liza Ortiz,Liza Ortiz,6.0,5.2
David Raubvogel,David Raubvogel,5.6,6.0
Ari Hoogenboom,Ari Hoogenboom,6.5,8.7
Rod Bowen,Rod Bowen,5.8,4.9
Dimitri Saliani,Dimitri Saliani,6.5,7.5
George Young,George Young,7.0,7.8
Diahann E. Malcolm,Diahann E. Malcolm,5.0,7.0
Elaine Schwartz,Elaine Schwartz,7.6,8.4
Roberto Hernandez,Roberto Hernandez,10.0,7.2
Andrea G. Holt,Andrea G. Holt,5.5,4.7
Anne Fennelly,Anne Fennelly,6.9,5.5
Leonard Kassan,Leonard Kassan,5.9,8.4
Cameron Berube,Cameron Berube,7.0,6.9
Ivan Cohen,Ivan Cohen,5.7,5.1
Timothy M. Gannon,Timothy M. Gannon,5.0,7.0
Denise Vittor,Denise Vittor,5.4,6.4
Geraldine Maione,Geraldine Maione,5.2,7.0
Jie Zhang,Jie Zhang,6.2,7.5
Mrs. Marian Nagler,Mrs. Marian Nagler,6.0,7.3
Ramon Gonzalez,Ramon Gonzalez,6.7,6.9
Pamela Craig,Pamela Craig,5.9,7.4
Melissa Rodriguez,Melissa Rodriguez,,6.9
Anne Tully,Anne Tully,5.6,7.7
Nancy Sing Bock,Nancy Sing Bock,,8.1
Donna Gioello,Donna Gioello,,8.1
Stephen Noonan,Stephen Noonan,5.5,4.2
Evelyn Linares,Evelyn Linares,6.7,7.0
Brady Smith,Brady Smith,5.9,6.9
Leticia Pineiro,Leticia Pineiro,6.1,6.7
Altagracia Liciaga,Altagracia Liciaga,5.5,5.5
Thomas Mckenna,Thomas Mckenna,6.6,7.1
Francisco Sanchez,Francisco Sanchez,5.3,7.8
Nancy Mann,Nancy Mann,6.2,8.1
Ron Tabano & Marc Donald,Ron Tabano & Marc Donald,6.7,7.6
Liliana Sarro,Liliana Sarro,6.4,6.8
Barbara D. Freeman,Barbara D. Freeman,7.0,7.2
Brunhilda Perez-Ortiz,Brunhilda Perez-Ortiz,7.0,6.4
William Cooper,William Cooper,5.7,5.7
Robert Mercedes,Robert Mercedes,,6.6
Lawrence Pendergast,Lawrence Pendergast,5.7,7.2
Lisa Nelson,Lisa Nelson,6.7,8.0
Alexander Castillo,Alexander Castillo,6.4,6.6
Robert Miller,Robert Miller,5.3,4.5
Alison Mckenzie,Alison Mckenzie,,6.5
Peter Macellari,Peter Macellari,5.6,7.8
Alessandro Weiss,Alessandro Weiss,6.6,7.3
Javier Guzman,Javier Guzman,5.6,6.4
Spencer Holder,Spencer Holder,5.5,8.1
Nicholas Politis,Nicholas Politis,12.2,8.6
Mary Bosco,Mary Bosco,6.6,8.2
