fax_number,school_name,partner_other,record_count,total_amount,avg_amount,max_amount,min_amount
718-665-2363,Mott Haven Village Preparatory High School,,1,1,1.0,1,1
718-589-1595,Bronx Envision Academy,,1,1,1.0,1,1
718-217-6287,Martin Van Buren High School,,1,5,5.0,5,5
212-245-2179,Beacon High School,,1,1,1.0,1,1
718-922-2761,Frederick Douglass Academy VII High School,"Expanded Success Initiative, Digital Ready, NYC Teaching Collaborative, Creating Healthy Places, iLearn",1,1,1.0,1,1
718-589-9849,High School for Violin and Dance,Bronx Cares,1,1,1.0,1,1
718-904-4285,Herbert H. Lehman High School.,,1,3,3.0,3,3
718-782-0911,PROGRESS High School for Professional Careers,"The Leadership Program, Big Apple Games, Health Plus",1,4,4.0,4,4
718-466-4001,Validus Preparatory Academy: An Expeditionary Learning School,,1,1,1.0,1,1
212-724-5748,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,,1,6,6.0,6,6
718-904-5099,Pelham Lab High School,,1,1,1.0,1,1
646-826-8175,Richard R. Green High School of Teaching,"Internship Opportunities: Local Elementary, Middle, and High Schools, Futures and Options, NY Downtown Hospital, Memorial Sloan Kettering Cancer Institute",1,2,2.0,2,2
718-723-7306,Institute for Health Professions at Cambria Heights,"Institute for Student Achievement (ISA)supports the development of our relationship building, literacy, mathematics, and college readiness programs.",1,1,1.0,1,1
718-486-2505,Brooklyn Preparatory High School,"Student Press Initiative, National Center for Restructing Education, Schools & Teaching (NCREST)",1,1,1.0,1,1
718-292-2355,Bronx Leadership Academy II High School,"Manice Education Program, Bronx Zoo, Blue Engine",1,1,1.0,1,1
718-235-4028,Brooklyn Lab School,,1,1,1.0,1,1
718-746-2017,Francis Lewis High School,"Marathon Program, Day Care 811 @ PS 136, Queens Center for Progress, The School of Cooperative Technical Education (Co-op Tech), Vocational and Educational Services for Individuals with Disabilities (VESID)",1,5,5.0,5,5
212-283-8109,Thurgood Marshall Academy for Learning and Social Change,,1,1,1.0,1,1
718-564-2541,"Science, Technology and Research Early College High School at Erasmus",,1,1,1.0,1,1
