school_name,total_programs
High School for Violin and Dance,1
Martin Van Buren High School,5
Richard R. Green High School of Teaching,2
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,6
Frederick Douglass Academy VII High School,1
Pelham Lab High School,1
PROGRESS High School for Professional Careers,4
Institute for Health Professions at Cambria Heights,1
Beacon High School,1
Bronx Envision Academy,1
Herbert H. Lehman High School.,3
Brooklyn Lab School,1
Bronx Leadership Academy II High School,1
Thurgood Marshall Academy for Learning and Social Change,1
Mott Haven Village Preparatory High School,1
"Science, Technology and Research Early College High School at Erasmus",1
Validus Preparatory Academy: An Expeditionary Learning School,1
Brooklyn Preparatory High School,1
Francis Lewis High School,5
