location_name,location_name_t2,location_code,t3_location_code,record_count,total_amount,avg_amount,max_amount,min_amount
P.S. 041 Francis White,P.S. 041 Francis White,K041,K041,1,5.0,5.0,5.0,5.0
223 EAST 23 STREET CONSOLIDATED LOCATION,223 EAST 23 STREET CONSOLIDATED LOCATION,M047,M047,1,,,,
Brooklyn Academy High School,Brooklyn Academy High School,K553,K553,2,23.0,23.0,23.0,23.0
P.S. 194 Countee Cullen,P.S. 194 Countee Cullen,M194,M194,1,,,,
P.S. 158 Bayard Taylor,P.S. 158 Bayard Taylor,M158,M158,2,0.0,0.0,0.0,0.0
430 HOWARD AVENUE CONSOLIDATED LOCATION,430 HOWARD AVENUE CONSOLIDATED LOCATION,K012,K012,2,8.0,4.0,4.0,4.0
P.S. 042 Benjamin Altman,P.S. 042 Benjamin Altman,M042,M042,1,1.0,1.0,1.0,1.0
32 WEST  92 STREET CONSOLIDATED LOCATION,32 WEST  92 STREET CONSOLIDATED LOCATION,M084,M084,8,4.0,1.0,1.0,1.0
THE SCIENCE AND MEDICINE MIDDLE SCHOOL,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,K366,K366,1,3.0,3.0,3.0,3.0
999 JAMAICA AVENUE CONSOLIDATED LOCATION,999 JAMAICA AVENUE CONSOLIDATED LOCATION,K420,K420,2,,,,
Midwood High School,Midwood High School,K405,K405,1,20.0,20.0,20.0,20.0
I.S. 285 Meyer Levin,I.S. 285 Meyer Levin,K285,K285,1,1.0,1.0,1.0,1.0
P.S. 195 Manhattan Beach,P.S. 195 Manhattan Beach,K195,K195,1,3.0,3.0,3.0,3.0
Professional Pathways High School,Professional Pathways High School,K630,K630,4,,,,
P.S. 21 Margaret Emery-Elm Park,P.S. 21 Margaret Emery-Elm Park,R021,R021,1,0.0,0.0,0.0,0.0
34 WEST 118 STREET,34 WEST 118 STREET,M149,M149,1,1.0,1.0,1.0,1.0
P.S. 243K- The Weeksville School,P.S. 243K- The Weeksville School,K243,K243,1,5.0,5.0,5.0,5.0
Satellite East Middle School,Satellite East Middle School,K301,K301,1,1.0,1.0,1.0,1.0
"City Polytechnic High School of Engineering, Archi","City Polytechnic High School of Engineering, Archi",K674,K674,4,,,,
"New Explorations into Science, Technology and Math","New Explorations into Science, Technology and Math",M539,M539,1,5.0,5.0,5.0,5.0
P.S. 179 Kensington,P.S. 179 Kensington,K179,K179,1,6.0,6.0,6.0,6.0
J.H.S. 078 Roy H. Mann,J.H.S. 078 Roy H. Mann,K078,K078,2,1.0,1.0,1.0,1.0
Professional Performing Arts High School,Professional Performing Arts High School,M408,M408,4,2.0,1.0,1.0,1.0
Belmont Preparatory High School,Belmont Preparatory High School,X434,X434,1,50.0,50.0,50.0,50.0
P.S. 176 Cambria Heights,P.S. 176 Cambria Heights,Q176,Q176,1,0.0,0.0,0.0,0.0
P.S./I.S. 104 The Fort Hamilton School,P.S./I.S. 104 The Fort Hamilton School,K104,K104,1,4.0,4.0,4.0,4.0
P.S. 084 Lillian Weber,P.S. 084 Lillian Weber,M084,M084,8,4.0,1.0,1.0,1.0
P.S. 234 Independence School,P.S. 234 Independence School,M234,M234,1,,,,
1700 FULTON STREET CONSOLIDATED LOCATION,1700 FULTON STREET CONSOLIDATED LOCATION,K455,K455,2,,,,
P.S. M079 - Horan School,P.S. M079 - Horan School,M079,M079,1,2.0,2.0,2.0,2.0
P.S. 212 Midtown West,P.S. 212 Midtown West,M212,M212,4,2.0,1.0,1.0,1.0
EXCELLENCE GIRLS CHARTER SCHOOL(BN),EXCELLENCE GIRLS CHARTER SCHOOL(BN),K712,K712,1,,,,
105 TECH PLACE CONSOLIDATED LOCATION,105 TECH PLACE CONSOLIDATED LOCATION,K580,K580,4,,,,
P.S. 284 Lew Wallace,P.S. 284 Lew Wallace,K284,K284,1,7.0,7.0,7.0,7.0
108-35 167 STREET CONSOLIDATED LOCATION,108-35 167 STREET CONSOLIDATED LOCATION,Q008,Q008,1,4.0,4.0,4.0,4.0
325 SOUTH  3 STREET CONSOLIDATED LOCATION,325 SOUTH  3 STREET CONSOLIDATED LOCATION,K414,K414,1,1.0,1.0,1.0,1.0
The Mott Hall School,The Mott Hall School,M223,M223,1,,,,
333 EAST 151 STREET CONSOLIDATED LOCATION,333 EAST 151 STREET CONSOLIDATED LOCATION,X600,X600,1,,,,
Bronx Community High School,Bronx Community High School,X377,X377,1,,,,
P.S. 014 Fairview,P.S. 014 Fairview,Q014,Q014,1,0.0,0.0,0.0,0.0
P.S. 452,P.S. 452,M452,M452,2,,,,
In-Tech Academy (M.S. / High School 368),In-Tech Academy (M.S. / High School 368),X368,X368,1,,,,
P.S. M094,P.S. M094,M094,M094,3,1.0,0.3333333333333333,1.0,0.0
4200 16 AVENUE CONSOLIDATED LOCATION,4200 16 AVENUE CONSOLIDATED LOCATION,K223,K223,3,,,,
P.S. 147 Isaac Remsen,P.S. 147 Isaac Remsen,K147,K147,3,5.0,2.5,3.0,2.0
Benjamin Banneker Academy,Benjamin Banneker Academy,K670,K670,1,0.0,0.0,0.0,0.0
P.S. 373 - Brooklyn Transition Center,P.S. 373 - Brooklyn Transition Center,K373,K373,1,,,,
Brooklyn Brownstone School,Brooklyn Brownstone School,K628,K628,1,,,,
New Visions Charter High School for Advanced Math,New Visions Charter High School for Advanced Math,K738,K738,4,,,,
P.S. 031 Samuel F. Dupont,P.S. 031 Samuel F. Dupont,K031,K031,1,0.0,0.0,0.0,0.0
