location_name,total_violations
P.S. 452,
Benjamin Banneker Academy,0.0
J.H.S. 078 Roy H. Mann,
Professional Pathways High School,
P.S. 031 Samuel F. Dupont,0.0
333 EAST 151 STREET CONSOLIDATED LOCATION,
P.S. 284 Lew Wallace,1.0
P.S. 176 Cambria Heights,1.0
325 SOUTH  3 STREET CONSOLIDATED LOCATION,0.0
P.S. 194 Countee Cullen,
I.S. 285 Meyer Levin,1.0
New Visions Charter High School for Advanced Math,
P.S. 147 Isaac Remsen,0.0
4200 16 AVENUE CONSOLIDATED LOCATION,
Brooklyn Academy High School,10.0
P.S. 234 Independence School,
In-Tech Academy (M.S. / High School 368),
P.S. 158 Bayard Taylor,2.0
The Mott Hall School,
"New Explorations into Science, Technology and Math",1.0
"City Polytechnic High School of Engineering, Archi",
P.S. 014 Fairview,0.0
P.S./I.S. 104 The Fort Hamilton School,0.0
Professional Performing Arts High School,
Bronx Community High School,
430 HOWARD AVENUE CONSOLIDATED LOCATION,2.0
EXCELLENCE GIRLS CHARTER SCHOOL(BN),
THE SCIENCE AND MEDICINE MIDDLE SCHOOL,1.0
P.S. 042 Benjamin Altman,0.0
P.S. 21 Margaret Emery-Elm Park,1.0
P.S. 195 Manhattan Beach,0.0
105 TECH PLACE CONSOLIDATED LOCATION,
Satellite East Middle School,0.0
108-35 167 STREET CONSOLIDATED LOCATION,0.0
Belmont Preparatory High School,12.0
Midwood High School,1.0
P.S. 373 - Brooklyn Transition Center,
223 EAST 23 STREET CONSOLIDATED LOCATION,
999 JAMAICA AVENUE CONSOLIDATED LOCATION,
P.S. 212 Midtown West,0.0
Brooklyn Brownstone School,
34 WEST 118 STREET,1.0
P.S. 179 Kensington,0.0
P.S. M094,0.0
1700 FULTON STREET CONSOLIDATED LOCATION,
32 WEST  92 STREET CONSOLIDATED LOCATION,
P.S. M079 - Horan School,0.0
P.S. 041 Francis White,1.0
P.S. 084 Lillian Weber,0.0
P.S. 243K- The Weeksville School,0.0
