location_code,location_name,avgofprop_n,latitude,longitude,school_year
K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,0.63,40.647323,-73.892022,2016 - 17
K285,I.S. 285 Meyer Levin,0.63,40.646877,-73.920977,2016 - 17
M047,223 EAST 23 STREET CONSOLIDATED LOCATION,,40.738548,-73.982455,2016 - 17
K712,EXCELLENCE GIRLS CHARTER SCHOOL(BN),,40.688419,-73.924833,2016 - 17
X377,Bronx Community High School,,40.82229,-73.856167,2016 - 17
K179,P.S. 179 Kensington,0.63,40.640463,-73.977642,2016 - 17
K195,P.S. 195 Manhattan Beach,0.75,40.579451,-73.943819,2016 - 17
K420,999 JAMAICA AVENUE CONSOLIDATED LOCATION,,40.691146,-73.868328,2016 - 17
K420,999 JAMAICA AVENUE CONSOLIDATED LOCATION,,40.691146,-73.868328,2016 - 17
M042,P.S. 042 Benjamin Altman,0.75,40.715905,-73.990895,2016 - 17
R021,P.S. 21 Margaret Emery-Elm Park,0.75,40.631523,-74.144297,2016 - 17
K031,P.S. 031 Samuel F. Dupont,0.75,40.726587,-73.95427,2016 - 17
K078,J.H.S. 078 Roy H. Mann,,40.621224,-73.91287,2016 - 17
K078,J.H.S. 078 Roy H. Mann,,40.621224,-73.91287,2016 - 17
K223,4200 16 AVENUE CONSOLIDATED LOCATION,,40.634875,-73.981528,2016 - 17
K223,4200 16 AVENUE CONSOLIDATED LOCATION,,40.634875,-73.981528,2016 - 17
K223,4200 16 AVENUE CONSOLIDATED LOCATION,,40.634875,-73.981528,2016 - 17
K414,325 SOUTH  3 STREET CONSOLIDATED LOCATION,0.75,40.709647,-73.95465,2016 - 17
K674,"City Polytechnic High School of Engineering, Archi",,40.694926,-73.986015,2016 - 17
K674,"City Polytechnic High School of Engineering, Archi",,40.694926,-73.986015,2016 - 17
K674,"City Polytechnic High School of Engineering, Archi",,40.694926,-73.986015,2016 - 17
K674,"City Polytechnic High School of Engineering, Archi",,40.694926,-73.986015,2016 - 17
K041,P.S. 041 Francis White,0.63,40.660306,-73.907355,2016 - 17
K243,P.S. 243K- The Weeksville School,0.51,40.676094,-73.935688,2016 - 17
