code1,program_count,phone_number,phone_number,seats103,college_career_rate,academicopportunities1,method1,code1
Y55A,1,718-860-8240,718-860-8240,,,iLearnNYC: Program for expanded online coursework and self-paced learning,Limited Unscreened,Y55A
Q09A,1,718-454-4957,718-454-4957,,0.63499999,iLearnNYC: Program for expanded online coursework and self-paced learning,For Continuing 8th Graders,Q09A
A21A,1,212-362-2015,212-362-2015,,0.836000025,Annual digital portfolio development and presentation,Screened,A21A
NO CODE,1,718-667-3222,718-667-3222,,0.910000026,CTE program(s) in: Scientific Research and Engineering,Test,NO CODE
NO CODE,1,718-667-3222,718-667-3222,,0.910000026,"Many Advanced Placement (AP) courses and electives, especially in math and science",Test,NO CODE
Q16A,1,718-279-6500,718-279-6500,Yes-5,0.768999994,"DaVinci Science and Math Institute, Mentor Law and Humanities Institute, Journalism and Media Studies, Performing Dance",Ed. Opt.,Q16A
R01R,1,718-370-6900,718-370-6900,,0.910000026,"4-year Advisory for all students to enrich communication skills, social proficiency, and global competence.",Limited Unscreened,R01R
X77R,1,718-991-4634,718-991-4634,,0.381000012,Double literacy and mathematics classes,Limited Unscreened,X77R
L53A,1,718-277-1069,718-277-1069,,0.374000013,Performance major: Acting-movement and voice; Students explore theatrical literature and work on ensemble building and public speaking skills,Limited Unscreened,L53A
Q03A,1,718-271-3602,718-271-3602,,0.257999986,Students complete Performance-based Assessment Tasks (PBATs) as a replacement for some Regents Exams.,Screened: Language,Q03A
M99A,1,212-929-4433,212-929-4433,,,"Science and Society, Violence and Peace, the History of Math, Poetry Coffeehouse; College Courses, College Prep Workshops, SAT Prep",Screened,M99A
Q30J,1,718-392-3330,718-392-3330,,0.69599998,Performance/Portfolio-based assessment required in sophomore and senior years,Screened,Q30J
X89A,1,718-601-0391,718-601-0391,,,WVHS students have the opportunity to start taking college courses in the 10th grade through the College Now Program at Lehman College.,Limited Unscreened,X89A
M04A,1,212-543-4460,212-543-4460,,0.614000022,"A full performing arts conservatory education with college preparatory course work in English, Social Studies, Math, Science",Limited Unscreened,M04A
K04X,1,718-771-4793,718-771-4793,,0.462000012,"Downstate Medical Program, Urban Advantage, Participation in Government, Introduction to Law, Science",Unscreened,K04X
M05R,1,212-505-0143,212-505-0143,,0.646000028,Internships for all seniors; artists-in-residence; project-based learning in academic classes; daily advisory; daily reading period,Limited Unscreened,M05R
X38A,1,718-329-2902,718-329-2902,,0.515999973,"Theater Arts Courses: Performance, Set Design, Costume Design, Theater Business, Chorus, and Playwriting",Limited Unscreened,X38A
Q31J,1,718-472-5671,718-472-5671,,0.675999999,"Students have a myriad of academic opportunities at Wagner including but not limited to art classes which include Drawing, Drama, and Digital Arts.",Ed. Opt.,Q31J
Y65A,1,718-733-3080,718-733-3080,,,CTE program(s) in: Architecture and Construction,Limited Unscreened,Y65A
Q24A,1,718-658-5407,718-658-5407,Yes-10,0.632000029,Honors Pre-Med provides STEM classes built on science research & exploration; Health Sciences offers CTE Nursing Assistants as well as Sports Medicine,Ed. Opt.,Q24A
X11X,1,718-292-2211,718-292-2211,,0.647000015,iLearnNYC: Program for expanded online coursework and self-paced learning,Limited Unscreened,X11X
X06R,1,718-299-7490,718-299-7490,,0.256999999,"APEnglish, APSpanish, Earth Science, Living Environment, Astronomy, Algebra, Geometry Al2Trig, Music, PhysicalEd, GlobalHis, USHis, Participation in Gov, Econ",Limited Unscreened,X06R
M64A,1,212-524-4360,212-524-4360,,,Free college courses at neighboring universities,Screened,M64A
