grades_text,school_support_team_name,field_support_center_name,category,count,avg_value,total_value,max_value
"06,07,08,SE",School Support Team 4- Manhattan,Field Support Center - Manhattan,Large Code,1,310200010167.0,310200010167,310200010167
"0K,01,02,03,04,05,SE",School Support Team 8- Bronx,Field Support Center - Bronx,Large Code,1,320900010114.0,320900010114,320900010114
"PK,0K,01,02,03,04,05,SE",School Support Team 5- Brooklyn North,Field Support Center - Brooklyn North,Large Code,1,331500010024.0,331500010024,331500010024
"06,07,08,SE",School Support Team 7- Bronx,Field Support Center - Bronx,Large Code,2,320800010436.0,641600020872,320800010448
"06,07,08,09,10,11,12,SE",School Support Team 1- Bronx,Field Support Center - Bronx,Large Code,2,320800011285.5,641600022571,320900011350
"06,07,08,09,10,11,12,SE",,,Large Code,1,331500860935.0,331500860935,331500860935
"06,07,08,SE",School Support Team 6- Manhattan,Field Support Center - Manhattan,Large Code,1,310400010377.0,310400010377,310400010377
"09,10,11,12,SE",School Support Team 1- Brooklyn South,Field Support Center - Brooklyn South,Large Code,2,331800011600.0,663600023200,331800011633
"PK,0K,01,02,03,04,05,06,07,08,SE",School Support Team 3- Manhattan,Field Support Center - Manhattan,Large Code,1,310100010140.0,310100010140,310100010140
"0K,01,02,03,04,05,SE",,,Large Code,1,320800861074.0,320800861074,320800861074
"06,07,08,09,10,11,12,SE",School Support Team 6- Bronx,Field Support Center - Bronx,Large Code,1,320700010223.0,320700010223,320700010223
"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",Children First Network 751,D75 CITYWIDE FSC,Large Code,1,307500011138.0,307500011138,307500011138
"PK,0K,01,02,03,04,05,06,07,08,SE",School Support Team 2- Brooklyn South,Field Support Center - Brooklyn South,Large Code,1,331700010181.0,331700010181,331700010181
"PK,0K,01,02,03,04,05,06",,,Large Code,1,310300860963.0,310300860963,310300860963
"06,07,08,SE",School Support Team 3- Brooklyn South,Field Support Center - Brooklyn South,Large Code,1,331800010366.0,331800010366,331800010366
"0K,01,02,03,04,05,06",,,Large Code,1,320700860889.0,320700860889,320700860889
"PK,0K,01,02,03,04,05,SE",School Support Team 3- Brooklyn South,Field Support Center - Brooklyn South,Large Code,2,331800010195.5,663600020391,331800010276
"09,10,11,12,SE",School Support Team 2- Manhattan,Field Support Center - Manhattan,Large Code,3,310300011488.0,930900034464,310500011304
"PK,0K,01,02,03,04,05,SE",School Support Team 6- Bronx,Field Support Center - Bronx,Large Code,1,320700010043.0,320700010043,320700010043
"09,10,11,12,SE",School Support Team 1- Bronx,Field Support Center - Bronx,Large Code,1,321000011440.0,321000011440,321000011440
"PK,0K,01,02,03,04,05,06,07,08,SE",School Support Team 5- Manhattan,Field Support Center - Manhattan,Large Code,1,310500010123.0,310500010123,310500010123
"PK,0K,01,02,03,04,05,06,07,08,09,10",,,Large Code,1,310400860919.0,310400860919,310400860919
"PK,0K,01,02,03,04,05,SE",School Support Team 7- Brooklyn North,Field Support Center - Brooklyn North,Large Code,1,331600010025.0,331600010025,331600010025
"0K,01,02,03,04,05",School Support Team 4- Manhattan,Field Support Center - Manhattan,Large Code,1,310200010077.0,310200010077,310200010077
"06,07,08,SE",School Support Team 6- Brooklyn North,Field Support Center - Brooklyn North,Large Code,1,331900010218.0,331900010218,331900010218
"06,07,08,SE",School Support Team 3- Manhattan,Field Support Center - Manhattan,Large Code,1,310100010839.0,310100010839,310100010839
"0K,01,02,03,04,05,06,07,08,SE",School Support Team 9- Bronx,Field Support Center - Bronx,Large Code,1,321100010019.0,321100010019,321100010019
"09,10,11,12,SE",School Support Team 5- Affinity Group,Affinity Group,Large Code,1,310100011458.0,310100011458,310100011458
"09,10,11,12,SE",School Support Team 2- Affinity Group,Affinity Group,Large Code,33,320893950664.24243,10589500371920,320900011260
"PK,0K,01,02,03,04,05,SE",School Support Team 6- Manhattan,Field Support Center - Manhattan,Large Code,1,310400010155.0,310400010155,310400010155
"09,10,11,12,SE",School Support Team 1- Manhattan,Field Support Center - Manhattan,Large Code,3,310166677761.3333,930500033284,310200011420
"06,07,08,SE",School Support Team 4- Bronx,Field Support Center - Bronx,Large Code,2,321000010080.0,642000020160,321000010080
"0K,01,02,03",,,Large Code,1,331700861094.0,331700861094,331700861094
"0K,01,02,03,04,05,SE",School Support Team 3- Bronx,Field Support Center - Bronx,Large Code,2,321000010157.0,642000020314,321000010306
"PK,0K,01,02,03,04,05,SE",School Support Team 7- Manhattan,Field Support Center - Manhattan,Large Code,2,310600010121.5,621200020243,310600010128
"0K,01,02",,,Large Code,2,315850861113.0,631701722226,321100861115
"0K,01,02,03,04,05,SE",School Support Team 7- Manhattan,Field Support Center - Manhattan,Large Code,1,310600010178.0,310600010178,310600010178
"09,10,11,12,SE",School Support Team 1- Affinity Group,Affinity Group,Large Code,1,320700011259.0,320700011259,320700011259
