location_code,location_name,location_code,location_name,beds_number,total_fiscal_year
X448,Soundview Academy for Culture and Scholarship,X448,Soundview Academy for Culture and Scholarship,320800010448,2019
M382,DREAM Charter School,M382,DREAM Charter School,310400860919,2019
K276,P.S. 276 Louis Marshall,K276,P.S. 276 Louis Marshall,331800010276,2019
X223,The Laboratory School of Finance and Technology: X,X223,The Laboratory School of Finance and Technology: X,320700010223,2019
M138,P.S. 138,M138,P.S. 138,307500011138,2019
M304,Mott Hall High School,M304,Mott Hall High School,310500011304,2019
M338,WHIN Music Community,M338,WHIN Music Community,310600861111,2019
X424,The Hunts Point School,X424,The Hunts Point School,320800010424,2019
M155,P.S. 155 William Paca,M155,P.S. 155 William Paca,310400010155,2019
K633,High School for Medical Professions,K633,High School for Medical Professions,331800011633,2019
M128,P.S. 128 Audubon,M128,P.S. 128 Audubon,310600010128,2019
K567,Brooklyn Theatre Arts High School,K567,Brooklyn Theatre Arts High School,331800011567,2019
X259,"H.E.R.O. High (Health, Education, and Research Occ",X259,"H.E.R.O. High (Health, Education, and Research Occ",320700011259,2019
M483,New York French American Charter School,M483,New York French American Charter School,310300860963,2019
X306,P.S. 306,X306,P.S. 306,321000010306,2019
M167,J.H.S. 167 Robert F. Wagner,M167,J.H.S. 167 Robert F. Wagner,310200010167,2019
M123,P.S. 123 Mahalia Jackson,M123,P.S. 123 Mahalia Jackson,310500010123,2019
K707,Brooklyn Prospect Charter School,K707,Brooklyn Prospect Charter School,331500860935,2019
K181,P.S. 181 Brooklyn,K181,P.S. 181 Brooklyn,331700010181,2019
X080,J.H.S. 080 The Mosholu Parkway,X080,J.H.S. 080 The Mosholu Parkway,321000010080,4038
X589,Bronx Charter School for Excellence 3,X589,Bronx Charter School for Excellence 3,321100861115,2019
K115,P.S. 115 Daniel Mucatel School,K115,P.S. 115 Daniel Mucatel School,331800010115,2019
X260,Bronx Center for Science and Mathematics,X260,Bronx Center for Science and Mathematics,320900011260,64608
M458,Forsyth Satellite Academy,M458,Forsyth Satellite Academy,310100011458,2019
X350,New Directions Secondary School,X350,New Directions Secondary School,320900011350,2019
X043,P.S. 043 Jonas Bronck,X043,P.S. 043 Jonas Bronck,320700010043,2019
X114,P.S. X114 - Luis Llorens Torres Schools,X114,P.S. X114 - Luis Llorens Torres Schools,320900010114,2019
K218,J.H.S. 218 James P. Sinnott,K218,J.H.S. 218 James P. Sinnott,331900010218,2019
M178,Professor Juan Bosch Public School,M178,Professor Juan Bosch Public School,310600010178,2019
M077,P.S. 77 Lower Lab School,M077,P.S. 77 Lower Lab School,310200010077,2019
X464,Success Academy Charter School - Bronx 4 - New Yor,X464,Success Academy Charter School - Bronx 4 - New Yor,320800861074,2019
M839,Tompkins Square Middle School,M839,Tompkins Square Middle School,310100010839,2019
M580,Richard R. Green High School of Teaching,M580,Richard R. Green High School of Teaching,310200011580,4038
M115,P.S. 115 Alexander Humboldt,M115,P.S. 115 Alexander Humboldt,310600010115,2019
K025,P.S. 025 Eubie Blake School,K025,P.S. 025 Eubie Blake School,331600010025,2019
X019,P.S. 019 Judith K. Weiss,X019,P.S. 019 Judith K. Weiss,321100010019,2019
M448,University Neighborhood High School,M448,University Neighborhood High School,310100011448,2019
K886,Success Academy Charter School - Flatbush,K886,Success Academy Charter School - Flatbush,331700861094,2019
M420,High School for Health Professions and Human Servi,M420,High School for Health Professions and Human Servi,310200011420,2019
X008,P.S. 008 Isaac Varian,X008,P.S. 008 Isaac Varian,321000010008,2019
X600,Alfred E. Smith Career and Technical Education Hig,X600,Alfred E. Smith Career and Technical Education Hig,320700011600,2019
K366,The Science And Medicine Middle School,K366,The Science And Medicine Middle School,331800010366,2019
X221,South Bronx Preparatory: A College Board School,X221,South Bronx Preparatory: A College Board School,320700011221,2019
K024,P.S. 024,K024,P.S. 024,331500010024,2019
M140,P.S. 140 Nathan Straus,M140,P.S. 140 Nathan Straus,310100010140,2019
X440,DeWitt Clinton High School,X440,DeWitt Clinton High School,321000011440,2019
M416,Eleanor Roosevelt High School,M416,Eleanor Roosevelt High School,310200010416,2019
X309,South Bronx Charter School for International Cultu,X309,South Bronx Charter School for International Cultu,320700860889,2019
M377,Renaissance School of the Arts,M377,Renaissance School of the Arts,310400010377,2019
