location_name,total_beds_by_school
P.S. X114 - Luis Llorens Torres Schools,320900010114
P.S. 77 Lower Lab School,310200010077
P.S. 128 Audubon,310600010128
P.S. 024,331500010024
P.S. 019 Judith K. Weiss,321100010019
P.S. 123 Mahalia Jackson,310500010123
Brooklyn Prospect Charter School,331500860935
P.S. 008 Isaac Varian,321000010008
P.S. 115 Alexander Humboldt,310600010115
Eleanor Roosevelt High School,310200010416
J.H.S. 218 James P. Sinnott,331900010218
P.S. 043 Jonas Bronck,320700010043
P.S. 276 Louis Marshall,331800010276
Success Academy Charter School - Flatbush,331700861094
Bronx Center for Science and Mathematics,10268800360320
P.S. 155 William Paca,310400010155
South Bronx Preparatory: A College Board School,320700011221
DREAM Charter School,310400860919
Mott Hall High School,310500011304
Brooklyn Theatre Arts High School,331800011567
P.S. 138,307500011138
Bronx Charter School for Excellence 3,321100861115
P.S. 115 Daniel Mucatel School,331800010115
Success Academy Charter School - Bronx 4 - New Yor,320800861074
Forsyth Satellite Academy,310100011458
"H.E.R.O. High (Health, Education, and Research Occ",320700011259
New York French American Charter School,310300860963
DeWitt Clinton High School,321000011440
The Laboratory School of Finance and Technology: X,320700010223
Renaissance School of the Arts,310400010377
Alfred E. Smith Career and Technical Education Hig,320700011600
Tompkins Square Middle School,310100010839
The Science And Medicine Middle School,331800010366
University Neighborhood High School,310100011448
South Bronx Charter School for International Cultu,320700860889
Richard R. Green High School of Teaching,620400023160
High School for Medical Professions,331800011633
P.S. 140 Nathan Straus,310100010140
J.H.S. 080 The Mosholu Parkway,642000020160
P.S. 181 Brooklyn,331700010181
High School for Health Professions and Human Servi,310200011420
New Directions Secondary School,320900011350
J.H.S. 167 Robert F. Wagner,310200010167
WHIN Music Community,310600861111
The Hunts Point School,320800010424
Soundview Academy for Culture and Scholarship,320800010448
P.S. 025 Eubie Blake School,331600010025
Professor Juan Bosch Public School,310600010178
P.S. 306,321000010306
