location_name,total_community_district_1
Brooklyn High School for Law and Technology,303
P.S. 132 Juan Pablo Duarte,112
Harlem Village Academy East Charter School,111
KAPPA IV,110
Wadleigh Secondary School for the Performing & Vis,110
Bedford Academy High School,303
P.S. 149 Sojourner Truth,110
The International Charter School of New York,302
M.S. 061 Dr. Gladstone H. Atwell,309
Bushwick Leaders High School for Academic Excellen,304
IS 370m Learning Project Ms,103
P.S. 101 Andrew Draper,111
P.S. M169 - Robert F. Kennedy,108
ACORN Community High School,308
P.S. 251 Paerdegat,318
The Math & Science Exploratory School,302
Urban Assembly Institute of Math and Science for Y,302
Community Preparatory High School,105
P.S./I.S. 217 Roosevelt Island,108
J.H.S. 050 John D. Wells,301
P.S. 151 Lyndon B. Johnson,304
P.S. 134 Henrietta Szold,103
N.Y.C. Lab School for Collaborative Studies,104
River East Elementary,111
I.S. 136 Charles O. Dewey,307
P.S. 018 Park Terrace,112
P.S. 139 Alexine A. Fenty,314
P.S. 333 Manhattan School for Children,107
Success Academy Charter School - Bed Stuy 3,303
P.S. 205 Clarion,311
The Academy of Talented Scholars,311
Riverdale Avenue Community School,316
Cypress Hills Collegiate Preparatory School,305
Leadership Preparatory Brownsville Charter School,316
Coney Island Preparatory Public Charter School,626
Capital Preparatory (CP) Harlem Charter School,111
P.S. 131 Brooklyn,312
Democracy Prep Endurance Charter School,110
The Uft Charter School,305
Freedom Academy High School,302
P.S. 188 The Island School,103
Academy of Innovative Technology,305
School of Science & Technology,628
Samuel J. Tilden High School,317
P.S. 219 Kennedy-King,317
Innovation Diploma Plus,107
Achievement First Bushwick Charter School,304
P.S. 399 Stanley Eugene Clark,317
Brooklyn Arts and Science Elementary School,308
P.S. 747 A Great Start Academy,316
