fiscal_year,administrative_district_name,managed_by_name,location_type_description,total,count,average
2020,OFFICE OF CHARTER SCHOOLS,Charter,General Academic,84.0,10,84.0
2020,COMMUNITY SCHOOL DISTRICT 23,DOE,General Academic,23.0,2,23.0
2020,COMMUNITY SCHOOL DISTRICT 22,DOE,General Academic,22.0,4,22.0
2020,COMMUNITY SCHOOL DISTRICT 20,DOE,General Academic,20.0,2,20.0
2020,COMMUNITY SCHOOL DISTRICT 18,DOE,General Academic,18.0,2,18.0
2020,COMMUNITY SCHOOL DISTRICT 17,DOE,General Academic,17.0,3,17.0
2020,COMMUNITY SCHOOL DISTRICT 15,DOE,General Academic,15.0,3,15.0
2020,,DOE,General Academic,13.875,8,13.875
2020,COMMUNITY SCHOOL DISTRICT 06,DOE,General Academic,6.0,2,6.0
2020,COMMUNITY SCHOOL DISTRICT 04,DOE,General Academic,4.0,2,4.0
2020,COMMUNITY SCHOOL DISTRICT 03,DOE,General Academic,3.0,2,3.0
2020,COMMUNITY SCHOOL DISTRICT 01,DOE,General Academic,1.0,3,1.0
