schooldbn,t1_name,t1_code_prog1,t2_telephone,geseats_prog7,record_count,total_amount,avg_amount,max_amount,min_amount
19K678,East New York Middle School of Excellence (19K678),K678L,718-257-4061,,1,98.0,98.0,98.0,98.0
21K238,P.S. 238 Anne Sullivan (21K238),K238Z,718-339-4355,,1,99.0,99.0,99.0,99.0
19K661,Vista Academy (19K661),K661L,718-647-0913,,1,93.0,93.0,93.0,93.0
14K586,Lyons Community School (14K586),K586L,718-782-0918,,1,82.0,82.0,82.0,82.0
03M334,The Anderson School (03M334),M334M,212-595-7193,,1,100.0,100.0,100.0,100.0
23K184,P.S. 184 Newport (23K184),K184U,718-495-7776,,1,81.0,81.0,81.0,81.0
10X308,Bronx Dance Academy School (10X308),X308M,718-515-0410,,1,95.0,95.0,95.0,95.0
19K663,School of the Future Brooklyn (19K663),K663L,718-345-5190,,1,66.0,66.0,66.0,66.0
04M224,M.S. 224 Manhattan East School for Arts & Academics (04M224),M224M,212-860-6047,,1,93.0,93.0,93.0,93.0
11X529,One World Middle School at Edenwald (11X529),X529U,718-515-6780,,1,96.0,96.0,96.0,96.0
09X229,I.S. 229 Roland Patterson (09X229),X229U,718-583-6266,,1,76.0,76.0,76.0,76.0
18K581,East Flatbush Community Research School (18K581),K581L,718-773-3059,,1,92.0,92.0,92.0,92.0
08X101,M.S. X101 Edward R. Byrne (08X101),X101A,718-829-6372,,1,97.0,97.0,97.0,97.0
03M054,J.H.S. 054 Booker T. Washington (03M054),M054M,212-678-2861,,1,98.0,98.0,98.0,98.0
24Q061,I.S. 061 Leonardo Da Vinci (24Q061),Q061Z,718-760-3233,,1,92.0,92.0,92.0,92.0
06M018,P.S. 018 Park Terrace (06M018),M018U,917-521-2220,,1,65.0,65.0,65.0,65.0
27Q105,P.S. 105 The Bay School (27Q105),Q105Z,718-474-8615,,1,92.0,92.0,92.0,92.0
21K288,P.S. 288 The Shirley Tanyhill (21K288),K288U,718-382-2100,,1,81.0,81.0,81.0,81.0
10X095,P.S. 095 Sheila Mencher (10X095),X095Z,718-796-9200,,1,94.0,94.0,94.0,94.0
17K189,P.S. 189 The Bilingual Center (17K189),K189S,718-756-0210,,1,83.0,83.0,83.0,83.0
10X368,In-Tech Academy (M.S. / High School 368) (10X368),X368M,718-432-4300,,1,84.0,84.0,84.0,84.0
13K113,M.S. 113 Ronald Edmonds Learning Center (13K113),K113M,718-834-6734,,1,95.0,95.0,95.0,95.0
