school_name,attendance_rate,academicopportunities4,code1,seats109,method4,phone_number,program1,pct_stu_safe
"City Polytechnic High School of Engineering, Architecture, and Technology",0.91000003,Range of college planning and Work Based Learning experiences that begin in the freshman year,L59A,,,718-875-1473,"City Polytechnic High School of Engineering, Architecture and Technology",0.77999997
Life Academy High School for Film and Music,0.83999997,Customized instruction to meet the needs of all learners,L38A,,,718-333-7750,Life Academy High School for Film and Music,0.76999998
"Mathematics, Science Research and Technology Magnet High School",0.83999997,C-MAST - Cambria Heights Library & MAST Science Research Partnership Program,Q55A,,,718-978-1837,"Science, Technology, Engineering, Arts and Mathematics (S.T.E.A.M.)",0.81
"Michael J. Petrides School, The",0.92000002,"STEM offerings include courses in: Computer Science, Drone Science, Engineering, Film Making and Theater Tech",R15J,,,718-815-0186,Comprehensive Academic,0.77999997
"Facing History School, The",0.80000001,"Urban Arts Partnership offers a variety of art classes and opportunities like Digital Music, Visual Art, Digital Photo, Film Production, etc.",M02R,,,212-757-2680,The Facing History School,0.88
William E. Grady Career and Technical Education High School,0.81999999,,K67A,,Ed. Opt.,718-332-5000,Culinary Arts,0.80000001
Susan E. Wagner High School,0.91000003,"College Now: Behavior & Social Sciences, Business, Communications, Humanities, Math, Science, Criminal Justice, Info Management, Hospitality & Tourism",R17A,,Screened,718-698-4200,Academy of Finance,0.82999998
"Eagle Academy for Young Men of Staten Island, The",0.88999999,College and Career Counseling beginning in the ninth grade,R28L,,,718-727-6201,The Eagle Academy for Young Men of Staten Island,0.83999997
Frederick Douglass Academy II Secondary School,0.81999999,Partnerships with Columbia University & Lincoln Center provide opportunities to work with artists & other professionals.,M39A,,,212-865-9260,The Douglass STEM Institute,0.81
Liberation Diploma Plus,0.47999999,,L72A,,,718-946-6812,Liberation Diploma Plus High School,0.89999998
Queens High School for the Sciences at York College,0.97000003,,Q00S,,,718-657-3181,Queens High School for the Sciences at York College,0.92000002
George Westinghouse Career and Technical Education High School,0.88,Restorative Justice approach to learning,K70C,,Screened,718-625-6130,Computer Science,0.79000002
Robert F. Kennedy Community High School,0.89999998,"Leadership, Conflict Resolution, Journalism, Yearbook Publication, Coding, Advanced Art, Computer Courses",Q70A,,,718-969-5510,College Head-Start,0.83999997
Urban Assembly New York Harbor School,0.88999999,College Now program prepares students for college and career experiences in maritime-related courses. Advanced Placement courses are also offered.,K51A,,,212-458-0800,Marine Science and Technology,0.88999999
New Utrecht High School,0.88,"AP Courses in: Computer Programming, Italian, Mandarin, Spanish; Electives: Chorus, Drafting, Forensics, Piano, Rock & Jazz Band, Web Design, Robotics",K28A,,Ed. Opt.,718-232-2500,Medical Professions & Health Careers,0.80000001
Brooklyn Collegiate: A College Board School,0.83999997,Debate instruction; PSAT Test for ninth through eleventh graders; SAT Prep class,K93X,,,718-922-1145,Brooklyn Collegiate Preparatory HS: A College Board School,0.87
DeWitt Clinton High School,0.81999999,"The Clinton School of Art and Design provides 4 year course sequences in Instrumental, Vocal, Dance, Visual Arts & Graphic Design; with over 15 elective courses",X10A,,Ed. Opt.,718-543-1000,Clinton School of Health Professions,0.75999999
"Metropolitan High School, The",0.77999997,STEM Course,X77R,,,718-991-4634,The Metropolitan High School,0.73000002
New Design High School,0.82999998,Weekly academic and life coaching for all students.,M53A,,,212-475-4148,New Design High School,0.88999999
Epic High School - North,0.85000002,Pre-Engineering,Q65A,,,718-570-8230,Interdisciplinary,0.87
Bronx School of Law and Finance,0.79000002,"Field trips to Wall Street, law firms, and universities",X28A,,,718-561-0113,Bronx School of Law and Finance,0.80000001
Brooklyn Institute for Liberal Arts (BILA),0.91000003,"Music, Band, Art, Dance, Step, Martial Arts, Cheerleading, Zumba, Theater, Leadership, Community Service, Small Group Advisory, Tutoring",L17A,,,718-221-1097,"Humanities, Arts & STEM",0.87
