fact_column,total_dimension1,average_dimension2,t2_location,t5_location,issue_descriptor,address_type,park_borough
Noise - Vehicle,10463.0,1009491.0,"{'type': 'Point', 'coordinates': [-73.908722774889, 40.880223162264]}","{'type': 'Point', 'coordinates': [-73.908722774889, 40.880223162264]}",Car/Truck Music,ADDRESS,BRONX
Panhandling,11208.0,1016920.0,"{'type': 'Point', 'coordinates': [-73.882203042672, 40.685361348456]}","{'type': 'Point', 'coordinates': [-73.882203042672, 40.685361348456]}",,INTERSECTION,BROOKLYN
Illegal Parking,10002.0,988378.0,"{'type': 'Point', 'coordinates': [-73.985108001176, 40.720435648954]}","{'type': 'Point', 'coordinates': [-73.985108001176, 40.720435648954]}",Blocked Bike Lane,ADDRESS,MANHATTAN
Special Projects Inspection Team (SPIT),10021.0,995843.0,"{'type': 'Point', 'coordinates': [-73.95814566842, 40.77125078678]}","{'type': 'Point', 'coordinates': [-73.95814566842, 40.77125078678]}",Illegal Hotel Rooms In Residential Building,ADDRESS,MANHATTAN
Graffiti,11221.0,1004557.0,"{'type': 'Point', 'coordinates': [-73.92676745128, 40.696649152823]}","{'type': 'Point', 'coordinates': [-73.92676745128, 40.696649152823]}",Graffiti,ADDRESS,BROOKLYN
Building/Use,11209.0,976199.0,"{'type': 'Point', 'coordinates': [-74.029003421336, 40.626158162476]}","{'type': 'Point', 'coordinates': [-74.029003421336, 40.626158162476]}",Illegal Conversion Of Residential Building/Space,ADDRESS,BROOKLYN
Street Condition,11418.0,1034042.0,"{'type': 'Point', 'coordinates': [-73.820438389105, 40.695925783773]}","{'type': 'Point', 'coordinates': [-73.820438389105, 40.695925783773]}",Pothole,ADDRESS,QUEENS
ELEVATOR,10017.0,991816.0,"{'type': 'Point', 'coordinates': [-73.972692401705, 40.751712580887]}","{'type': 'Point', 'coordinates': [-73.972692401705, 40.751712580887]}",MAINTENANCE,ADDRESS,MANHATTAN
Boilers,10040.0,1003674.0,"{'type': 'Point', 'coordinates': [-73.929782521342, 40.857366345871]}","{'type': 'Point', 'coordinates': [-73.929782521342, 40.857366345871]}",Boiler - Defective/Inoperative/No Permit,ADDRESS,MANHATTAN
Root/Sewer/Sidewalk Condition,11235.0,1001458.0,"{'type': 'Point', 'coordinates': [-73.938041854958, 40.590583552235]}","{'type': 'Point', 'coordinates': [-73.938041854958, 40.590583552235]}",Trees and Sidewalks Program,ADDRESS,BROOKLYN
Blocked Driveway,11219.0,986160.0,"{'type': 'Point', 'coordinates': [-73.993117475713, 40.643827066906]}","{'type': 'Point', 'coordinates': [-73.993117475713, 40.643827066906]}",No Access,ADDRESS,BROOKLYN
Animal in a Park,11105.0,1009952.0,"{'type': 'Point', 'coordinates': [-73.907206874379, 40.771901718991]}","{'type': 'Point', 'coordinates': [-73.907206874379, 40.771901718991]}",Dog Off Leash,ADDRESS,QUEENS
HEAT/HOT WATER,11208.0,1023411.0,"{'type': 'Point', 'coordinates': [-73.858834838947, 40.668279004667]}","{'type': 'Point', 'coordinates': [-73.858834838947, 40.668279004667]}",APARTMENT ONLY,ADDRESS,BROOKLYN
HEAT/HOT WATER,11375.0,1028908.0,"{'type': 'Point', 'coordinates': [-73.838889522087, 40.722118962666]}","{'type': 'Point', 'coordinates': [-73.838889522087, 40.722118962666]}",ENTIRE BUILDING,ADDRESS,QUEENS
Noise - Helicopter,10016.0,990230.0,"{'type': 'Point', 'coordinates': [-73.978420167204, 40.740932421502]}","{'type': 'Point', 'coordinates': [-73.978420167204, 40.740932421502]}",Other,ADDRESS,MANHATTAN
Blocked Driveway,10314.0,941481.0,"{'type': 'Point', 'coordinates': [-74.153990607211, 40.59011279986]}","{'type': 'Point', 'coordinates': [-74.153990607211, 40.59011279986]}",Partial Access,ADDRESS,STATEN ISLAND
PLUMBING,10014.0,982301.0,"{'type': 'Point', 'coordinates': [-74.007033064278, 40.738763129977]}","{'type': 'Point', 'coordinates': [-74.007033064278, 40.738763129977]}",WATER SUPPLY,ADDRESS,MANHATTAN
Noise - Street/Sidewalk,11213.0,1003287.0,"{'type': 'Point', 'coordinates': [-73.931373293273, 40.671509873891]}","{'type': 'Point', 'coordinates': [-73.931373293273, 40.671509873891]}",Loud Music/Party,ADDRESS,BROOKLYN
Encampment,10013.0,983500.0,"{'type': 'Point', 'coordinates': [-74.002705692039, 40.721018469149]}","{'type': 'Point', 'coordinates': [-74.002705692039, 40.721018469149]}",,ADDRESS,MANHATTAN
Consumer Complaint,11372.0,1014841.0,"{'type': 'Point', 'coordinates': [-73.88959351236, 40.749203610076]}","{'type': 'Point', 'coordinates': [-73.88959351236, 40.749203610076]}",Vendor,ADDRESS,QUEENS
Derelict Vehicles,11368.0,1025542.0,"{'type': 'Point', 'coordinates': [-73.850987578289, 40.742383339373]}","{'type': 'Point', 'coordinates': [-73.850987578289, 40.742383339373]}",Derelict Vehicles,ADDRESS,QUEENS
Noise - Residential,10463.0,1008499.0,"{'type': 'Point', 'coordinates': [-73.91231686911, 40.875071417247]}","{'type': 'Point', 'coordinates': [-73.91231686911, 40.875071417247]}",Loud Music/Party,ADDRESS,BRONX
HEAT/HOT WATER,11211.0,996731.0,"{'type': 'Point', 'coordinates': [-73.954978136404, 40.714414039233]}","{'type': 'Point', 'coordinates': [-73.954978136404, 40.714414039233]}",ENTIRE BUILDING,ADDRESS,BROOKLYN
Noise - Residential,11101.0,999695.0,"{'type': 'Point', 'coordinates': [-73.944252729122, 40.754551375188]}","{'type': 'Point', 'coordinates': [-73.944252729122, 40.754551375188]}",Loud Music/Party,ADDRESS,QUEENS
Water Conservation,10465.0,1034209.0,"{'type': 'Point', 'coordinates': [-73.819509267292, 40.816671394533]}","{'type': 'Point', 'coordinates': [-73.819509267292, 40.816671394533]}",Illegal Use Of A Hydrant (CIN),ADDRESS,BRONX
Taxi Complaint,10017.0,990673.0,"{'type': 'Point', 'coordinates': [-73.976818064637, 40.750884571404]}","{'type': 'Point', 'coordinates': [-73.976818064637, 40.750884571404]}",Driver Complaint - Passenger,ADDRESS,MANHATTAN
New Tree Request,10021.0,994686.0,"{'type': 'Point', 'coordinates': [-73.962323365658, 40.770247653908]}","{'type': 'Point', 'coordinates': [-73.962323365658, 40.770247653908]}",For One Address,ADDRESS,MANHATTAN
Illegal Parking,10470.0,1021545.0,"{'type': 'Point', 'coordinates': [-73.865094207627, 40.899206586639]}","{'type': 'Point', 'coordinates': [-73.865094207627, 40.899206586639]}",Blocked Hydrant,INTERSECTION,BRONX
Noise - Vehicle,11366.0,1038334.0,"{'type': 'Point', 'coordinates': [-73.804875565069, 40.724915407989]}","{'type': 'Point', 'coordinates': [-73.804875565069, 40.724915407989]}",Car/Truck Horn,ADDRESS,QUEENS
PAINT/PLASTER,10458.0,1016042.0,"{'type': 'Point', 'coordinates': [-73.885036872589, 40.877896457579]}","{'type': 'Point', 'coordinates': [-73.885036872589, 40.877896457579]}",CEILING,ADDRESS,BRONX
Noise - Street/Sidewalk,10035.0,1001843.0,"{'type': 'Point', 'coordinates': [-73.936455001709, 40.801432934576]}","{'type': 'Point', 'coordinates': [-73.936455001709, 40.801432934576]}",Loud Music/Party,ADDRESS,MANHATTAN
