descriptor,total_incident_zip
Dog Off Leash,11105.0
Branch Cracked and Will Fall,11436.0
Posted Parking Sign Violation,11201.0
With License Plate,11234.0
Engine Idling,11230.0
Double Parked Blocking Vehicle,10460.0
,21221.0
WATER SUPPLY,10014.0
Illegal Hotel Rooms In Residential Building,10021.0
Vendor,11372.0
In Public,11377.0
MAINTENANCE,10017.0
Dirty Water (WE),11692.0
ENTIRE BUILDING,22586.0
No Access,22324.0
For One Address,10021.0
Car/Truck Music,20489.0
Loud Music/Party,74210.0
Pothole,21871.0
Trees and Sidewalks Program,11235.0
Graffiti,11221.0
Partial Access,10314.0
Illegal Use Of A Hydrant (CIN),10465.0
BELL/BUZZER/INTERCOM,10458.0
Driver Complaint - Passenger,10017.0
Blocked Hydrant,10470.0
APARTMENT ONLY,21224.0
Boiler - Defective/Inoperative/No Permit,10040.0
FLOOR,10454.0
Other,10016.0
Blocked Bike Lane,10002.0
TOILET,20912.0
Illegal Conversion Of Residential Building/Space,11209.0
Car/Truck Horn,11366.0
CEILING,10458.0
Food Temperature,11379.0
DAMP SPOT,10458.0
Derelict Vehicles,11368.0
Hydrant Running (WC3),11385.0
