project_name,neighborhood_tabulation_area,prevailing_wage_status,total_units_by_project
NEW PENN DEVELOPMENT,BK0502,Non Prevailing Wage,12
TIMPSON PLACE HDFC.GHPP.FY25,BX0101,Non Prevailing Wage,64
NORTH SHORE PLAZA.YR15.FY25,SI0107,Non Prevailing Wage,1524
MORNINGSIDE HEIGHTS III. HPO.FY25,MN0703,Non Prevailing Wage,58
153 EAST 51 STREET,BK1703,Non Prevailing Wage,9
THE TRIO APARTMENTS,QN0201,Non Prevailing Wage,34
23-10 42ND ROAD APARTMENTS,QN0201,Non Prevailing Wage,240
UPS. 1806 ANTHONY AVE,BX0502,Non Prevailing Wage,111
130 EAST 165TH STREET APARTMENTS,BX0401,Non Prevailing Wage,75
37-42 30TH STREET,QN0105,Non Prevailing Wage,63
1305 SHAKESPEARE AVENUE,BX0402,Non Prevailing Wage,8
1644 NEW YORK AVENUE,BK1702,Non Prevailing Wage,36
B&R.YR15.FY25,BK0402,Non Prevailing Wage,17
SALEM HOUSE.YR15.FY25,MN1002,Non Prevailing Wage,48
633 EAST 230 STREET,BX1203,Non Prevailing Wage,25
GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,BX0401,Non Prevailing Wage,16
FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),BK0702,Non Prevailing Wage,36
MASARYK TOWERS.HRP.FY25,MN0302,Non Prevailing Wage,219
EASTCHESTER HEIGHTS HDFC.HPO.FY25,BX1202,Non Prevailing Wage,2952
CLAREMONT PARK APARTMENTS.YR15.FY25,BX0403,Non Prevailing Wage,98
21-07 ASTORIA BLVD APARTMENTS,QN0103,Non Prevailing Wage,68
256 MT HOPE PLACE_HPS,BX0502,Non Prevailing Wage,42
131 CONCORD STREET APARTMENTS,BK0202,Non Prevailing Wage,73
CROTONA PARK WEST HDFC.HPO.FY24,BX0302,Non Prevailing Wage,179
SOUTH BUSHWICK NEIGHBORHOOD HOMES (SBNH),BK0402,Non Prevailing Wage,8
JERICHO HOUSE,MN1001,Non Prevailing Wage,56
WEST FARMS.HUDMF.FY25,BX0303,Non Prevailing Wage,276
180 PENNSYLVANIA AVE APARTMENTS,BK0502,Non Prevailing Wage,50
2769 CRESTON AVENUE,BX0702,Non Prevailing Wage,44
22-25 NEW HAVEN AVENUE APARTMENTS,QN1401,Non Prevailing Wage,26
2040 MCGRAW AVE APARTMENTS,BX0904,Non Prevailing Wage,24
