indexnumber,tenantname,indexnumber,tenantname,total_bikes_requested
BIB10000432,"Tweedy, Browne Company LLC",BIB10000432,"Tweedy, Browne Company LLC",5
BIB10000505,SEIU Local 32BJ,BIB10000505,SEIU Local 32BJ,10
BIB10000328,Kelly Services,BIB10000328,Kelly Services,4
BIB12000137,Condenast,BIB12000137,Condenast,1
BIB12000090,Integrative Nutrition Inc,BIB12000090,Integrative Nutrition Inc,40
BIB15000211,"Fedcap Rehabilitation Services, Inc.",BIB15000211,"Fedcap Rehabilitation Services, Inc.",6
BIB11000059,Jaffe and Asher LLP,BIB11000059,Jaffe and Asher LLP,5
BIB09000030,John Jay College of Criminal Justice-CUNY,BIB09000030,John Jay College of Criminal Justice-CUNY,10
BIB10000646,Heraeus,BIB10000646,Heraeus,4
BIB17000016,"Arnold & Porter Kaye Scholer, LLP",BIB17000016,"Arnold & Porter Kaye Scholer, LLP",8
BIB10000405,government kingdom of the netherlands,BIB10000405,government kingdom of the netherlands,2
BIB14000273,Offerpop Corporation,BIB14000273,Offerpop Corporation,10
BIB17000147,Music Theatre International,BIB17000147,Music Theatre International,8
BIB14000258,Gartner,BIB14000258,Gartner,16
BIB10000428,Zielger Capital Markets,BIB10000428,Zielger Capital Markets,12
BIB17000008,Vanke Operations USA LLC,BIB17000008,Vanke Operations USA LLC,20
BIB12000367,Starvest Partners/Law Offices of Jeffrey Lichtman,BIB12000367,Starvest Partners/Law Offices of Jeffrey Lichtman,10
BIB15000110,Douglas Howell,BIB15000110,Douglas Howell,5
BIB18000164,UHY Advisors,BIB18000164,UHY Advisors,3
BIB14000209,Fusion Academy,BIB14000209,Fusion Academy,20
BIB10000114,Andre Poehlker,BIB10000114,Andre Poehlker,1
BIB10000264,EMI Music,BIB10000264,EMI Music,40
BIB14000265,Test,BIB14000265,Test,3
BIB15000085,Ashurst LLP,BIB15000085,Ashurst LLP,14
BIB09000005,Red Kite Management,BIB09000005,Red Kite Management,3
BIB14000125,"The British Consulate-General, New York",BIB14000125,"The British Consulate-General, New York",20
BIB10000444,Benchmark Solutions Inc.,BIB10000444,Benchmark Solutions Inc.,3
BIB12000144,Sanford Wittels & Heisler,BIB12000144,Sanford Wittels & Heisler,6
BIB15000044,Grey Global Group,BIB15000044,Grey Global Group,50
BIB16000088,McCullough Ginsberg Montano & Partners LLP,BIB16000088,McCullough Ginsberg Montano & Partners LLP,6
BIB12000080,Perella Weinberg Partners,BIB12000080,Perella Weinberg Partners,40
BIB10000491,Anti-Defamation League,BIB10000491,Anti-Defamation League,2
BIB10000486,Thailand Board of Investment,BIB10000486,Thailand Board of Investment,2
BIB12000214,Langan Engineering & Environmental Services,BIB12000214,Langan Engineering & Environmental Services,8
BIB18000076,Swann Galleries,BIB18000076,Swann Galleries,3
BIB14000093,Wendy Gall at the Canadian Consulate General,BIB14000093,Wendy Gall at the Canadian Consulate General,5
BIB16000103,Reproductive specialists of N.Y.,BIB16000103,Reproductive specialists of N.Y.,1
BIB16000052,World Food Programme,BIB16000052,World Food Programme,4
BIB15000005,kim McMillin,BIB15000005,kim McMillin,2
BIB10000098,GlobalSource Partners,BIB10000098,GlobalSource Partners,1
BIB10000205,Firmenich,BIB10000205,Firmenich,1
BIB10000514,GLG Inc.,BIB10000514,GLG Inc.,2
BIB12000156,Deanco Digital Printing,BIB12000156,Deanco Digital Printing,2
BIB15000024,"Millhouse Peck Properties, LLC",BIB15000024,"Millhouse Peck Properties, LLC",30
BIB11000004,GDS International,BIB11000004,GDS International,1
BIB12000260,Caravel Management LLC,BIB12000260,Caravel Management LLC,1
BIB15000075,"WW 205 E 42nd St Tenant, LLC",BIB15000075,"WW 205 E 42nd St Tenant, LLC",20
BIB11000161,Carabba Locke LLP,BIB11000161,Carabba Locke LLP,3
BIB10000367,United Nations,BIB10000367,United Nations,46
BIB17000089,Kriss & Feuerstein LLP,BIB17000089,Kriss & Feuerstein LLP,1
