gl_company,total_fee,estimated_cost,community_district_number,worker_compensation_policy,filing_fee,rank,dense_rank
SENTINEL INS COMPANY,400.1,20000.0,104.0,W2210 186-9,400.1,5,1
CINCINNATI SPECIALTY,0.0,14440.0,502.0,V1011 136-7,0.0,1,1
CINCINNATI SPECIALTY,236.2,7000.0,315.0,W41526521,236.2,1,2
CINCINNATI SPECIALTY,236.2,7000.0,312.0,G1439 772-3,236.2,2,2
CINCINNATI SPECIALTY,401.0,22750.0,501.0,V1011 136-7,401.0,2,3
GREAT AMERICAN E & S INS,325.0,220000.0,206.0,G1487 679-1,225.0,1,1
GREAT AMERICAN ALLIANCE,267.1,10000.0,414.0,WC5Z51292688010,267.1,1,1
GREAT AMERICAN ALLIANCE,317.7,11860.0,107.0,G1404 325-1,317.7,2,2
GREAT AMERICAN INS,473.1,30000.0,501.0,G2318 442-7,473.1,1,1
GREAT AMERICAN INS,1039.6,85000.0,110.0,SW5WC00313211,1039.6,1,2
HARTFORD FIRE INSURANCE,1637.0,142140.0,406.0,015519204,1637.0,1,2
NORTHFIELD INSURNCE CO,267.1,10000.0,314.0,G2187 389-8,267.1,1,1
HDI GLOBAL INS COMPANY,0.0,11500.0,201.0,WLRC5574063A,0.0,1,1
Accredited Surety & Cas Co i,325.0,20000.0,402.0,AMX-170-0016-003,225.0,1,1
NATIONAL UNION FIRE INS,325.0,1700000.0,105.0,WC020608650,225.0,1,2
GREAT AMERICAN INSURANCE,225.9,5850.0,111.0,G1470 006-6,225.9,1,1
HIHSCOX INSURANCE CO,225.0,20000.0,110.0,K2386 644-5,225.0,3,1
PRINCETON EXCESS&SURPLUS,473.1,30000.0,104.0,G2406 318-2,473.1,4,1
PRINCETON EXCESS&SURPLUS,2511.6,225000.0,104.0,G2406 318-2,2511.6,1,2
ACCREDITED SURETY AND CAS,1070.5,88000.0,106.0,MNY160128585901,1070.5,1,1
PRINCETON EXCESS & SURP,4384.1,400000.0,101.0,SW5WC00058192,4284.1,1,1
GREAT AMERICAN INSURANCE CO,420.7,22000.0,110.0,WWC3806251,420.7,2,1
Construction Risk Partners,100.0,2100000.0,302.0,Z2406 318-2,0.0,1,1
GREAT AMERICAN INS CO,100.0,147756.0,403.0,Q745 597-5,0.0,1,1
GREAT AMERICAN INS CO,256.8,9000.0,303.0,G1344 304-9,256.8,1,3
GREAT AMERICAN INS CO,267.1,10000.0,314.0,Q2154 506-6,267.1,1,4
GREAT AMERICAN INS CO,308.3,14000.0,401.0,SW5WC00167-191,308.3,2,5
GREAT AMERICAN INS CO,355.0,750000.0,103.0,4087876981,225.0,1,6
GREAT AMERICAN INS CO,585.5,37600.0,107.0,QWC3001178,585.5,1,8
GREAT AMERICAN INS CO,1049.0,82700.0,105.0,H1466 144-1,1616.4,4,9
GREAT AMERICAN INS CO,1049.0,82700.0,105.0,H1466 144-1,1049.0,4,9
GREAT AMERICAN INS CO,1152.9,96000.0,401.0,G1451 832-8,1152.9,1,10
GREAT AMERICAN INS CO,2018.1,180000.0,105.0,G 993 834 1,2018.1,3,11
GREAT AMERICAN INS CO,2254.1,200000.0,104.0,G 1061 517 7,195.0,2,12
GREAT AMERICAN INS CO,2254.1,200000.0,104.0,G 1061 517 7,2254.1,2,12
GREAT AMERICAN INS CO,8950.0,853000.0,301.0,G1342 542-6,8950.0,1,13
LLOYDS OF LONDON,2748.5,247320.0,103.0,WCP-0291-12429-04,2748.5,2,2
LLOYDS OF LONDON,5448.0,513000.0,312.0,UB4W99928723,5448.0,1,3
ZURICH AMERICAN INS,246.5,7500.0,102.0,WC 6668187-32,246.5,1,1
ACCREDITED SURETY & CASUA,11226.3,1073750.0,105.0,W421131,11226.3,2,1
OLD REPUBLIC INS CO,100.0,239000.0,305.0,MWC115397 14,0.0,1,1
OLD REPUBLIC INS CO,205.3,3250.0,102.0,MWC115397 11,205.3,2,2
ACCIDENT FUND INS CO OF,0.0,11625.0,204.0,Q 844 874-8,0.0,1,1
AMERICA EMPIRE SURPLUS LI,905.7,72000.0,305.0,G 718 369-2,905.7,2,1
GREAT AMERICAN INS COMPAN,267.1,9923.0,208.0,W41908523,267.1,1,1
