plumbing_work_type,built_2_information_value,signoff_date,total,count,average
0,,,1868202.48,18,103789.02666666667
0,False,2025-03-18 00:00:00,1574865.0,1,1574865.0
1,,,331350.0,12,27612.5
0,False,2024-06-24 00:00:00,150000.0,1,150000.0
0,,2023-02-17 00:00:00,110000.0,1,110000.0
1,,2025-01-13 00:00:00,101372.6,1,101372.6
1,,2023-09-11 00:00:00,100000.0,1,100000.0
0,,2022-05-02 00:00:00,70000.0,1,70000.0
0,,2024-04-11 00:00:00,57438.0,1,57438.0
1,,2019-06-03 00:00:00,38850.0,1,38850.0
1,,2025-01-28 00:00:00,37500.0,1,37500.0
0,,2023-09-18 00:00:00,30000.0,1,30000.0
1,,2024-01-05 00:00:00,20000.0,1,20000.0
0,,2025-12-15 00:00:00,10000.0,1,10000.0
0,,2024-03-14 00:00:00,10000.0,1,10000.0
0,,2020-10-16 00:00:00,7000.0,1,7000.0
1,,2022-12-27 00:00:00,6000.0,1,6000.0
1,False,2024-01-23 00:00:00,6000.0,1,6000.0
0,,2024-10-25 00:00:00,5000.0,1,5000.0
0,,2019-06-03 00:00:00,4000.0,1,4000.0
0,,2024-02-23 00:00:00,4000.0,1,4000.0
0,,2019-09-10 00:00:00,1150.0,1,1150.0
0,,2020-10-07 00:00:00,1000.0,1,1000.0
0,,2023-01-26 00:00:00,1000.0,1,1000.0
0,,2023-04-27 00:00:00,100.0,1,100.0
0,,2023-12-29 00:00:00,1.0,1,1.0
