bn,progcount,category,count,avg_value,total_value,max_value
Q248,1,Low program count,1,1.0,1,1
Q896,1,Low program count,1,1.0,1,1
M419,1,Low program count,1,1.0,1,1
Q283,1,Low program count,1,1.0,1,1
M304,1,Low program count,1,1.0,1,1
Q258,1,Low program count,1,1.0,1,1
K540,8,High program count,1,8.0,8,8
X334,1,Low program count,1,1.0,1,1
K071,4,Medium program count,1,4.0,4,4
K445,8,High program count,1,8.0,8,8
K558,1,Low program count,1,1.0,1,1
M463,1,Low program count,1,1.0,1,1
X260,1,Low program count,1,1.0,1,1
X565,1,Low program count,1,1.0,1,1
X508,1,Low program count,1,1.0,1,1
K393,1,Low program count,1,1.0,1,1
Q520,1,Low program count,1,1.0,1,1
X455,7,High program count,1,7.0,7,7
R600,6,High program count,1,6.0,6,6
R064,1,Low program count,1,1.0,1,1
K618,1,Low program count,1,1.0,1,1
