brooklyn_condominiums_comparable_properties_building_classification,brooklyn_condominiums_comparable_properties_year_built,comparable_rental_1_building_classification,comparable_rental_1_neighborhood,comparable_rental_1_distance_from_condo_in_miles,brooklyn_condominiums_comparable_properties_neighborhood,brooklyn_condominiums_comparable_properties_gross_income_per_sqft
R2-CONDOMINIUM,2006.0,C1-WALK-UP,BENSONHURST,0.46,BENSONHURST,19.23
R4-CONDOMINIUM,2006.0,D1-ELEVATOR,MADISON,0.17,MADISON,17.5
R9-CONDOMINIUM,,D9-ELEVATOR,FLATBUSH-CENTRAL,3.63,MILL BASIN,25.12
R4-CONDOMINIUM,1925.0,D9-ELEVATOR,FORT GREENE,0.55,PARK SLOPE,22.01
R4-CONDOMINIUM,,D1-ELEVATOR,PARK SLOPE,0.51,PARK SLOPE,21.46
R2-CONDOMINIUM,2006.0,C1-WALK-UP,CLINTON HILL,0.66,CLINTON HILL,28.88
R4-CONDOMINIUM,2007.0,C1-WALK-UP,CLINTON HILL,0.88,CLINTON HILL,20.7
R4-CONDOMINIUM,2005.0,C1-WALK-UP,SHEEPSHEAD BAY,0.7,SHEEPSHEAD BAY,17.29
R4-CONDOMINIUM,2006.0,D1-ELEVATOR,MIDWOOD,0.21,MIDWOOD,19.53
R4-CONDOMINIUM,2003.0,D1-ELEVATOR,MIDWOOD,1.2,MIDWOOD,17.29
R2-CONDOMINIUM,1999.0,C1-WALK-UP,WILLIAMSBURG-EAST,0.42,WILLIAMSBURG-CENTRAL,20.75
R4-CONDOMINIUM,2005.0,D9-ELEVATOR,WILLIAMSBURG-SOUTH,0.68,WILLIAMSBURG-CENTRAL,20.7
R4-CONDOMINIUM,2002.0,D9-ELEVATOR,WILLIAMSBURG-SOUTH,0.68,WILLIAMSBURG-CENTRAL,20.7
R4-CONDOMINIUM,2005.0,D9-ELEVATOR,BENSONHURST,0.62,GRAVESEND,18.32
R4-CONDOMINIUM,2007.0,D1-ELEVATOR,DOWNTOWN-FULTON MALL,2.45,WILLIAMSBURG-NORTH,22.74
R2-CONDOMINIUM,1987.0,D9-ELEVATOR,BEDFORD STUYVESANT,1.36,CROWN HEIGHTS,15.42
R2-CONDOMINIUM,1922.0,C1-WALK-UP,CROWN HEIGHTS,0.92,CROWN HEIGHTS,12.44
R2-CONDOMINIUM,,C1-WALK-UP,PARK SLOPE SOUTH,0.25,PARK SLOPE SOUTH,25.75
R2-CONDOMINIUM,1900.0,C7-WALK-UP,COBBLE HILL,0.11,BROOKLYN HEIGHTS,23.76
R2-CONDOMINIUM,1927.0,C1-WALK-UP,BOROUGH PARK,1.54,BOROUGH PARK,17.1
R4-CONDOMINIUM,1926.0,D9-ELEVATOR,CROWN HEIGHTS,3.69,BOROUGH PARK,14.78
R4-CONDOMINIUM,,D9-ELEVATOR,FLATBUSH-CENTRAL,5.08,BRIGHTON BEACH,23.5
R2-CONDOMINIUM,2005.0,D9-ELEVATOR,CROWN HEIGHTS,6.64,BRIGHTON BEACH,19.53
R2-CONDOMINIUM,2004.0,C1-WALK-UP,SHEEPSHEAD BAY,1.06,BRIGHTON BEACH,19.53
R2-CONDOMINIUM,,C1-WALK-UP,PROSPECT HEIGHTS,0.0,PROSPECT HEIGHTS,27.57
R4-CONDOMINIUM,2006.0,D9-ELEVATOR,WILLIAMSBURG-SOUTH,0.11,WILLIAMSBURG-SOUTH,21.83
R4-CONDOMINIUM,2004.0,D9-ELEVATOR,WILLIAMSBURG-SOUTH,0.25,WILLIAMSBURG-SOUTH,18.83
R2-CONDOMINIUM,1917.0,C1-WALK-UP,WILLIAMSBURG-SOUTH,0.09,WILLIAMSBURG-SOUTH,17.94
R2-CONDOMINIUM,2001.0,C1-WALK-UP,GREENPOINT,0.15,GREENPOINT,21.96
R4-CONDOMINIUM,1917.0,D9-ELEVATOR,BROOKLYN HEIGHTS,0.56,COBBLE HILL-WEST,19.44
R4-CONDOMINIUM,2009.0,D9-ELEVATOR,FORT GREENE,1.18,COBBLE HILL-WEST,15.99
R4-CONDOMINIUM,2004.0,D9-ELEVATOR,WILLIAMSBURG-SOUTH,0.73,WILLIAMSBURG-EAST,21.45
R2-CONDOMINIUM,2003.0,D9-ELEVATOR,WILLIAMSBURG-SOUTH,0.95,BEDFORD STUYVESANT,20.7
R4-CONDOMINIUM,2007.0,D9-ELEVATOR,WILLIAMSBURG-SOUTH,0.82,BEDFORD STUYVESANT,20.7
