fact_neighborhood,total_dimension1,average_dimension2,t2_latitude,t2_longitude,t5_latitude,t5_longitude
SOHO,4560000,930028.0,40.72109,-74.003745,40.72109,-74.003745
MIDTOWN EAST,8611002,1742515.0,40.756097,-73.964548,40.756097,-73.964548
UPPER WEST SIDE (79-96),4202008,1118441.0,40.794839,-73.974285,40.794839,-73.974285
FINANCIAL,155560004,27436591.0,40.706531,-74.011022,40.706531,-74.011022
UPPER EAST SIDE (59-79),896504,175889.0,40.763947,-73.966413,40.763947,-73.966413
MURRAY HILL,8809998,1522496.0,40.745032,-73.984265,40.745032,-73.984265
FLATIRON,8327000,1947023.0,40.736782,-73.993039,40.736782,-73.993039
EAST VILLAGE,4862000,879758.0,40.725173,-73.984191,40.725173,-73.984191
TRIBECA,77801025,14329121.0,40.716863,-74.012207,40.716863,-74.012207
CHELSEA,12247999,2219713.0,40.748175,-74.003829,40.748175,-74.003829
GREENWICH VILLAGE-WEST,16715003,3600000.0,40.735209,-74.001086,40.735209,-74.001086
CLINTON,62080991,10347329.0,40.765758,-73.988488,40.765758,-73.988488
UPPER EAST SIDE (59-79),38138999,7277543.0,40.77554,-73.962685,40.77554,-73.962685
MIDTOWN EAST,275918004,51500000.0,40.751983,-73.967538,40.751983,-73.967538
UPPER WEST SIDE (59-79),2728001,485229.0,40.780284,-73.980401,40.780284,-73.980401
CHELSEA,10844996,1990587.0,40.741901,-73.998069,40.741901,-73.998069
FINANCIAL,4449000,848506.0,40.70935,-74.00861,40.70935,-74.00861
MIDTOWN WEST,25409869,5414392.0,40.763116,-73.978063,40.763116,-73.978063
UPPER WEST SIDE (59-79),54230013,11136641.0,40.769476,-73.985122,40.769476,-73.985122
GREENWICH VILLAGE-CENTRAL,2044001,480643.0,40.727016,-73.993094,40.727016,-73.993094
SOHO,4961001,922681.0,40.724164,-74.009423,40.724164,-74.009423
FLATIRON,5420000,1013880.0,40.739433,-73.990351,40.739433,-73.990351
MIDTOWN WEST,5618000,1128376.0,40.765476,-73.977817,40.765476,-73.977817
GREENWICH VILLAGE-WEST,2174002,513139.0,40.731591,-74.004954,40.731591,-74.004954
MIDTOWN WEST,36282001,6858355.0,40.757593,-73.978862,40.757593,-73.978862
UPPER WEST SIDE (59-79),9932997,1803604.0,40.781538,-73.975807,40.781538,-73.975807
MIDTOWN EAST,37252000,7724504.0,40.75818,-73.964676,40.75818,-73.964676
MURRAY HILL,4556654,1124450.0,40.743546,-73.982656,40.743546,-73.982656
SOHO,7447000,1461689.0,40.726149,-73.999441,40.726149,-73.999441
MURRAY HILL,57068992,10468620.0,40.745294,-73.97708,40.745294,-73.97708
GREENWICH VILLAGE-CENTRAL,17914001,3461200.0,40.726165,-73.993127,40.726165,-73.993127
MIDTOWN WEST,9745001,1706876.0,40.763839,-73.98499,40.763839,-73.98499
EAST VILLAGE,2680000,484183.0,40.729694,-73.988447,40.729694,-73.988447
UPPER EAST SIDE (59-79),4995001,900179.0,40.766048,-73.971401,40.766048,-73.971401
GREENWICH VILLAGE-WEST,3513999,723648.0,40.733944,-74.005037,40.733944,-74.005037
UPPER EAST SIDE (59-79),14706034,3094786.0,40.764673,-73.97012,40.764673,-73.97012
TRIBECA,28015990,5239413.0,40.709097,-74.017104,40.709097,-74.017104
CHELSEA,27000000,4614675.0,40.741961,-73.997214,40.741961,-73.997214
UPPER WEST SIDE (79-96),7645006,2171425.0,40.792025,-73.975161,40.792025,-73.975161
MIDTOWN EAST,51559018,10106523.0,40.757851,-73.965889,40.757851,-73.965889
FINANCIAL,1875000,461000.0,40.70991,-74.012177,40.70991,-74.012177
UPPER WEST SIDE (79-96),82594009,14778636.0,40.786199,-73.97751,40.786199,-73.97751
MIDTOWN EAST,17572000,3432492.0,40.758677,-73.963774,40.758677,-73.963774
TRIBECA,2798000,541208.0,40.719879,-74.007929,40.719879,-74.007929
ALPHABET CITY,1765999,365541.0,40.727151,-73.978702,40.727151,-73.978702
EAST VILLAGE,13580000,2552670.0,40.725929,-73.988787,40.725929,-73.988787
UPPER WEST SIDE (59-79),27884001,5457510.0,40.777053,-73.977928,40.777053,-73.977928
LOWER EAST SIDE,17869000,1588341.0,40.719807,-73.983048,40.719807,-73.983048
GREENWICH VILLAGE-WEST,33435001,7046102.0,40.730063,-74.006891,40.730063,-74.006891
UPPER WEST SIDE (59-79),6237003,1442997.0,40.772212,-73.980197,40.772212,-73.980197
