queens_condominium_property_neighborhood,queens_condominium_property_condo_section,queens_condominium_property_address,record_count,total_amount,avg_amount,max_amount,min_amount
ELMHURST,129-R3,94-31 60 AVENUE,1,4080186,4080186.0,4080186,4080186
BRIARWOOD,215-R1,85-15 MAIN STREET,1,3288946,3288946.0,3288946,3288946
ELMHURST,281-R1,42-15 81 STREET,1,2357640,2357640.0,2357640,2357640
COLLEGE POINT,534-R1,14-34 110 STREET,1,633885,633885.0,633885,633885
ELMHURST,211-R1,41-28 71 STREET,1,177548,177548.0,177548,177548
FLUSHING-NORTH,42-R1,144-77 ROOSEVELT AVENUE,1,1829232,1829232.0,1829232,1829232
BRIARWOOD,251-R1,135-08 82 AVENUE,1,285000,285000.0,285000,285000
FLUSHING-NORTH,199-R1,36-20 168 STREET,1,1232500,1232500.0,1232500,1232500
REGO PARK,56-R1,65-36 WETHEROLE STREET,1,928536,928536.0,928536,928536
HOWARD BEACH,292-R1,78-10 153 AVENUE,1,759800,759800.0,759800,759800
CORONA,469-R1,104-19 39 AVENUE,1,294000,294000.0,294000,294000
FLUSHING-NORTH,49-R2,175-32 56 AVENUE,1,702000,702000.0,702000,702000
WOODSIDE,279-R1,41-14 68 STREET,1,273577,273577.0,273577,273577
FLUSHING-NORTH,398-R1,139-87 35 AVENUE,1,324896,324896.0,324896,324896
LONG ISLAND CITY,533-R1,27-16 41 AVENUE,1,648450,648450.0,648450,648450
FLUSHING-NORTH,164-R1,133-36 41 ROAD,1,1373700,1373700.0,1373700,1373700
