bronx_cooperatives_comparable_properties_address,bronx_cooperatives_comparable_properties_gross_sqft,bronx_cooperatives_comparable_properties_year_built,bronx_cooperatives_comparable_properties_building_classification,bronx_cooperatives_comparable_properties_gross_income_per_sqft,bronx_cooperatives_comparable_properties_boro_block_lot,comparable_rental_1_gross_income_per_sqft,bronx_cooperatives_comparable_properties_total_units
"{'latitude': '40.816607228367', 'longitude': '-73.89665312146', 'human_address': '{""address"": ""1019 LONGWOOD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",18300,1931,C6-WALK-UP,10.09,2-02721-0042,9.76,16
"{'latitude': '40.881142378294', 'longitude': '-73.9081399706', 'human_address': '{""address"": ""3125 TIBBETT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",234000,1961,D4-ELEVATOR,10.25,2-05714-0164,10.56,225
"{'latitude': '40.833798555414', 'longitude': '-73.921043810762', 'human_address': '{""address"": ""85 MC CLELLAN STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",56400,1940,D4-ELEVATOR,7.3,2-02479-0001,7.59,59
"{'latitude': '40.848609151379', 'longitude': '-73.912813102948', 'human_address': '{""address"": ""1770 DAVIDSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",81502,1927,D4-ELEVATOR,8.0,2-02861-0114,7.99,65
"{'latitude': '40.8827465541', 'longitude': '-73.889400427016', 'human_address': '{""address"": ""3975 SEDGWICK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",393920,1968,D4-ELEVATOR,9.3,2-03252-0052,10.29,316
"{'latitude': '40.84872487509', 'longitude': '-73.912729781876', 'human_address': '{""address"": ""1780 DAVIDSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",42450,1928,D4-ELEVATOR,6.9,2-02861-0119,6.89,42
"{'latitude': '40.886696758224', 'longitude': '-73.909690411599', 'human_address': '{""address"": ""3601 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",115597,1955,D4-ELEVATOR,11.5,2-05799-0073,11.08,90
"{'latitude': '40.825929563903', 'longitude': '-73.891991861798', 'human_address': '{""address"": ""1111 SOUTHERN BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",21917,1925,C6-WALK-UP,8.15,2-02727-0039,8.03,26
"{'latitude': '40.879047623611', 'longitude': '-73.916693498923', 'human_address': '{""address"": ""609 KAPPOCK STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",82500,1962,D4-ELEVATOR,10.5,2-05725-0767,10.96,66
"{'latitude': '40.879602192154', 'longitude': '-73.836663182984', 'human_address': '{""address"": ""3410 DE REIMER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",256000,1965,D4-ELEVATOR,10.7,2-05259-0016,12.04,208
"{'latitude': '40.812545732512', 'longitude': '-73.902603237709', 'human_address': '{""address"": ""590 SOUTHERN BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",26742,1924,C6-WALK-UP,10.5,2-02603-0024,10.63,29
"{'latitude': '40.877230807923', 'longitude': '-73.917899032971', 'human_address': '{""address"": ""2500 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",466400,1967,D4-ELEVATOR,13.0,2-05716-0500,12.84,339
"{'latitude': '40.888557878984', 'longitude': '-73.915598599857', 'human_address': '{""address"": ""3750 HUDSON MANOR TERRACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",163944,1954,D4-ELEVATOR,11.1,2-05919-0448,11.37,104
"{'latitude': '40.888634689386', 'longitude': '-73.903146797717', 'human_address': '{""address"": ""3875 WALDO AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",150000,1931,D4-ELEVATOR,9.9,2-05778-0879,9.62,105
"{'latitude': '40.834743862967', 'longitude': '-73.920728376782', 'human_address': '{""address"": ""1175 GERARD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",51000,1924,C6-WALK-UP,8.03,2-02488-0036,15.68,44
