brooklyn_cooperatives_comparable_properties_boro_block_lot,brooklyn_cooperatives_comparable_properties_address,latitude,category,count,avg_value,total_value,max_value
3-00261-0018,"{'latitude': '40.693118169056', 'longitude': '-73.99682619349', 'human_address': '{""address"": ""277 HICKS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.693006,Medium Value,1,2610000.0,2610000,2610000
3-01106-0016,"{'latitude': '40.700718609954', 'longitude': '-73.989944198243', 'human_address': '{""address"": ""10 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,Medium Value,4,2370000.0,9480000,2370000
3-07674-0021,"{'latitude': '40.614978526173', 'longitude': '-73.954261299993', 'human_address': '{""address"": ""1925 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.614927,Low Value,1,861000.0,861000,861000
3-05060-0008,"{'latitude': '40.651736768813', 'longitude': '-73.965183055765', 'human_address': '{""address"": ""55 PARADE PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.651617,Medium Value,1,2330000.0,2330000,2330000
3-05257-0045,"{'latitude': '40.70062638776', 'longitude': '-73.985401400454', 'human_address': '{""address"": ""135 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,Low Value,12,1085000.0,13020000,1290000
3-01107-0009,"{'latitude': '40.700744744272', 'longitude': '-73.989234718086', 'human_address': '{""address"": ""41 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,Low Value,12,1085000.0,13020000,1290000
3-01091-0035,"{'latitude': '40.700627228686', 'longitude': '-73.985419059894', 'human_address': '{""address"": ""133 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,Medium Value,4,2370000.0,9480000,2370000
3-01106-0019,"{'latitude': '40.700715630315', 'longitude': '-73.989910382644', 'human_address': '{""address"": ""14 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,Low Value,12,1085000.0,13020000,1290000
3-06111-0001,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""9411 SHORE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.617523,High Value,1,7740000.0,7740000,7740000
3-08669-0068,"{'latitude': '40.576980051214', 'longitude': '-73.968051236283', 'human_address': '{""address"": ""3045 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.576647,Low Value,1,1740000.0,1740000,1740000
3-05988-0045,"{'latitude': '40.627008519064', 'longitude': '-74.026668892304', 'human_address': '{""address"": ""8024 4 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.626955,Medium Value,1,3940000.0,3940000,3940000
3-05209-0022,"{'latitude': '40.639451899077', 'longitude': '-73.955216461757', 'human_address': '{""address"": ""2323 NEWKIRK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.639411,Low Value,1,282000.0,282000,282000
3-05375-0049,"{'latitude': '40.638690692444', 'longitude': '-73.972910165245', 'human_address': '{""address"": ""415 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.638928,Medium Value,1,3950000.0,3950000,3950000
3-00238-0035,"{'latitude': '40.696100473904', 'longitude': '-73.991588611593', 'human_address': '{""address"": ""10 CLINTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.695835,High Value,1,6280000.0,6280000,6280000
3-05279-0019,"{'latitude': '40.700552331514', 'longitude': '-73.984999766479', 'human_address': '{""address"": ""180 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,Medium Value,4,2370000.0,9480000,2370000
3-01073-0041,"{'latitude': '40.700749929027', 'longitude': '-73.989468841473', 'human_address': '{""address"": ""35 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,Low Value,12,1085000.0,13020000,1290000
3-05268-0033,"{'latitude': '40.654479118942', 'longitude': '-73.973813569582', 'human_address': '{""address"": ""651 VANDERBILT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.654057,Medium Value,1,3060000.0,3060000,3060000
3-05279-0019,"{'latitude': '40.700552331514', 'longitude': '-73.984999766479', 'human_address': '{""address"": ""180 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,Low Value,12,1085000.0,13020000,1290000
3-01179-0066,"{'latitude': '40.672522980592', 'longitude': '-73.965110559869', 'human_address': '{""address"": ""115 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.672505,Medium Value,1,2130000.0,2130000,2130000
3-01073-0041,"{'latitude': '40.700749929027', 'longitude': '-73.989468841473', 'human_address': '{""address"": ""35 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,Medium Value,4,2370000.0,9480000,2370000
3-00217-0001,"{'latitude': '40.698643494558', 'longitude': '-73.992400314335', 'human_address': '{""address"": ""75 HENRY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.698597,High Value,1,28700000.0,28700000,28700000
