brooklyn_cooperatives_comparable_properties_boro_block_lot,brooklyn_cooperatives_comparable_properties_address,brooklyn_cooperatives_comparable_properties_gross_income_per_sqft,brooklyn_cooperatives_comparable_properties_market_value_per_sqft,brooklyn_cooperatives_comparable_properties_expense_per_sqft
3-00242-0012,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""103 MONTAGUE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",23.85,91.18,11.33
3-00385-0060,"{'latitude': '40.68576076322', 'longitude': '-73.98999898871', 'human_address': '{""address"": ""95 WYCKOFF STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",22.17,89.73,9.65
3-01173-0040,"{'latitude': '40.674728060228', 'longitude': '-73.964066308496', 'human_address': '{""address"": ""430 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",17.74,76.47,7.14
3-00231-0030,"{'latitude': '40.698371498488', 'longitude': '-73.993813628665', 'human_address': '{""address"": ""60 PINEAPPLE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",15.54,43.84,9.14
3-02061-0040,"{'latitude': '40.69212888201', 'longitude': '-73.979054512296', 'human_address': '{""address"": ""122 ASHLAND PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",10.88,33.8,5.42
3-06286-0043,"{'latitude': '40.607821130007', 'longitude': '-73.995883226407', 'human_address': '{""address"": ""1973 81 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",10.28,29.75,5.5
3-03367-0056,"{'latitude': '40.689515855583', 'longitude': '-73.917400167813', 'human_address': '{""address"": ""1149 PUTNAM AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",10.61,28.61,6.0
3-03633-0001,"{'latitude': '40.654560763331', 'longitude': '-73.909356381919', 'human_address': '{""address"": ""1371 LINDEN BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",7.3,15.15,4.74
3-05233-0001,"{'latitude': '40.634295701325', 'longitude': '-73.965801778011', 'human_address': '{""address"": ""1212 NEWKIRK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",9.98,17.07,6.58
3-00234-0019,"{'latitude': '40.697118623176', 'longitude': '-73.996866484155', 'human_address': '{""address"": ""177 COLUMBIA HEIGHTS"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",20.57,77.85,9.98
3-08669-0073,"{'latitude': '40.577109737578', 'longitude': '-73.968021840707', 'human_address': '{""address"": ""3039 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",11.99,41.64,5.45
3-05356-0042,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""403 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",10.03,26.14,5.84
3-06888-0006,"{'latitude': '40.595909433594', 'longitude': '-73.996405288616', 'human_address': '{""address"": ""8835 23 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",15.3,61.46,6.35
3-01169-0024,"{'latitude': '40.674485498167', 'longitude': '-73.971414746871', 'human_address': '{""address"": ""20 PLAZA ST"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",14.57,48.02,7.62
3-00733-0025,"{'latitude': '40.644358272373', 'longitude': '-73.998555503322', 'human_address': '{""address"": ""848 43 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",16.19,57.87,7.69
3-07397-0085,"{'latitude': '40.59419299503', 'longitude': '-73.958305402699', 'human_address': '{""address"": ""1200 GRAVESEND NECK ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",14.02,53.15,5.94
3-00235-0028,"{'latitude': '40.697783609831', 'longitude': '-73.99558124181', 'human_address': '{""address"": ""115 WILLOW STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",18.0,69.1,8.41
3-00993-0031,"{'latitude': '40.671264083884', 'longitude': '-73.985427409407', 'human_address': '{""address"": ""322 6 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",15.85,71.35,5.41
3-05257-0035,"{'latitude': '40.657056768677', 'longitude': '-73.975254183311', 'human_address': '{""address"": ""310 WINDSOR PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",6.5,14.07,4.14
3-00254-0001,"{'latitude': '40.693117673014', 'longitude': '-73.993010441502', 'human_address': '{""address"": ""114 CLINTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",17.09,59.87,8.51
3-01152-0071,"{'latitude': '40.677304523876', 'longitude': '-73.967033755846', 'human_address': '{""address"": ""285 PROSPECT PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",23.12,106.01,8.6
3-05657-0035,"{'latitude': '40.631250376023', 'longitude': '-73.988912455102', 'human_address': '{""address"": ""5100 15 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",11.36,31.52,6.46
3-07441-0231,"{'latitude': '40.578508345427', 'longitude': '-73.988412435558', 'human_address': '{""address"": ""2600 21 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",11.01,38.67,4.75
3-07579-0029,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""3310 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",11.38,30.74,6.6
3-07559-0023,"{'latitude': '40.633077220325', 'longitude': '-73.946665857988', 'human_address': '{""address"": ""745 31 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",13.8,52.17,5.89
