centername,inspectionsummaryresult,programtype,facilitytype,regulationsummary,total,count,average
THE ROCHDALE EARLY ADVANTAGE PRESCHOOL,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,SBCC,Walls and ceiling in commercial building Not properly constructed; Not maintained in good repair; unclean,1066.6656,32,33.3333
UNITED LUBAVITCHER PRESCHOOL,Initial Annual Inspection - Reinspection Required,PRESCHOOL,SBCC,Training certificates maintained on site and available upon request,400.0,4,100.0
EIS LAASOIS CHILD DEVELOPMENT SERVICES,,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,266.6664,8,33.3333
EIS LAASOIS CHILD DEVELOPMENT SERVICES,,PRESCHOOL,GDC,Child care service/camp fails to comply with an Order of the Board or Commissioner of Health and Mental Hygiene.,266.6664,8,33.3333
ASIAN AMERICAN COALITION FOR EDUCATION,Initial Annual Inspection - Reinspection Required; Program closed,PRESCHOOL,GDC,Uncleared staff observed having unsupervised contact with children. Current SCR clearance is over 2 years old. Documents Not available at time of inspection,160.0,4,40.0
"SY SEIT, LLC",Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,150.00029999999995,9,16.666699999999995
"SY SEIT, LLC",Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,GDC,Uncleared staff observed having unsupervised contact with children. Current SCR clearance is over 2 years old. Documents Not available at time of inspection,150.00029999999995,9,16.666699999999995
LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,GDC,Uncleared staff observed having unsupervised contact with children. Current SCR clearance is over 2 years old. Documents Not available at time of inspection,133.3332,4,33.3333
PROSPECT PARK YESHIVA,Initial Annual Inspection - Reinspection Required,PRESCHOOL,SBCC,There were no new violations observed at the time of this inspection/visit.,100.0,1,100.0
PROSPECT PARK YESHIVA,Initial Annual Inspection - Reinspection Required,PRESCHOOL,SBCC,School operator arranges for fingerprinting,100.0,1,100.0
"NORTHEAST BRONX DAY CARE CENTER,INC.",Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,GDC,"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.",80.0,4,20.0
PS OF THE ARTS,Initial Annual Inspection - Reinspection Required; Violations corrected at time of inspection,PRESCHOOL,GDC,Child care service fails to store dry goods in insect/rodent proof containers at time of inspection.,66.6668,4,16.6667
OUR LITTLE ANGELS CORP,Initial Annual Inspection - Passed inspection with no violations,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,66.6668,4,16.6667
