centername,maximumcapacity,programtype,violationratepercent,totaleducationalworkers,averagepublichealthhazardiolationrate,rank,dense_rank
EVERBROOK ACADEMY,58,INFANT TODDLER,12.5,13,4.9984,2,1
EVERBROOK ACADEMY,58,INFANT TODDLER,12.5,13,4.9984,2,1
EVERBROOK ACADEMY,58,INFANT TODDLER,12.5,13,4.9984,2,1
EVERBROOK ACADEMY,58,INFANT TODDLER,12.5,13,4.9984,2,1
EVERBROOK ACADEMY,58,INFANT TODDLER,12.5,13,6.1285,2,2
EVERBROOK ACADEMY,58,INFANT TODDLER,12.5,13,6.1285,2,2
EVERBROOK ACADEMY,58,INFANT TODDLER,12.5,13,6.1285,2,2
EVERBROOK ACADEMY,58,INFANT TODDLER,12.5,13,6.1285,2,2
STEPPING STONES,0,PRESCHOOL CAMP,0.0,0,14.2558,1,1
STEPPING STONES,0,PRESCHOOL CAMP,0.0,0,14.2558,1,1
Gan Yisroel of Crown Heights,0,ALL AGE CAMP,25.0,0,14.2558,1,1
Gan Yisroel of Crown Heights,0,ALL AGE CAMP,25.0,0,14.2558,1,1
BRONX STARBRIGHT DAYCARE,18,INFANT TODDLER,50.0,2,4.9984,1,1
PROSPECT PARK YESHIVA,0,PRESCHOOL,100.0,36,6.1285,1,1
UNITED LUBAVITCHER PRESCHOOL,0,PRESCHOOL,100.0,6,23.3017,1,2
UNITED LUBAVITCHER PRESCHOOL,0,PRESCHOOL,100.0,6,23.3017,1,2
UNITED LUBAVITCHER PRESCHOOL,0,PRESCHOOL,100.0,6,23.3017,1,2
UNITED LUBAVITCHER PRESCHOOL,0,PRESCHOOL,100.0,6,23.3017,1,2
PROSPECT PARK YESHIVA,0,PRESCHOOL,100.0,36,23.3017,1,2
