latitude,longitude,address,phone,bin,categoriesaccepted,hours,categoriesavailable,rank,dense_rank
40.625211,-74.138886,"1513 Forest Avenue, Staten Island, NY, USA",(516) 869-7275,5110056.0,"Clothing/Personal Accessories, Footwear",,,1,1
40.59447,-74.078593,"155 Norway Avenue, Staten Island, NY, USA",(718) 808-1840,5109514.0,,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",Food/Beverage,3,1
40.59447,-74.078593,"155 Norway Avenue, Staten Island, NY, USA",(718) 808-1840,5109514.0,,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",Food/Beverage,3,1
40.59447,-74.078593,"155 Norway Avenue, Staten Island, NY, USA",(718) 808-1840,5109514.0,,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",Food/Beverage,3,1
40.637406,-74.081209,"17 Brook Street, Staten Island, NY 10301, USA",(718) 273-7139,5000385.0,,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM","Clothing/Personal Accessories, Footwear",1,1
40.637406,-74.081209,"17 Brook Street, Staten Island, NY 10301, USA",(718) 273-7139,5000385.0,,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM","Clothing/Personal Accessories, Footwear",1,1
40.527919,-74.237856,"3139 Veterans Road West, Staten Island, NY 10309, USA",(212) 788-4000,5155332.0,"Automotive, Pet Care/Food, Appliances, Cleaning Products, Storage/Haulage Containers, Tools/Equipment","Monday 10:00 AM-10:00 PM, Tuesday 10:00 AM-10:00 PM, Wednesday 10:00 AM-10:00 PM, Thursday 10:00 AM-10:00 PM, Friday 10:00 AM-10:00 PM, Saturday 10:00 AM-10:00 PM, Sunday 10:00 AM-10:00 PM",,3,2
40.53073,-74.228363,"2720 Veterans Road West, Staten Island, NY 10309, USA",(718) 943-1200,5170012.0,Clothing/Personal Accessories,,,3,2
40.53073,-74.228363,"2720 Veterans Road West, Staten Island, NY 10309, USA",(718) 943-1200,5170012.0,Clothing/Personal Accessories,,,3,2
40.591141,-74.164246,"2275 Richmond Avenue, Staten Island, NY, USA",(718) 616-2000,5107371.0,"Clothing/Personal Accessories, Footwear",,,1,2
40.69108,-73.908517,"569 Wilson Avenue, Brooklyn, NY, USA",(917) 353-0790,3079058.0,"Clothing/Personal Accessories, Footwear",,,1,1
40.695649,-73.917657,"195 Linden Street, Brooklyn, NY 11221, USA",(718) 455-1100,3076116.0,"Clothing/Personal Accessories, Appliances, Kitchen Items, Footwear","Monday 08:00 AM-06:00 PM, Tuesday 08:00 AM-06:00 PM, Wednesday 08:00 AM-06:00 PM, Thursday 08:00 AM-06:00 PM, Friday 08:00 AM-06:00 PM, Saturday 10:00 AM-04:00 PM, Sunday Closed",,1,1
40.667178,-73.896805,"576 Blake Avenue, Brooklyn, NY, USA",(347) 425-9349,3336125.0,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Household Furniture/Furnishings, Lawn/Garden Supplies, Musical Instruments, Office Furniture/Furnishings, Office Supplies/Stationary, Sports Equipment, Toys/Ga",,,1,2
40.672931,-73.94519,"976 Park Place, Brooklyn, NY, USA",(718) 756-8673,3031601.0,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Cleaning Products, Personal Care/Hygiene","Monday 11:00 AM-07:30 PM, Tuesday 11:00 AM-07:30 PM, Wednesday 11:00 AM-07:30 PM, Thursday 11:00 AM-07:30 PM, Friday 11:00 AM-07:30 PM, Saturday 11:00 AM-07:30 PM, Sunday Closed",,1,3
40.680114,-73.946493,"1360 Fulton Street, Brooklyn, NY 11216, USA",(347) 685-6002,3329709.0,"Arts/Crafts, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, HealthCare, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",,,1,4
40.693255,-73.945604,"175 Tompkins Avenue, Brooklyn, NY 11206, USA",(347) 240-2466,3049352.0,,,,3,4
40.687331,-73.955155,"181 Lexington Avenue, Brooklyn, NY, USA",(646) 239-2996,3056359.0,"Clothing/Personal Accessories, Footwear",,,3,4
40.736295,-73.959295,"5 Blue Slip, Brooklyn, NY, USA",(646) 807-5109,3418261.0,"Arts/Crafts, Baby Care, Clothing/Personal Accessories, Food/Beverage, Footwear, Musical Instruments, Office Supplies/Stationary, Personal Care/Hygiene, Sports Equipment, Toys/Games","Sunday Closed, Saturday 12:00 PM-7:00 PM, Friday 12:00 PM-12:00 PM, Thursday 12:00 PM-7:00 PM, Wednesday 12:00 PM-7:00 PM, Tuesday 12:00 PM-7:00 PM, Monday Closed",,1,5
40.723492,-73.947933,"25 McGuinness Blvd, Brooklyn, NY, USA",(917) 776-3786,3066846.0,"Clothing/Personal Accessories, Footwear",,,2,5
40.718866,-73.955916,"167 North 9th Street, Brooklyn, NY, USA",(718) 486-3771,3061704.0,,,Books/Media,1,5
40.714443,-73.959471,"672 Driggs Avenue, Brooklyn, NY, USA",(111) 111-1111,3062466.0,Books/Media,,Books/Media,1,5
40.720773,-73.959981,"64 North 9th Street, Brooklyn, NY 11249, USA",(718) 388-4111,3392437.0,,"Monday 09:00 AM-05:00 PM, Tuesday 09:00 AM-05:00 PM, Wednesday 09:00 AM-05:00 PM, Thursday 09:00 AM-05:00 PM, Friday 09:00 AM-05:00 PM, Saturday Closed, Sunday Closed",Books/Media,1,5
40.714443,-73.959471,"672 Driggs Avenue, Brooklyn, NY, USA",(111) 111-1111,3062466.0,Books/Media,,Books/Media,1,5
40.808541,-73.917014,"295 Saint Ann's Avenue, The Bronx, NY, USA",(718) 585-5632,2000081.0,"Baby Care, Building Products, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, Kitchen Items, Lawn/Garden Supplies, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",,"Clothing/Personal Accessories, Food/Beverage, Personal Care/Hygiene",1,1
40.851499,-73.894866,"495 East 180th Street, Bronx, NY, USA",(813) 426-5234,2011507.0,"Clothing/Personal Accessories, Footwear",,,3,2
