ntaname,dsny_section,categoriesaccepted,hours,categoriesavailable,senate_district_filled,police_precinct_filled,count,total
,SI036,"Automotive, Pet Care/Food, Appliances, Cleaning Products, Storage/Haulage Containers, Tools/Equipment","Monday 10:00 AM-10:00 PM, Tuesday 10:00 AM-10:00 PM, Wednesday 10:00 AM-10:00 PM, Thursday 10:00 AM-10:00 PM, Friday 10:00 AM-10:00 PM, Saturday 10:00 AM-10:00 PM, Sunday 10:00 AM-10:00 PM",,24.0,0.0,1,24.0
Williamsburg,BKN012,Books/Media,,Books/Media,59.0,90.0,2,118.0
College Point,QE075,"Clothing/Personal Accessories, Footwear",,,11.0,109.0,3,33.0
,BKS073,"Food/Beverage, Baby Care","Monday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Friday 9:00 AM-5:00 PM, Saturday Closed, Sunday Closed",Baby Care,26.0,72.0,1,26.0
Williamsbridge-Olinville,BX121,"Appliances, Sports Equipment, Personal Care/Hygiene, Office Supplies/Stationary, Office Furniture/Furnishings, Musical Instruments, Kitchen Items, Household Furniture/Furnishings, HealthCare, Footwear, Food/Beverage, Electronics, Clothing/Personal Access",,,36.0,47.0,1,36.0
West Village,MN022,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",27.0,6.0,1,27.0
,BKN032,"Clothing/Personal Accessories, Footwear",,,25.0,79.0,1,25.0
Mott Haven-Port Morris,BX012,"Baby Care, Building Products, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, Kitchen Items, Lawn/Garden Supplies, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",,"Clothing/Personal Accessories, Food/Beverage, Personal Care/Hygiene",29.0,40.0,1,29.0
Pelham Gardens,BX112,"Clothing/Personal Accessories, Footwear",,,33.0,49.0,1,33.0
Bushwick (East),BKN042,"Clothing/Personal Accessories, Appliances, Kitchen Items, Footwear","Monday 08:00 AM-06:00 PM, Tuesday 08:00 AM-06:00 PM, Wednesday 08:00 AM-06:00 PM, Thursday 08:00 AM-06:00 PM, Friday 08:00 AM-06:00 PM, Saturday 10:00 AM-04:00 PM, Sunday Closed",,18.0,83.0,1,18.0
