dsny_district,dsny_section,categoriesaccepted,dsny_zone,hours,email,rank,dense_rank
SI03,SI036,"Automotive, Pet Care/Food, Appliances, Cleaning Products, Storage/Haulage Containers, Tools/Equipment",SI,"Monday 10:00 AM-10:00 PM, Tuesday 10:00 AM-10:00 PM, Wednesday 10:00 AM-10:00 PM, Thursday 10:00 AM-10:00 PM, Friday 10:00 AM-10:00 PM, Saturday 10:00 AM-10:00 PM, Sunday 10:00 AM-10:00 PM",donate@nycacc.org,1,1
SI03,SI036,Clothing/Personal Accessories,SI,,dennis.mckeon@where-to-turn.org,1,1
SI03,SI036,Clothing/Personal Accessories,SI,,dennis.mckeon@where-to-turn.org,1,1
SI01,SI013,"Clothing/Personal Accessories, Footwear",SI,,info@recyclingtech.com,1,1
SI01,SI012,,SI,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM",clothing@etgstores.com,1,1
SI01,SI012,,SI,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM",clothing@etgstores.com,1,1
SI02,SI024,"Clothing/Personal Accessories, Footwear",SI,,pickup@carecyclecares.com,1,1
SI02,SI021,,SI,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",George.barreto@chasiny.org,2,1
SI02,SI021,,SI,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",George.barreto@chasiny.org,2,1
SI02,SI021,,SI,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",George.barreto@chasiny.org,2,1
BKN01,BKN013,"Clothing/Personal Accessories, Footwear",BKN,,tf@mycountyrecycling.org,1,1
BKN01,BKN011,"Arts/Crafts, Baby Care, Clothing/Personal Accessories, Food/Beverage, Footwear, Musical Instruments, Office Supplies/Stationary, Personal Care/Hygiene, Sports Equipment, Toys/Games",BKN,"Sunday Closed, Saturday 12:00 PM-7:00 PM, Friday 12:00 PM-12:00 PM, Thursday 12:00 PM-7:00 PM, Wednesday 12:00 PM-7:00 PM, Tuesday 12:00 PM-7:00 PM, Monday Closed",dperez1978nun@yahoo.com,1,1
BKN01,BKN011,,BKN,,earwaxrec@gmail.com,1,1
BKN01,BKN012,Books/Media,BKN,,Blackspringbooks@gmail.com,1,1
