seg_ind,intcity,db_entity_name,amnt,committee,schedule,candfirst,rank,dense_rank
N,,NEW YORK CITY COALITION AGAINST HUNGER,5.0,P,ABC,Bill,1,1
N,,THE COALITION FOR ASIAN AMERICAN CHILDREN AND FAMILIES,5.0,P,ABC,Bill,1,1
N,,AL-MAMOOR SCHOOL,10.0,P,ABC,Bill,1,2
N,,AL-MAMOOR SCHOOL,10.0,P,ABC,Bill,1,2
N,,AL-MAMOOR SCHOOL,10.0,P,ABC,Bill,1,2
N,,AL-MAMOOR SCHOOL,10.0,P,ABC,Bill,1,2
N,,"NORTHFIELD COMMUNITY LOCAL DEVELOPMENT CORP. OF STATEN ISLAND, INC.",25.0,H,ABC,Nicole,1,3
N,,"TOGETHER IN DANCE, INC",27.0,P,ABC,Bill,1,4
N,,"TOGETHER IN DANCE, INC",27.0,P,ABC,Bill,1,4
N,,"TOGETHER IN DANCE, INC",27.0,P,ABC,Bill,1,4
N,,THE LUTHERAN CHURCH OF THE ATONEMENT,27.0,P,ABC,Bill,1,4
N,,THE LUTHERAN CHURCH OF THE ATONEMENT,27.0,P,ABC,Bill,1,4
N,,THE LUTHERAN CHURCH OF THE ATONEMENT,27.0,P,ABC,Bill,1,4
N,,THE LUTHERAN CHURCH OF THE ATONEMENT,27.0,P,ABC,Bill,1,4
N,,NEW YORK COMMUNITIES FOR CHANGE,30.0,P,ABC,Bill,1,5
N,,NEW YORK COMMUNITIES FOR CHANGE,30.0,P,ABC,Bill,1,5
N,,COASTAL PLUMBING SUPPLY CO INC,50.0,H,ABC,Nicole,1,6
N,,PRIMARY CARE DEVELOPMENT CORPORATION (PCDC),50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",50.0,P,ABC,Bill,1,6
N,,NEW HERITAGE THEATRE GROUP,50.0,P,ABC,Bill,1,6
N,,NEW HERITAGE THEATRE GROUP,50.0,P,ABC,Bill,1,6
N,,NEW HERITAGE THEATRE GROUP,50.0,P,ABC,Bill,1,6
N,,NEW HERITAGE THEATRE GROUP,50.0,P,ABC,Bill,1,6
N,,NEW HERITAGE THEATRE GROUP,50.0,P,ABC,Bill,1,6
N,,NEW HERITAGE THEATRE GROUP,50.0,P,ABC,Bill,1,6
N,,CHILDREN OF BELLEVUE INC,50.0,P,ABC,Bill,1,6
N,,CHILDREN OF BELLEVUE INC,50.0,P,ABC,Bill,1,6
N,,INNER FORCE TOTS INC,100.0,P,ABC,Bill,1,7
N,,INNER FORCE TOTS INC,100.0,P,ABC,Bill,1,7
N,,INNER FORCE TOTS INC,100.0,P,ABC,Bill,1,7
N,,INNER FORCE TOTS INC,100.0,P,ABC,Bill,1,7
N,,INNER FORCE TOTS INC,100.0,P,ABC,Bill,1,7
N,,INNER FORCE TOTS INC,100.0,P,ABC,Bill,1,7
N,,METROPOLITAN WATERFRONT ALLIANCE,100.0,P,ABC,Bill,1,7
N,,VORNADO REALTY LP,100.0,H,ABC,Nicole,4,7
N,,VORNADO REALTY LP,100.0,H,ABC,Nicole,4,7
N,New York,VORNADO REALTY LP,100.0,H,ABC,Nicole,4,7
N,,NEIGHBORHOOD HSG SERVICE OF JAMAICA INC,100.0,P,ABC,Bill,1,7
N,,NEIGHBORHOOD HSG SERVICE OF JAMAICA INC,100.0,P,ABC,Bill,1,7
N,,NEIGHBORHOOD HSG SERVICE OF JAMAICA INC,100.0,P,ABC,Bill,1,7
N,,NEIGHBORHOOD HSG SERVICE OF JAMAICA INC,100.0,P,ABC,Bill,1,7
N,,NEIGHBORHOOD HSG SERVICE OF JAMAICA INC,100.0,P,ABC,Bill,1,7
N,,NEIGHBORHOOD HSG SERVICE OF JAMAICA INC,100.0,P,ABC,Bill,1,7
N,,NEIGHBORHOOD HSG SERVICE OF JAMAICA INC,100.0,P,ABC,Bill,1,7
N,,NEIGHBORHOOD HSG SERVICE OF JAMAICA INC,100.0,P,ABC,Bill,1,7
