rr_ind,intempname,empcity,committee,candfirst,schedule,total,count,average
N,,New York,P,Bill,ABC,12090.0,93,130.0
N,,Brooklyn,P,Bill,ABC,6531.0,32,204.09375
N,,,H,Nicole,ABC,5250.0,4,1312.5
N,Cushman & Wakefield Inc.,New York,H,Nicole,ABC,5225.0,3,1741.6666666666667
N,,New York,H,Nicole,ABC,5225.0,3,1741.6666666666667
N,ConEdison,New York,P,Bill,ABC,2400.0,6,400.0
N,,,P,Bill,ABC,1875.0,19,98.6842105263158
N,,St. Albans,P,Bill,ABC,1850.0,12,154.16666666666666
N,,New York,H,Paul,ABC,1400.0,2,700.0
N,,Jamaica,P,Bill,ABC,1074.0,6,179.0
N,,Rego Park,P,Bill,ABC,1074.0,6,179.0
N,Cushman & Wakefield Inc.,New York,H,Paul,ABC,1000.0,1,1000.0
N,,,H,Paul,ABC,1000.0,1,1000.0
N,,Rego Park,P,Josh,ABC,1000.0,2,500.0
N,,Jamaica,P,Josh,ABC,1000.0,2,500.0
N,ConEdison,New York,P,Paul,ABC,800.0,2,400.0
N,,New York,P,Paul,ABC,800.0,2,400.0
N,"Milrose Consultants, Inc.",New York,H,Paul,ABC,500.0,1,500.0
N,,Great Neck,P,Bill,ABC,400.0,1,400.0
N,Cushman & Wakefield Inc.,New York,P,Bill,ABC,400.0,1,400.0
N,,Rockaway Beach,P,Bill,ABC,400.0,1,400.0
N,,Staten Island,H,Nicole,ABC,350.0,2,175.0
N,Choice New York Managment LLC,Staten Island,H,Paul,ABC,250.0,1,250.0
N,,Jackson Heights,P,Bill,ABC,175.0,1,175.0
N,,New york,P,Bill,ABC,5.0,1,5.0
