property_name,address_1,total,count,average
ESRT - One Grand Central Place,60 East 42nd Street,109029470.39999999,3,36343156.8
85 Broad Street,85 Broad Street,50811504.0,1,50811504.0
ESRT - 250 West 57th Street,250 West 57th Street,45545027.4,2,22772513.7
LITTLE 40 WORTH ASSOC.,40 Worth Street,32269000.2,1,32269000.2
Sovereign - 425 East 58th Street,425 East 58th Street,29697682.9,1,29697682.9
NH Forest Hills,102-01 66th Road,24354115.6,1,24354115.6
Wendi Realty LLC,51-01 Grand Ave,20643084.6,6,3440514.1
525 BUILDING CO.,525 Seventh Avenue,18711056.6,1,18711056.6
1402 Broadway ENT,1410 Broadway,14669112.7,1,14669112.7
Rolex Realty Company Inc,665 Fifth Ave,8988402.2,1,8988402.2
Olnick - ROC Fifth Avenue Associates LLC,130 Fifth Avenue,6795008.2,1,6795008.2
1901 Ocean Parkway - Sephardic Community Center,1901 Ocean Parkway,6712632.3,1,6712632.3
209 (211) East 43rd Street,209 (211) East 43rd Street,6085452.1,1,6085452.1
17197 - 119 West 57th Street,119 West 57th Street,5346310.6,1,5346310.6
210 Amsterdam Avenue - 40508,210 Amsterdam Avenue,4939856.1,1,4939856.1
Episcopal Church Center,815 Second Avenue,4667865.1,1,4667865.1
43-01 22nd Street Owners LLC,43-01 22nd street,4567435.0,2,2283717.5
Hotel Wales,1295 Madison Avenue,3946479.6,1,3946479.6
Center for Automotive Education and Training,15-30 Petracca Place,3554618.2,1,3554618.2
8801 Shore RD BG Corp,8801 Shore Road,3310988.8,1,3310988.8
40 West 37th,40 West 37th Street,3092591.0,2,1546295.5
AMDA - Stratford Arms Hotel,117 West 70th St,2849914.3,1,2849914.3
2764-66 Realty LLC,2766 university avenue,2660442.8,4,665110.7
The Jefferson Condominium,211 E 13th St,2384042.9,1,2384042.9
Brooklyn Excelsior Charter School,856 Quincy Street,2094761.2,1,2094761.2
1710 Cortelyou Road - 40241,380 EAST 18 ST,1927126.6,1,1927126.6
Georgia Ave.,975 Georgia Ave.,1857629.3,1,1857629.3
West Chelsea Building LLC,508-516 West 26th Street,1667321.6,1,1667321.6
777 East 31 Street - 40240,777 East 31 St,1628687.8,1,1628687.8
600 Burke Ave,600 Burke Ave,1460837.6,2,730418.8
1864 corp.,1864 85 st.,1087776.6,1,1087776.6
Staples,24-41 31st St,1051476.0,1,1051476.0
Two Waltons 2240 Walton Ave,2240 Walton Ave,1015421.4,1,1015421.4
1530-1532 Townsend,1530-1532 Townsend Ave,676989.3,1,676989.3
28 Second Ave,28 Second Ave,652804.7,1,652804.7
2355/57 Prospect Ave.,2357 Prospect Ave.,577277.3,1,577277.3
Alini Enterprises Inc.,95 West 162nd Street,357323.7,1,357323.7
1701 W 3rd Street LLC,1701 W 3rd Street,334421.8,1,334421.8
Queen of All Saints - PARISH,300 Vanderbilt Avenue,245809.0,1,245809.0
"2753 Realty, LLC",2753 Ocean Avenue,172311.0,2,86155.5
116 West Houston,116 West Houston St.,66542.3,1,66542.3
380 BROADWAY LLC,380 BROADWAY,30533.7,1,30533.7
34-24 Hunters Point Avenue,34-24 Hunters Point Avenue,16213.8,1,16213.8
