fact_column,total_dimension1,average_dimension2
314-16 WEST 54 STREET,0,988279.124764
39-27 28 STREET,0,1002063.30782
120 EAST 110 STREET,0,999401.070575
89-11 43RD ST,0,1018414.5727
294 10 AVENUE,0,984048.219265
1395 LEXINGTON AVENUE,0,997368.738724
166 NORFOLK STREET,0,988168.217475
300 FLATBUSH AVENUE,0,991620.127887
16 COURT STREET,0,986784.035099
1846 RANDALL AVENUE,0,1022837.00187
828 EAST 149 STREET,0,1010545.78958
115-11 LIBERTY AVENUE,0,1032142.06394
220 EAST 60 STREET,0,993838.927616
"SEAMAN AVE BETWEEN ISHAM, W 207 ST",0,1003446.15391
52-07 58 STREET,0,1009437.09271
59-25 67TH AVENUE,0,1011726.03699
140 58 STREET,0,977617.655349
2702 LINDEN BOULEVARD,0,1021820.82908
38 COMMERCE STREET,0,982777.961974
2383 BLACKROCK AVENUE,0,1027074.0422
5402 NEW UTRECT AVE,0,0.0
515 EAST 79 STREET,0,998423.896624
73 LENOX AVENUE,0,997783.783439
133-14 41 AVENUE,0,1030996.28004
160 EAST 34 STREET,0,990116.972199
BOHEMIAN NATIONAL HALL,0,0.0
440 SMITH STREET,0,984932.220059
65-30 DIETERLE CRESCENT,465,1022878.09539
609 JACKSON AVENUE,0,1009500.81171
4200 16 AVENUE,0,987473.2107315
150-03 BAYSIDE AVENUE,0,1035329.29584
171-39 NORTHERN BOULEVARD,0,1041199.29631
2200 ADAM C POWELL BOULEVARD,0,999092.370439
NICHOLAS AVENUE,0,945255.011588
4-74 48 AVENUE,0,996177.151165
1396 COMMERCE AVE,100,1028101.0
"207 WEST 96TH STREET, NEW YORK, NY, USA",0,992291.916144
3141 EAST TREMONT AVENUE,0,1030080.89443
1085 WASHINGTON AVENUE,0,1009409.07489
1865 MORRIS AVENUE,0,1009466.35533
354 EAST 25 STREET,0,997114.855347
510 EAST 156 STREET,0,1008788.56864
60-05 WOODHAVEN BOULEVARD,0,1020014.0424
380 CHELSEA ROAD,117,931956.799938
5411 AMBOY ROAD,0,931211.179126
