inspectionrequestid,inspectionrequestid,originaloverride,lotissysflageddupoverridden,noofaddresses,hours,total_hours_per_request
11783,11783,0,,0.0,1.0,1.0
1747,1747,0,,0.0,2.5,2.5
112082,112082,0,0.0,,4.0,4.0
1870,1870,0,,0.0,5.5,11.0
10050,10050,0,,,2.5,2.5
55547,55547,0,,0.0,3.5,3.5
130187,130187,0,0.0,,3.5,3.5
82912,82912,0,,0.0,3.5,3.5
76632,76632,0,,0.0,6.5,6.5
85733,85733,0,,1.0,2.0,2.0
2270,2270,0,,0.0,4.5,4.5
17476,17476,0,,0.0,6.5,6.5
12094,12094,0,,0.0,5.5,5.5
40125,40125,0,,0.0,6.5,6.5
25125,25125,0,,0.0,6.5,6.5
96980,96980,0,,0.0,6.5,6.5
19895,19895,0,,0.0,6.5,6.5
128240,128240,1,0.0,,6.5,6.5
66183,66183,0,,0.0,6.5,6.5
77457,77457,0,,1.0,6.5,6.5
3382,3382,0,,0.0,2.0,2.0
109510,109510,0,0.0,,5.5,5.5
109079,109079,0,0.0,,6.5,6.5
67133,67133,0,,0.0,6.5,13.0
17037,17037,0,,0.0,6.5,6.5
38338,38338,0,,0.0,6.5,6.5
58562,58562,0,,0.0,6.5,6.5
109990,109990,0,0.0,,3.5,3.5
44331,44331,0,,0.0,5.5,5.5
60794,60794,0,,0.0,6.5,13.0
4332,4332,0,,0.0,4.0,4.0
30505,30505,0,,0.0,6.5,6.5
64175,64175,0,,0.0,6.5,6.5
133367,133367,0,0.0,,6.5,6.5
132645,132645,0,0.0,,6.5,6.5
309,309,0,,0.0,2.0,2.0
54179,54179,0,,0.0,6.5,6.5
133674,133674,0,0.0,1.0,6.5,6.5
26940,26940,0,,0.0,6.5,6.5
2990,2990,0,,0.0,5.5,5.5
18280,18280,0,,0.0,6.5,6.5
7804,7804,0,,0.0,3.5,3.5
41956,41956,0,,0.0,6.5,6.5
27571,27571,0,,0.0,6.5,6.5
17037,17037,0,,0.0,5.5,5.5
61742,61742,0,,0.0,0.5,0.5
8641,8641,0,,0.0,5.5,5.5
86854,86854,0,,0.0,3.0,3.0
24229,24229,0,,0.0,6.5,6.5
19547,19547,0,,0.0,6.5,6.5
105445,105445,0,0.0,,4.5,4.5
