activityid,lotid,total,count,average
27051,51402,13.0,2,6.5
7819,40251,13.0,2,6.5
22882,122541,12.0,2,6.0
18306,101001,11.0,2,5.5
29660,152654,6.5,1,6.5
50996,211158,6.5,1,6.5
50550,209541,6.5,1,6.5
36088,134136,6.5,1,6.5
15895,10285,6.5,1,6.5
32687,67726,6.5,1,6.5
41660,181903,6.5,1,6.5
35908,130151,6.5,1,6.5
21438,28725,6.5,1,6.5
23415,126197,6.5,1,6.5
25016,36588,6.5,1,6.5
15715,7338,6.5,1,6.5
36125,134747,6.5,1,6.5
28779,147281,6.5,1,6.5
50692,210567,6.5,1,6.5
9487,49531,6.5,1,6.5
8979,45939,6.5,1,6.5
30991,161575,6.5,1,6.5
15469,3501,6.5,1,6.5
11944,66271,6.5,1,6.5
28986,148982,6.5,1,6.5
31267,163786,6.5,1,6.5
19001,94024,6.5,1,6.5
48782,204033,6.5,1,6.5
24430,131159,5.5,1,5.5
17702,13967,5.5,1,5.5
41554,182361,5.5,1,5.5
19984,107635,5.5,1,5.5
20779,111750,5.5,1,5.5
37822,167219,4.5,1,4.5
40077,177491,4.5,1,4.5
1735,8132,4.0,1,4.0
42892,185409,4.0,1,4.0
33080,75266,3.5,1,3.5
13877,75626,3.5,1,3.5
6121,31105,3.5,1,3.5
41808,182954,3.5,1,3.5
49734,207691,3.5,1,3.5
14802,80421,3.0,1,3.0
20562,109674,2.5,1,2.5
23741,32165,2.5,1,2.5
10909,56436,2.0,1,2.0
14546,79234,2.0,1,2.0
34819,106434,2.0,1,2.0
20887,112453,1.0,1,1.0
8166,41841,0.5,1,0.5
