recurrence_type,category_desc,postalcode,last_modified_date,created_date,record_count,total_amount,avg_amount,max_amount,min_amount
ongoing,Strengthening Communities,10013.0,June 09 2011,June 06 2011,32,3168,99.0,99,99
ongoing,Strengthening Communities,10013.0,June 08 2011,June 06 2011,56,5544,99.0,99,99
ongoing,Strengthening Communities,10013.0,June 10 2011,May 11 2011,8,792,99.0,99,99
ongoing,Strengthening Communities,10013.0,June 09 2011,June 07 2011,40,3960,99.0,99,99
ongoing,Strengthening Communities,10013.0,June 08 2011,June 07 2011,70,6930,99.0,99,99
ongoing,Strengthening Communities,10013.0,June 07 2011,June 07 2011,10,990,99.0,99,99
ongoing,Strengthening Communities,10013.0,June 09 2011,May 11 2011,8,792,99.0,99,99
ongoing,Strengthening Communities,10013.0,June 08 2011,May 11 2011,14,1386,99.0,99,99
ongoing,Strengthening Communities,10013.0,June 10 2011,June 07 2011,40,3960,99.0,99,99
ongoing,Strengthening Communities,10013.0,June 07 2011,June 06 2011,8,792,99.0,99,99
ongoing,Strengthening Communities,10013.0,June 10 2011,June 06 2011,32,3168,99.0,99,99
